CounDist,elect_dist
32,23001
32,23002
32,23003
32,23004
32,23005
32,23006
32,23007
32,23008
32,23010
32,23011
32,23012
32,23013
32,23014
32,23015
32,23016
32,23017
31,23018
31,23020
31,23021
31,23022
31,23023
31,23024
31,23025
31,23026
31,23027
31,23028
31,23029
31,23030
31,23031
31,23032
32,23033
32,23034
32,23035
32,23036
32,23037
32,23038
28,23039
28,23040
32,23041
32,23042
32,23043
32,23044
32,23045
32,23046
32,23047
32,23048
32,23049
32,23050
32,23051
32,23052
32,23053
32,23057
32,23059
32,23060
32,23061
32,23062
29,23063
28,23064
31,23065
31,23066
31,23068
32,23069
32,23070
31,23071
31,23074
28,24001
28,24002
28,24003
28,24004
28,24005
29,24006
28,24007
29,24008
28,24009
28,24010
29,24011
29,24012
29,24013
29,24014
29,24015
28,24016
24,24017
29,24018
29,24019
28,24020
29,24021
23,24022
29,24023
29,24024
29,24025
29,24026
24,24027
29,24028
29,24029
24,24030
29,24031
29,24032
23,24033
24,24034
24,24035
24,24036
24,24037
24,24038
24,24039
24,24040
24,24041
24,24042
24,24043
24,24044
24,24045
24,24046
24,24047
24,24048
24,24049
23,24050
23,24051
23,24052
23,24053
23,24054
23,24055
23,24056
23,24057
23,24058
23,24059
23,24060
23,24061
23,24062
23,24063
23,24064
24,24065
29,24066
24,25001
24,25002
24,25003
24,25004
24,25005
24,25006
24,25007
24,25008
24,25009
24,25010
24,25011
24,25012
24,25013
24,25014
24,25015
24,25016
23,25017
23,25018
23,25019
23,25020
23,25021
23,25022
23,25023
23,25024
23,25025
23,25026
19,25027
19,25028
20,25029
20,25030
20,25031
20,25032
20,25033
20,25034
20,25035
19,25036
20,25037
20,25038
20,25039
20,25040
20,25041
20,25042
20,25043
20,25044
20,25045
20,25046
20,25047
24,25048
24,25049
23,26001
23,26002
23,26003
23,26004
23,26005
23,26006
23,26007
23,26008
23,26009
23,26010
23,26011
23,26012
23,26013
23,26014
23,26015
23,26016
23,26017
23,26018
23,26019
23,26020
19,26021
19,26022
19,26023
19,26024
19,26025
19,26026
19,26027
23,26028
23,26029
23,26030
19,26031
19,26032
19,26033
19,26034
19,26035
19,26036
19,26037
19,26038
19,26039
19,26040
19,26041
19,26042
19,26043
19,26044
19,26045
19,26046
19,26047
19,26048
19,26049
19,26050
19,26051
19,26052
19,26053
19,26054
19,26055
19,26056
19,26057
20,26058
19,26059
19,26060
19,26061
19,26063
19,26064
23,26065
19,27001
24,27002
29,27003
29,27004
29,27005
29,27006
29,27007
24,27008
24,27009
24,27010
24,27011
24,27012
24,27013
24,27014
24,27015
24,27016
24,27017
24,27018
20,27019
24,27020
24,27021
24,27022
24,27023
24,27024
24,27025
24,27026
24,27027
24,27028
24,27029
24,27030
29,27031
19,27032
19,27033
19,27034
19,27035
19,27036
19,27037
19,27038
19,27039
24,27040
19,27041
19,27042
19,27043
19,27044
19,27045
19,27046
24,27047
19,27048
19,27049
19,27050
19,27051
29,27053
29,27055
24,27056
24,27057
21,27058
24,27059
21,27060
21,27062
20,27063
19,27066
21,27067
19,27068
29,28001
29,28003
29,28004
30,28005
29,28006
29,28007
29,28008
29,28009
30,28010
32,28011
32,28012
32,28013
30,28014
30,28015
30,28016
32,28017
29,28018
30,28019
30,28020
30,28021
30,28022
30,28023
30,28024
30,28025
30,28026
32,28027
29,28028
29,28029
29,28030
29,28031
29,28032
29,28033
30,28034
29,28035
29,28036
29,28037
29,28040
29,28041
29,28042
29,28043
29,28044
30,28045
30,28046
29,28047
30,28048
29,28049
29,28050
29,28053
29,28054
29,28055
29,28056
29,28057
30,28058
30,28059
30,28060
30,28061
29,28062
29,28063
29,28064
29,28065
32,28066
30,28067
30,28068
29,28069
29,28070
29,28071
29,28072
32,28073
24,28074
29,28075
31,29001
31,29002
31,29003
31,29004
31,29005
31,29006
31,29007
31,29008
31,29009
31,29010
31,29011
31,29012
31,29013
31,29014
31,29015
27,29016
31,29017
31,29018
31,29019
31,29020
31,29021
31,29022
31,29023
27,29025
27,29026
27,29027
27,29028
27,29029
27,29030
27,29031
27,29032
28,29033
27,29034
27,29035
27,29036
27,29037
27,29038
27,29039
27,29040
27,29041
27,29042
27,29043
27,29045
27,29046
23,29047
23,29048
27,29049
24,29051
24,29052
23,29054
23,29055
27,29056
27,29057
23,29058
23,29059
23,29060
31,29061
31,29062
31,29064
27,29065
27,29066
30,30001
26,30002
25,30003
25,30004
30,30005
30,30006
30,30007
30,30008
30,30009
30,30010
26,30011
26,30012
26,30013
25,30014
25,30015
26,30016
26,30017
26,30018
25,30019
26,30020
26,30021
26,30022
26,30023
26,30024
26,30025
30,30026
30,30027
30,30028
26,30029
30,30032
30,30033
30,30034
25,30035
25,30036
25,30037
25,30038
25,30039
25,30040
25,30041
25,30042
25,30043
25,30045
25,30046
25,30047
25,30048
26,30049
26,30050
26,30051
25,30052
26,30054
26,30055
26,30056
25,30057
30,30058
26,30059
31,31001
31,31002
31,31003
31,31004
31,31005
31,31006
31,31007
31,31008
31,31009
31,31010
31,31011
31,31013
31,31015
31,31016
32,31017
31,31018
32,31019
31,31020
28,31021
31,31022
31,31023
31,31024
31,31025
31,31026
31,31027
31,31028
31,31029
31,31030
31,31031
31,31032
28,31033
31,31034
31,31035
31,31036
28,31037
28,31038
28,31039
28,31040
28,31041
28,31042
28,31043
28,31044
28,31045
28,31046
28,31047
28,31048
28,31049
28,31050
28,31051
28,31052
28,31053
28,31054
28,31055
28,31056
28,31057
31,31059
31,31060
31,31061
