assem_dist,shape_leng,shape_area,geometry,ad_num,Donald J. Trump JD Vance,Kamala D. Harris Tim Walz,total,d_share,r_share,Donald J. Trump / Michael R. Pence,Joseph R. Biden / Kamala D. Harris,total_20,d_share_20,r_share_20,two_party_swing_r,swing_dir,lon,lat
26,141588.916443,292118888.953,"c(-73.7548580178041, 40.7624590209629)",026,22304,24070,46374,51.90408418510373,48.09591581489628,23417,31471,54888,57.33675849001604,42.66324150998397,5.432674304912311,red,-73.75485801780414,40.76245902096292
30,42876.8760086,82915226.6812,"c(-73.8948696540886, 40.7396092893059)",030,13268,16280,29548,55.096791661026124,44.90320833897387,16142,29443,45585,64.58922891301964,35.41077108698036,9.492437251993508,red,-73.89486965408858,40.73960928930593
32,55613.2444122,122802421.974,"c(-73.7897415202575, 40.6852399782698)",032,5945,29770,35715,83.35433291334174,16.645667086658268,3583,42394,45977,92.20697305174326,7.793026948256737,8.85264013840153,red,-73.78974152025751,40.68523997826984
34,82871.765175,98905556.4699,"c(-73.8967759463226, 40.7671967771079)",034,13589,21080,34669,60.80359975770862,39.19640024229138,8674,26968,35642,75.66354301105437,24.336456988945628,14.859943253345754,red,-73.89677594632262,40.76719677710787
35,100395.127327,107624959.538,"c(-73.8658538232034, 40.7592440451192)",035,11383,15000,26383,56.854792859038014,43.145207140961986,7802,23791,31593,75.30465609470453,24.695343905295477,18.44986323566651,red,-73.86585382320337,40.75924404511924
39,57369.0690706,53272119.1056,"c(-73.8726491737319, 40.7395671843129)",039,12041,15482,27523,56.25113541401737,43.74886458598263,7192,20990,28182,74.48016464409906,25.519835355900927,18.229029230081704,red,-73.87264917373192,40.73956718431289
41,69812.240848,99108560.4555,"c(-73.9408077672817, 40.6101772486833)",041,21354,19255,40609,47.41559752764166,52.58440247235835,19695,25443,45138,56.36714076831052,43.63285923168949,8.951543240668862,red,-73.94080776728168,40.610177248683286
42,43463.8572853,62455425.5453,"c(-73.9546439497833, 40.6382886181349)",042,6700,32622,39322,82.96119220792431,17.038807792075684,6283,39690,45973,86.33328257890501,13.66671742109499,3.3720903709806933,red,-73.95464394978333,40.63828861813494
43,35151.3017093,59248172.5182,"c(-73.9457280559477, 40.6629399533577)",043,7414,39441,46855,84.17671539857005,15.823284601429943,5645,44858,50503,88.82244619131536,11.177553808684634,4.64573079274531,red,-73.94572805594773,40.66293995335768
44,70931.3452614,93397658.7653,"c(-73.9737646360856, 40.6557348586675)",044,9140,42459,51599,82.28647842012442,17.71352157987558,11380,37877,49257,76.89668473516454,23.103315264835455,-5.389793684959876,blue,-73.97376463608562,40.65573485866753
45,72909.9545804,99795049.8792,"c(-73.961783869626, 40.5932297175453)",045,24093,7776,31869,24.39988703756001,75.60011296244,24379,12488,36867,33.87311145468848,66.12688854531153,9.473224417128463,red,-73.96178386962602,40.59322971754534
47,44384.9727021,68348043.6514,"c(-73.9915971664789, 40.6037739956603)",047,17262,10427,27689,37.65755354111741,62.342446458882584,15178,16584,31762,52.21333669164411,47.7866633083559,14.555783150526686,red,-73.9915971664789,40.60377399566035
48,42806.6739667,72162536.41,"c(-73.9798789712421, 40.6271976552066)",048,26688,4347,31035,14.006766553890767,85.99323344610923,26294,6890,33184,20.76301832208293,79.23698167791707,6.756251768192158,red,-73.9798789712421,40.62719765520661
49,43217.9401097,65609484.4156,"c(-74.0023304834871, 40.6242016790782)",049,12850,8357,21207,39.406799641627764,60.593200358372236,10402,14005,24407,57.38107919859057,42.61892080140943,17.974279556962806,red,-74.00233048348714,40.62420167907823
50,60712.4262916,82566850.1272,"c(-73.9522932000514, 40.7204501549142)",050,11141,32385,43526,74.40380462252448,25.596195377475535,12946,38034,50980,74.6057277363672,25.394272263632793,0.2019231138427422,red,-73.95229320005136,40.720450154914175
51,135174.162214,124526239.543,"c(-74.0052638111703, 40.6567360253726)",051,7208,20082,27290,73.58739465005496,26.412605349945036,6478,26989,33467,80.64361908745929,19.35638091254071,7.056224437404325,red,-74.00526381117031,40.65673602537259
53,62989.3847301,78365295.2467,"c(-73.9324523419545, 40.7066128763191)",053,7083,29989,37072,80.89393612429866,19.106063875701338,5362,38901,44263,87.8860447778054,12.11395522219461,6.992108653506728,red,-73.93245234195449,40.706612876319085
55,41722.9779244,69020488.263,"c(-73.9131787167065, 40.6704874567855)",055,2785,27215,30000,90.71666666666667,9.283333333333333,2055,38421,40476,94.92291728431664,5.077082715683368,4.206250617649965,red,-73.9131787167065,40.670487456785516
56,33984.0468359,64051112.9472,"c(-73.9377893039047, 40.6863743830952)",056,3516,37171,40687,91.3584191510802,8.641580848919803,2199,47220,49419,95.55029442117404,4.449705578825958,4.1918752700938455,red,-73.93778930390474,40.68637438309522
57,45861.4087801,62574626.1539,"c(-73.963379821384, 40.6856666383247)",057,4078,46260,50338,91.8987643529739,8.101235647026103,2480,62946,65426,96.20945801363372,3.7905419863662764,4.310693660659826,red,-73.963379821384,40.6856666383247
58,67919.0192181,93696629.0864,"c(-73.9209992513772, 40.6474635129919)",058,2742,35400,38142,92.81107440616643,7.188925593833568,1921,43831,45752,95.80127644693128,4.198723553068719,2.9902020407648493,red,-73.92099925137718,40.647463512991905
59,380422.138441,281905317.203,"c(-73.9009230918418, 40.6100441519837)",059,13970,29246,43216,67.67400962606442,32.32599037393558,11904,37414,49318,75.86276815767063,24.137231842329374,8.188758531606208,red,-73.90092309184183,40.610044151983665
60,83933.5838231,129950678.476,"c(-73.8784011595423, 40.6573734417285)",060,3894,28702,32596,88.05374892624862,11.94625107375138,3118,40854,43972,92.90912398799236,7.090876012007641,4.8553750617437395,red,-73.87840115954229,40.657373441728474
62,174911.849168,567864921.853,"c(-74.1968868402963, 40.5424954068549)",062,51291,13402,64693,20.716306246425425,79.28369375357458,49255,16975,66230,25.63037898233429,74.36962101766571,4.914072735908874,red,-74.19688684029633,40.542495406854904
65,44968.9061753,41565567.9814,"c(-73.992549067692, 40.7147333181196)",065,9729,30206,39935,75.63791160636033,24.362088393639663,8355,39956,48311,82.70580199126492,17.29419800873507,7.067890384904594,red,-73.99254906769198,40.714733318119606
69,45485.0920629,51018724.5256,"c(-73.96676252248, 40.7952740855739)",069,5954,48661,54615,89.0982330861485,10.901766913851505,4953,56064,61017,91.88259009784159,8.117409902158416,2.784357011693089,red,-73.96676252247998,40.79527408557392
70,41967.3852712,47909212.9193,"c(-73.948919685234, 40.8123798483817)",070,4879,41204,46083,89.41258164616019,10.587418353839812,3288,52877,56165,94.14582035075225,5.854179649247753,4.733238704592059,red,-73.94891968523402,40.81237984838165
73,44068.40467,45917970.1687,"c(-73.9675570365276, 40.7629808804484)",073,13075,42625,55700,76.52603231597845,23.47396768402154,11841,51744,63585,81.37768341589998,18.622316584100023,4.8516510999215186,red,-73.96755703652758,40.76298088044838
74,54936.5634124,41086519.0494,"c(-73.9787471812908, 40.734662571349)",074,8682,40598,49280,82.3823051948052,17.617694805194805,7342,47992,55334,86.73148516282936,13.268514837170637,4.349179968024169,red,-73.97874718129076,40.73466257134897
76,51866.1737576,30356784.2892,"c(-73.9523002299644, 40.7691655100965)",076,11540,45273,56813,79.68774752257406,20.31225247742594,10429,52457,62886,83.41602264414973,16.58397735585027,3.7282751215756704,red,-73.95230022996438,40.769165510096535
82,318418.807953,292193247.69,"c(-73.818048987774, 40.8497910918753)",082,15297,28399,43696,64.9922189674112,35.007781032588795,14469,37463,51932,72.13856581683741,27.861434183162597,7.146346849426198,red,-73.81804898777399,40.84979109187527
87,57345.7001693,74551326.8869,"c(-73.8587864569364, 40.832679625923)",087,7874,22484,30358,74.06284999011793,25.937150009882075,5254,35869,41123,87.22369476935049,12.776305230649514,13.16084477923256,red,-73.85878645693639,40.83267962592303
54,54982.9065428,80984105.084,"c(-73.889686540081, 40.6834312576488)",054,6136,20399,26535,76.87582438289053,23.124175617109476,4225,31666,35891,88.22824663564683,11.77175336435318,11.352422252756295,red,-73.88968654008102,40.68343125764881
80,78799.1432595,102500080.813,"c(-73.8608333096794, 40.8608939012169)",080,10719,20951,31670,66.15408904325861,33.84591095674139,8140,29168,37308,78.18162324434438,21.818376755655624,12.027534201085768,red,-73.8608333096794,40.86089390121694
