ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Lilianna Zulunova,(Democratic),30,AD 28,2025-07-02_13:54:15.440848
ED    1,99.00%,Mary Ellen G. Courtney,(Democratic),30,AD 28,2025-07-02_13:54:15.440848
ED    1,99.00%,Myrna C. Jacobson,(Democratic),29,AD 28,2025-07-02_13:54:15.440848
ED    1,99.00%,Ting Yan Wu,(Democratic),40,AD 28,2025-07-02_13:54:15.440848
ED    1,99.00%,Nina V. Kulkarni,(Democratic),27,AD 28,2025-07-02_13:54:15.440848
ED    1,99.00%,Sharon Levy,(Democratic),29,AD 28,2025-07-02_13:54:15.440848
ED    1,99.00%,Lara M. Evangelista,(Democratic),36,AD 28,2025-07-02_13:54:15.440848
ED    1,99.00%,Ellen M. Smith,(Democratic),26,AD 28,2025-07-02_13:54:15.440848
ED    1,99.00%,Viana Wu Tran,(Democratic),30,AD 28,2025-07-02_13:54:15.440848
ED    1,99.00%,WRITE-IN,&nbsp,1,AD 28,2025-07-02_13:54:15.440848
ED    2,99.00%,Lilianna Zulunova,(Democratic),150,AD 28,2025-07-02_13:54:15.440848
ED    2,99.00%,Mary Ellen G. Courtney,(Democratic),158,AD 28,2025-07-02_13:54:15.440848
ED    2,99.00%,Myrna C. Jacobson,(Democratic),157,AD 28,2025-07-02_13:54:15.440848
ED    2,99.00%,Ting Yan Wu,(Democratic),160,AD 28,2025-07-02_13:54:15.440848
ED    2,99.00%,Nina V. Kulkarni,(Democratic),140,AD 28,2025-07-02_13:54:15.440848
ED    2,99.00%,Sharon Levy,(Democratic),154,AD 28,2025-07-02_13:54:15.440848
ED    2,99.00%,Lara M. Evangelista,(Democratic),155,AD 28,2025-07-02_13:54:15.440848
ED    2,99.00%,Ellen M. Smith,(Democratic),135,AD 28,2025-07-02_13:54:15.440848
ED    2,99.00%,Viana Wu Tran,(Democratic),131,AD 28,2025-07-02_13:54:15.440848
ED    2,99.00%,WRITE-IN,&nbsp,0,AD 28,2025-07-02_13:54:15.440848
ED    3,99.00%,Lilianna Zulunova,(Democratic),122,AD 28,2025-07-02_13:54:15.440848
ED    3,99.00%,Mary Ellen G. Courtney,(Democratic),137,AD 28,2025-07-02_13:54:15.440848
ED    3,99.00%,Myrna C. Jacobson,(Democratic),126,AD 28,2025-07-02_13:54:15.440848
ED    3,99.00%,Ting Yan Wu,(Democratic),119,AD 28,2025-07-02_13:54:15.440848
ED    3,99.00%,Nina V. Kulkarni,(Democratic),151,AD 28,2025-07-02_13:54:15.440848
ED    3,99.00%,Sharon Levy,(Democratic),137,AD 28,2025-07-02_13:54:15.440848
ED    3,99.00%,Lara M. Evangelista,(Democratic),129,AD 28,2025-07-02_13:54:15.440848
ED    3,99.00%,Ellen M. Smith,(Democratic),133,AD 28,2025-07-02_13:54:15.440848
ED    3,99.00%,Viana Wu Tran,(Democratic),118,AD 28,2025-07-02_13:54:15.440848
ED    3,99.00%,WRITE-IN,&nbsp,7,AD 28,2025-07-02_13:54:15.440848
ED    4,99.00%,Lilianna Zulunova,(Democratic),129,AD 28,2025-07-02_13:54:15.440848
ED    4,99.00%,Mary Ellen G. Courtney,(Democratic),131,AD 28,2025-07-02_13:54:15.440848
ED    4,99.00%,Myrna C. Jacobson,(Democratic),119,AD 28,2025-07-02_13:54:15.440848
ED    4,99.00%,Ting Yan Wu,(Democratic),120,AD 28,2025-07-02_13:54:15.440848
ED    4,99.00%,Nina V. Kulkarni,(Democratic),111,AD 28,2025-07-02_13:54:15.440848
ED    4,99.00%,Sharon Levy,(Democratic),129,AD 28,2025-07-02_13:54:15.440848
ED    4,99.00%,Lara M. Evangelista,(Democratic),117,AD 28,2025-07-02_13:54:15.440848
ED    4,99.00%,Ellen M. Smith,(Democratic),134,AD 28,2025-07-02_13:54:15.440848
ED    4,99.00%,Viana Wu Tran,(Democratic),110,AD 28,2025-07-02_13:54:15.440848
ED    4,99.00%,WRITE-IN,&nbsp,4,AD 28,2025-07-02_13:54:15.440848
ED    5,99.00%,Lilianna Zulunova,(Democratic),12,AD 28,2025-07-02_13:54:15.440848
ED    5,99.00%,Mary Ellen G. Courtney,(Democratic),11,AD 28,2025-07-02_13:54:15.440848
ED    5,99.00%,Myrna C. Jacobson,(Democratic),9,AD 28,2025-07-02_13:54:15.440848
ED    5,99.00%,Ting Yan Wu,(Democratic),10,AD 28,2025-07-02_13:54:15.440848
ED    5,99.00%,Nina V. Kulkarni,(Democratic),8,AD 28,2025-07-02_13:54:15.440848
ED    5,99.00%,Sharon Levy,(Democratic),10,AD 28,2025-07-02_13:54:15.440848
ED    5,99.00%,Lara M. Evangelista,(Democratic),11,AD 28,2025-07-02_13:54:15.440848
ED    5,99.00%,Ellen M. Smith,(Democratic),10,AD 28,2025-07-02_13:54:15.440848
ED    5,99.00%,Viana Wu Tran,(Democratic),10,AD 28,2025-07-02_13:54:15.440848
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 28,2025-07-02_13:54:15.440848
ED    6,99.00%,Lilianna Zulunova,(Democratic),19,AD 28,2025-07-02_13:54:15.440848
ED    6,99.00%,Mary Ellen G. Courtney,(Democratic),20,AD 28,2025-07-02_13:54:15.440848
ED    6,99.00%,Myrna C. Jacobson,(Democratic),19,AD 28,2025-07-02_13:54:15.440848
ED    6,99.00%,Ting Yan Wu,(Democratic),22,AD 28,2025-07-02_13:54:15.440848
ED    6,99.00%,Nina V. Kulkarni,(Democratic),19,AD 28,2025-07-02_13:54:15.440848
ED    6,99.00%,Sharon Levy,(Democratic),23,AD 28,2025-07-02_13:54:15.440848
ED    6,99.00%,Lara M. Evangelista,(Democratic),20,AD 28,2025-07-02_13:54:15.440848
ED    6,99.00%,Ellen M. Smith,(Democratic),20,AD 28,2025-07-02_13:54:15.440848
ED    6,99.00%,Viana Wu Tran,(Democratic),11,AD 28,2025-07-02_13:54:15.440848
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 28,2025-07-02_13:54:15.440848
ED    7,99.00%,Lilianna Zulunova,(Democratic),94,AD 28,2025-07-02_13:54:15.440848
