AD_num,reported,candidate,party,votes,scrape_time
AD   66,98.94%,Jeannine Kiely,(Democratic),7219,2025-07-02_13:54:16.467042
AD   66,98.94%,Alfred Fuente,(Democratic),5440,2025-07-02_13:54:16.467042
AD   66,98.94%,Timothy Wong,(Democratic),6571,2025-07-02_13:54:16.467042
AD   66,98.94%,Karla Moskowitz,(Democratic),7101,2025-07-02_13:54:16.467042
AD   66,98.94%,Chris J. Marchitello,(Democratic),4907,2025-07-02_13:54:16.467042
AD   66,98.94%,Joshua Goodman,(Democratic),5751,2025-07-02_13:54:16.467042
AD   66,98.94%,Katherine Slawinski,(Democratic),6363,2025-07-02_13:54:16.467042
AD   66,98.94%,Arthur Z. Schwartz,(Democratic),5847,2025-07-02_13:54:16.467042
AD   66,98.94%,Edward E. Keenan,(Democratic),4872,2025-07-02_13:54:16.467042
AD   66,98.94%,Judith Jacobson,(Democratic),6888,2025-07-02_13:54:16.467042
AD   66,98.94%,Michael Lagnado,(Democratic),4857,2025-07-02_13:54:16.467042
AD   66,98.94%,Jonathan Geballe,(Democratic),4821,2025-07-02_13:54:16.467042
AD   66,98.94%,Megan Pascarella,(Democratic),6489,2025-07-02_13:54:16.467042
AD   66,98.94%,Mindy Rosier,(Democratic),6378,2025-07-02_13:54:16.467042
AD   66,98.94%,Palak Kaushal,(Democratic),5300,2025-07-02_13:54:16.467042
AD   66,98.94%,Deley Gazinelli,(Democratic),1554,2025-07-02_13:54:16.467042
AD   66,98.94%,Carmin Gonzalez,(Democratic),2706,2025-07-02_13:54:16.467042
AD   66,98.94%,Mark Fraiden,(Democratic),1265,2025-07-02_13:54:16.467042
AD   66,98.94%,Deborah Finston,(Democratic),2714,2025-07-02_13:54:16.467042
AD   66,98.94%,Shelly Warwick,(Democratic),2560,2025-07-02_13:54:16.467042
AD   66,98.94%,Maya de Silva Chafe,(Democratic),2599,2025-07-02_13:54:16.467042
AD   66,98.94%,Carol Puttre-Czyz,(Democratic),2215,2025-07-02_13:54:16.467042
AD   66,98.94%,Raymond W. Cline,(Democratic),1371,2025-07-02_13:54:16.467042
AD   66,98.94%,WRITE-IN,,181,2025-07-02_13:54:16.467042
Total,,Jeannine Kiely,(Democratic),7219,2025-07-02_13:54:16.467042
Total,,Alfred Fuente,(Democratic),5440,2025-07-02_13:54:16.467042
Total,,Timothy Wong,(Democratic),6571,2025-07-02_13:54:16.467042
Total,,Karla Moskowitz,(Democratic),7101,2025-07-02_13:54:16.467042
Total,,Chris J. Marchitello,(Democratic),4907,2025-07-02_13:54:16.467042
Total,,Joshua Goodman,(Democratic),5751,2025-07-02_13:54:16.467042
Total,,Katherine Slawinski,(Democratic),6363,2025-07-02_13:54:16.467042
Total,,Arthur Z. Schwartz,(Democratic),5847,2025-07-02_13:54:16.467042
Total,,Edward E. Keenan,(Democratic),4872,2025-07-02_13:54:16.467042
Total,,Judith Jacobson,(Democratic),6888,2025-07-02_13:54:16.467042
Total,,Michael Lagnado,(Democratic),4857,2025-07-02_13:54:16.467042
Total,,Jonathan Geballe,(Democratic),4821,2025-07-02_13:54:16.467042
Total,,Megan Pascarella,(Democratic),6489,2025-07-02_13:54:16.467042
Total,,Mindy Rosier,(Democratic),6378,2025-07-02_13:54:16.467042
Total,,Palak Kaushal,(Democratic),5300,2025-07-02_13:54:16.467042
Total,,Deley Gazinelli,(Democratic),1554,2025-07-02_13:54:16.467042
Total,,Carmin Gonzalez,(Democratic),2706,2025-07-02_13:54:16.467042
Total,,Mark Fraiden,(Democratic),1265,2025-07-02_13:54:16.467042
Total,,Deborah Finston,(Democratic),2714,2025-07-02_13:54:16.467042
Total,,Shelly Warwick,(Democratic),2560,2025-07-02_13:54:16.467042
Total,,Maya de Silva Chafe,(Democratic),2599,2025-07-02_13:54:16.467042
Total,,Carol Puttre-Czyz,(Democratic),2215,2025-07-02_13:54:16.467042
Total,,Raymond W. Cline,(Democratic),1371,2025-07-02_13:54:16.467042
Total,,WRITE-IN,,181,2025-07-02_13:54:16.467042
