ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Charles B. Rangel,(Democratic),89,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Cleveland K. Manley,(Democratic),56,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Yolanda V. Brooks,(Democratic),94,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Julia Coello Austin,(Democratic),67,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Daniel Paterson,(Democratic),63,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Kasara Davidson,(Democratic),71,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Lois V. Penny,(Democratic),56,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Barry J. Weinberg,(Democratic),46,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Courtnie A. McMillan,(Democratic),63,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Ricky L. Davis,(Democratic),46,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Viola Hamilton-Keith,(Democratic),78,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Melvin B. Alston,(Democratic),53,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Debora Ferguson,(Democratic),95,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Asuncion Serulle,(Democratic),61,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Altagracia Ozuna,(Democratic),74,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Zunilda Y. Espinal,(Democratic),93,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Ashley Abreu,(Democratic),96,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Hugo Ortega,(Democratic),62,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Tyhesha L. Smith,(Democratic),80,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Kenneth Graham,(Democratic),64,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Michele Jones,(Democratic),69,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Norma Almonte,(Democratic),87,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Guelmy Ovalle,(Democratic),51,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,Carmen M. Garcia,(Democratic),98,AD 70,2025-07-02_13:54:19.130662
ED    1,99.00%,WRITE-IN,&nbsp,3,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Charles B. Rangel,(Democratic),49,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Cleveland K. Manley,(Democratic),31,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Yolanda V. Brooks,(Democratic),49,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Julia Coello Austin,(Democratic),41,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Daniel Paterson,(Democratic),35,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Kasara Davidson,(Democratic),39,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Lois V. Penny,(Democratic),29,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Barry J. Weinberg,(Democratic),31,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Courtnie A. McMillan,(Democratic),36,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Ricky L. Davis,(Democratic),35,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Viola Hamilton-Keith,(Democratic),36,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Melvin B. Alston,(Democratic),26,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Debora Ferguson,(Democratic),32,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Asuncion Serulle,(Democratic),28,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Altagracia Ozuna,(Democratic),39,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Zunilda Y. Espinal,(Democratic),32,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Ashley Abreu,(Democratic),41,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Hugo Ortega,(Democratic),32,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Tyhesha L. Smith,(Democratic),28,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Kenneth Graham,(Democratic),21,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Michele Jones,(Democratic),27,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Norma Almonte,(Democratic),42,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Guelmy Ovalle,(Democratic),23,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,Carmen M. Garcia,(Democratic),41,AD 70,2025-07-02_13:54:19.130662
ED    2,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:19.130662
ED    3,99.00%,Charles B. Rangel,(Democratic),80,AD 70,2025-07-02_13:54:19.130662
ED    3,99.00%,Cleveland K. Manley,(Democratic),49,AD 70,2025-07-02_13:54:19.130662
ED    3,99.00%,Yolanda V. Brooks,(Democratic),78,AD 70,2025-07-02_13:54:19.130662
ED    3,99.00%,Julia Coello Austin,(Democratic),53,AD 70,2025-07-02_13:54:19.130662
ED    3,99.00%,Daniel Paterson,(Democratic),64,AD 70,2025-07-02_13:54:19.130662
ED    3,99.00%,Kasara Davidson,(Democratic),55,AD 70,2025-07-02_13:54:19.130662
ED    3,99.00%,Lois V. Penny,(Democratic),56,AD 70,2025-07-02_13:54:19.130662
ED    3,99.00%,Barry J. Weinberg,(Democratic),58,AD 70,2025-07-02_13:54:19.130662
ED    3,99.00%,Courtnie A. McMillan,(Democratic),57,AD 70,2025-07-02_13:54:19.130662
ED    3,99.00%,Ricky L. Davis,(Democratic),57,AD 70,2025-07-02_13:54:19.130662
