boro,reported,candidate,party,votes,scrape_time
New York,89.52%,Susan Southwell,(Democratic),5903,2025-07-02_13:54:20.578873
New York,89.52%,Mark S. Hamburgh,(Democratic),4020,2025-07-02_13:54:20.578873
New York,89.52%,Bruce Robertson,(Democratic),4181,2025-07-02_13:54:20.578873
New York,89.52%,Carolyn McBain,(Democratic),5279,2025-07-02_13:54:20.578873
New York,89.52%,Lois J. Naftulin,(Democratic),3866,2025-07-02_13:54:20.578873
New York,89.52%,Obinna Carl Unegbu,(Democratic),4526,2025-07-02_13:54:20.578873
New York,89.52%,Valerie Settles,(Democratic),4900,2025-07-02_13:54:20.578873
New York,89.52%,Romula Jimenez,(Democratic),4958,2025-07-02_13:54:20.578873
New York,89.52%,Nicholas Lyndon,(Democratic),3727,2025-07-02_13:54:20.578873
New York,89.52%,Linda Royster,(Democratic),4696,2025-07-02_13:54:20.578873
New York,89.52%,Brodie Enoch,(Democratic),3574,2025-07-02_13:54:20.578873
New York,89.52%,Ligia M. Mejia,(Democratic),3324,2025-07-02_13:54:20.578873
New York,89.52%,Margarita Casimiro,(Democratic),3622,2025-07-02_13:54:20.578873
New York,89.52%,Dale Nelson,(Democratic),2872,2025-07-02_13:54:20.578873
New York,89.52%,Gisela A. Lora,(Democratic),3331,2025-07-02_13:54:20.578873
New York,89.52%,Angela Trinidad,(Democratic),4165,2025-07-02_13:54:20.578873
New York,89.52%,Reina I. Ferreira,(Democratic),2900,2025-07-02_13:54:20.578873
New York,89.52%,Altagracia Valiente,(Democratic),2792,2025-07-02_13:54:20.578873
New York,89.52%,Karmen Reasco,(Democratic),2537,2025-07-02_13:54:20.578873
New York,89.52%,Chanel B. Coronado,(Democratic),2729,2025-07-02_13:54:20.578873
New York,89.52%,Lidia R. Batista,(Democratic),3443,2025-07-02_13:54:20.578873
New York,89.52%,Juan Peguero,(Democratic),2408,2025-07-02_13:54:20.578873
New York,89.52%,WRITE-IN,,235,2025-07-02_13:54:20.578873
Total,,Susan Southwell,(Democratic),5903,2025-07-02_13:54:20.578873
Total,,Mark S. Hamburgh,(Democratic),4020,2025-07-02_13:54:20.578873
Total,,Bruce Robertson,(Democratic),4181,2025-07-02_13:54:20.578873
Total,,Carolyn McBain,(Democratic),5279,2025-07-02_13:54:20.578873
Total,,Lois J. Naftulin,(Democratic),3866,2025-07-02_13:54:20.578873
Total,,Obinna Carl Unegbu,(Democratic),4526,2025-07-02_13:54:20.578873
Total,,Valerie Settles,(Democratic),4900,2025-07-02_13:54:20.578873
Total,,Romula Jimenez,(Democratic),4958,2025-07-02_13:54:20.578873
Total,,Nicholas Lyndon,(Democratic),3727,2025-07-02_13:54:20.578873
Total,,Linda Royster,(Democratic),4696,2025-07-02_13:54:20.578873
Total,,Brodie Enoch,(Democratic),3574,2025-07-02_13:54:20.578873
Total,,Ligia M. Mejia,(Democratic),3324,2025-07-02_13:54:20.578873
Total,,Margarita Casimiro,(Democratic),3622,2025-07-02_13:54:20.578873
Total,,Dale Nelson,(Democratic),2872,2025-07-02_13:54:20.578873
Total,,Gisela A. Lora,(Democratic),3331,2025-07-02_13:54:20.578873
Total,,Angela Trinidad,(Democratic),4165,2025-07-02_13:54:20.578873
Total,,Reina I. Ferreira,(Democratic),2900,2025-07-02_13:54:20.578873
Total,,Altagracia Valiente,(Democratic),2792,2025-07-02_13:54:20.578873
Total,,Karmen Reasco,(Democratic),2537,2025-07-02_13:54:20.578873
Total,,Chanel B. Coronado,(Democratic),2729,2025-07-02_13:54:20.578873
Total,,Lidia R. Batista,(Democratic),3443,2025-07-02_13:54:20.578873
Total,,Juan Peguero,(Democratic),2408,2025-07-02_13:54:20.578873
Total,,WRITE-IN,,235,2025-07-02_13:54:20.578873
