ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,87.50%,Susan Southwell,(Democratic),171,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Mark S. Hamburgh,(Democratic),133,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Bruce Robertson,(Democratic),124,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Carolyn McBain,(Democratic),163,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Lois J. Naftulin,(Democratic),142,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Obinna Carl Unegbu,(Democratic),140,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Valerie Settles,(Democratic),153,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Romula Jimenez,(Democratic),142,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Nicholas Lyndon,(Democratic),136,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Linda Royster,(Democratic),155,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Brodie Enoch,(Democratic),128,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Ligia M. Mejia,(Democratic),62,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Margarita Casimiro,(Democratic),71,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Dale Nelson,(Democratic),55,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Gisela A. Lora,(Democratic),65,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Angela Trinidad,(Democratic),78,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Reina I. Ferreira,(Democratic),61,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Altagracia Valiente,(Democratic),66,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Karmen Reasco,(Democratic),53,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Chanel B. Coronado,(Democratic),54,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Lidia R. Batista,(Democratic),68,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,Juan Peguero,(Democratic),45,AD 71,2025-07-02_13:54:20.578873
ED    1,87.50%,WRITE-IN,&nbsp,13,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Susan Southwell,(Democratic),126,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Mark S. Hamburgh,(Democratic),94,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Bruce Robertson,(Democratic),90,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Carolyn McBain,(Democratic),105,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Lois J. Naftulin,(Democratic),88,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Obinna Carl Unegbu,(Democratic),99,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Valerie Settles,(Democratic),112,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Romula Jimenez,(Democratic),104,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Nicholas Lyndon,(Democratic),79,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Linda Royster,(Democratic),109,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Brodie Enoch,(Democratic),83,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Ligia M. Mejia,(Democratic),74,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Margarita Casimiro,(Democratic),71,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Dale Nelson,(Democratic),62,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Gisela A. Lora,(Democratic),65,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Angela Trinidad,(Democratic),79,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Reina I. Ferreira,(Democratic),62,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Altagracia Valiente,(Democratic),59,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Karmen Reasco,(Democratic),65,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Chanel B. Coronado,(Democratic),60,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Lidia R. Batista,(Democratic),63,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,Juan Peguero,(Democratic),47,AD 71,2025-07-02_13:54:20.578873
ED    2,87.50%,WRITE-IN,&nbsp,5,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Susan Southwell,(Democratic),214,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Mark S. Hamburgh,(Democratic),164,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Bruce Robertson,(Democratic),144,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Carolyn McBain,(Democratic),194,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Lois J. Naftulin,(Democratic),161,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Obinna Carl Unegbu,(Democratic),165,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Valerie Settles,(Democratic),174,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Romula Jimenez,(Democratic),165,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Nicholas Lyndon,(Democratic),139,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Linda Royster,(Democratic),193,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Brodie Enoch,(Democratic),131,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Ligia M. Mejia,(Democratic),108,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Margarita Casimiro,(Democratic),128,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Dale Nelson,(Democratic),86,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Gisela A. Lora,(Democratic),135,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Angela Trinidad,(Democratic),121,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Reina I. Ferreira,(Democratic),109,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Altagracia Valiente,(Democratic),101,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Karmen Reasco,(Democratic),92,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Chanel B. Coronado,(Democratic),104,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Lidia R. Batista,(Democratic),126,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,Juan Peguero,(Democratic),80,AD 71,2025-07-02_13:54:20.578873
ED    3,99.00%,WRITE-IN,&nbsp,9,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Susan Southwell,(Democratic),274,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Mark S. Hamburgh,(Democratic),220,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Bruce Robertson,(Democratic),201,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Carolyn McBain,(Democratic),254,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Lois J. Naftulin,(Democratic),209,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Obinna Carl Unegbu,(Democratic),209,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Valerie Settles,(Democratic),239,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Romula Jimenez,(Democratic),214,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Nicholas Lyndon,(Democratic),192,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Linda Royster,(Democratic),242,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Brodie Enoch,(Democratic),199,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Ligia M. Mejia,(Democratic),112,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Margarita Casimiro,(Democratic),137,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Dale Nelson,(Democratic),103,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Gisela A. Lora,(Democratic),132,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Angela Trinidad,(Democratic),143,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Reina I. Ferreira,(Democratic),97,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Altagracia Valiente,(Democratic),108,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Karmen Reasco,(Democratic),103,AD 71,2025-07-02_13:54:20.578873
ED    4,99.00%,Chanel B. Coronado,(Democratic),93,AD 71,2025-07-02_13:54:20.578873
