AD_num,reported,candidate,party,votes,scrape_time
AD   72,96.43%,Maurice A. Edwards,(Democratic),3289,2025-07-02_13:54:21.822075
AD   72,96.43%,Erwin Fernandez,(Democratic),3096,2025-07-02_13:54:21.822075
AD   72,96.43%,Noris Casillas,(Democratic),2548,2025-07-02_13:54:21.822075
AD   72,96.43%,Barbara M. Frazer,(Democratic),3271,2025-07-02_13:54:21.822075
AD   72,96.43%,Mariam James,(Democratic),2956,2025-07-02_13:54:21.822075
AD   72,96.43%,Iris Baltazar,(Democratic),3097,2025-07-02_13:54:21.822075
AD   72,96.43%,Micaela Lugo,(Democratic),2906,2025-07-02_13:54:21.822075
AD   72,96.43%,Hector Vasquez,(Democratic),3098,2025-07-02_13:54:21.822075
AD   72,96.43%,Maria A. Mazara,(Democratic),3456,2025-07-02_13:54:21.822075
AD   72,96.43%,Carolyn A. Murtaugh,(Democratic),2648,2025-07-02_13:54:21.822075
AD   72,96.43%,Miosotis N. Alba,(Democratic),2203,2025-07-02_13:54:21.822075
AD   72,96.43%,Christopher S. Hazeltine,(Democratic),1870,2025-07-02_13:54:21.822075
AD   72,96.43%,Edgar A. Tavarez,(Democratic),2331,2025-07-02_13:54:21.822075
AD   72,96.43%,Carole G. Mulligan,(Democratic),2452,2025-07-02_13:54:21.822075
AD   72,96.43%,Gail M. Sullivan,(Democratic),2486,2025-07-02_13:54:21.822075
AD   72,96.43%,Quann D. Boyd,(Democratic),1914,2025-07-02_13:54:21.822075
AD   72,96.43%,WRITE-IN,,101,2025-07-02_13:54:21.822075
Total,,Maurice A. Edwards,(Democratic),3289,2025-07-02_13:54:21.822075
Total,,Erwin Fernandez,(Democratic),3096,2025-07-02_13:54:21.822075
Total,,Noris Casillas,(Democratic),2548,2025-07-02_13:54:21.822075
Total,,Barbara M. Frazer,(Democratic),3271,2025-07-02_13:54:21.822075
Total,,Mariam James,(Democratic),2956,2025-07-02_13:54:21.822075
Total,,Iris Baltazar,(Democratic),3097,2025-07-02_13:54:21.822075
Total,,Micaela Lugo,(Democratic),2906,2025-07-02_13:54:21.822075
Total,,Hector Vasquez,(Democratic),3098,2025-07-02_13:54:21.822075
Total,,Maria A. Mazara,(Democratic),3456,2025-07-02_13:54:21.822075
Total,,Carolyn A. Murtaugh,(Democratic),2648,2025-07-02_13:54:21.822075
Total,,Miosotis N. Alba,(Democratic),2203,2025-07-02_13:54:21.822075
Total,,Christopher S. Hazeltine,(Democratic),1870,2025-07-02_13:54:21.822075
Total,,Edgar A. Tavarez,(Democratic),2331,2025-07-02_13:54:21.822075
Total,,Carole G. Mulligan,(Democratic),2452,2025-07-02_13:54:21.822075
Total,,Gail M. Sullivan,(Democratic),2486,2025-07-02_13:54:21.822075
Total,,Quann D. Boyd,(Democratic),1914,2025-07-02_13:54:21.822075
Total,,WRITE-IN,,101,2025-07-02_13:54:21.822075
