AD_num,reported,candidate,party,votes,scrape_time
AD   77,89.87%,Rafael Salamanca Jr.,(Democratic),1630,2025-07-02_13:53:17.441923
AD   77,89.87%,Vanessa L. Gibson,(Democratic),4798,2025-07-02_13:53:17.441923
AD   77,89.87%,WRITE-IN,,29,2025-07-02_13:53:17.441923
AD   78,99.00%,Rafael Salamanca Jr.,(Democratic),2292,2025-07-02_13:53:17.441923
AD   78,99.00%,Vanessa L. Gibson,(Democratic),4425,2025-07-02_13:53:17.441923
AD   78,99.00%,WRITE-IN,,30,2025-07-02_13:53:17.441923
AD   79,97.59%,Rafael Salamanca Jr.,(Democratic),2378,2025-07-02_13:53:17.441923
AD   79,97.59%,Vanessa L. Gibson,(Democratic),4456,2025-07-02_13:53:17.441923
AD   79,97.59%,WRITE-IN,,34,2025-07-02_13:53:17.441923
AD   80,98.67%,Rafael Salamanca Jr.,(Democratic),2729,2025-07-02_13:53:17.441923
AD   80,98.67%,Vanessa L. Gibson,(Democratic),5716,2025-07-02_13:53:17.441923
AD   80,98.67%,WRITE-IN,,31,2025-07-02_13:53:17.441923
AD   81,97.37%,Rafael Salamanca Jr.,(Democratic),4127,2025-07-02_13:53:17.441923
AD   81,97.37%,Vanessa L. Gibson,(Democratic),10366,2025-07-02_13:53:17.441923
AD   81,97.37%,WRITE-IN,,73,2025-07-02_13:53:17.441923
AD   82,96.39%,Rafael Salamanca Jr.,(Democratic),3399,2025-07-02_13:53:17.441923
AD   82,96.39%,Vanessa L. Gibson,(Democratic),8979,2025-07-02_13:53:17.441923
AD   82,96.39%,WRITE-IN,,56,2025-07-02_13:53:17.441923
AD   83,95.77%,Rafael Salamanca Jr.,(Democratic),1623,2025-07-02_13:53:17.441923
AD   83,95.77%,Vanessa L. Gibson,(Democratic),8559,2025-07-02_13:53:17.441923
AD   83,95.77%,WRITE-IN,,39,2025-07-02_13:53:17.441923
AD   84,99.00%,Rafael Salamanca Jr.,(Democratic),2967,2025-07-02_13:53:17.441923
AD   84,99.00%,Vanessa L. Gibson,(Democratic),4910,2025-07-02_13:53:17.441923
AD   84,99.00%,WRITE-IN,,30,2025-07-02_13:53:17.441923
AD   85,98.51%,Rafael Salamanca Jr.,(Democratic),3353,2025-07-02_13:53:17.441923
AD   85,98.51%,Vanessa L. Gibson,(Democratic),4205,2025-07-02_13:53:17.441923
AD   85,98.51%,WRITE-IN,,33,2025-07-02_13:53:17.441923
AD   86,92.31%,Rafael Salamanca Jr.,(Democratic),1999,2025-07-02_13:53:17.441923
AD   86,92.31%,Vanessa L. Gibson,(Democratic),3642,2025-07-02_13:53:17.441923
AD   86,92.31%,WRITE-IN,,27,2025-07-02_13:53:17.441923
AD   87,93.94%,Rafael Salamanca Jr.,(Democratic),3222,2025-07-02_13:53:17.441923
AD   87,93.94%,Vanessa L. Gibson,(Democratic),5411,2025-07-02_13:53:17.441923
AD   87,93.94%,WRITE-IN,,49,2025-07-02_13:53:17.441923
Total,,Rafael Salamanca Jr.,(Democratic),29719,2025-07-02_13:53:17.441923
Total,,Vanessa L. Gibson,(Democratic),65467,2025-07-02_13:53:17.441923
Total,,WRITE-IN,,431,2025-07-02_13:53:17.441923
