ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Rafael Salamanca Jr.,(Democratic),29,AD 77,2025-07-02_13:53:17.441923
ED    1,99.00%,Vanessa L. Gibson,(Democratic),96,AD 77,2025-07-02_13:53:17.441923
ED    1,99.00%,WRITE-IN,&nbsp,2,AD 77,2025-07-02_13:53:17.441923
ED    2,99.00%,Rafael Salamanca Jr.,(Democratic),57,AD 77,2025-07-02_13:53:17.441923
ED    2,99.00%,Vanessa L. Gibson,(Democratic),147,AD 77,2025-07-02_13:53:17.441923
ED    2,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
ED    3,99.00%,Rafael Salamanca Jr.,(Democratic),46,AD 77,2025-07-02_13:53:17.441923
ED    3,99.00%,Vanessa L. Gibson,(Democratic),105,AD 77,2025-07-02_13:53:17.441923
ED    3,99.00%,WRITE-IN,&nbsp,2,AD 77,2025-07-02_13:53:17.441923
ED    4,99.00%,Rafael Salamanca Jr.,(Democratic),21,AD 77,2025-07-02_13:53:17.441923
ED    4,99.00%,Vanessa L. Gibson,(Democratic),34,AD 77,2025-07-02_13:53:17.441923
ED    4,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-07-02_13:53:17.441923
ED    5,99.00%,Rafael Salamanca Jr.,(Democratic),47,AD 77,2025-07-02_13:53:17.441923
ED    5,99.00%,Vanessa L. Gibson,(Democratic),124,AD 77,2025-07-02_13:53:17.441923
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
ED    6,99.00%,Rafael Salamanca Jr.,(Democratic),41,AD 77,2025-07-02_13:53:17.441923
ED    6,99.00%,Vanessa L. Gibson,(Democratic),105,AD 77,2025-07-02_13:53:17.441923
ED    6,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-07-02_13:53:17.441923
ED    7,99.00%,Rafael Salamanca Jr.,(Democratic),39,AD 77,2025-07-02_13:53:17.441923
ED    7,99.00%,Vanessa L. Gibson,(Democratic),148,AD 77,2025-07-02_13:53:17.441923
ED    7,99.00%,WRITE-IN,&nbsp,2,AD 77,2025-07-02_13:53:17.441923
ED    8,99.00%,Rafael Salamanca Jr.,(Democratic),39,AD 77,2025-07-02_13:53:17.441923
ED    8,99.00%,Vanessa L. Gibson,(Democratic),123,AD 77,2025-07-02_13:53:17.441923
ED    8,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
ED    9,99.00%,Rafael Salamanca Jr.,(Democratic),37,AD 77,2025-07-02_13:53:17.441923
ED    9,99.00%,Vanessa L. Gibson,(Democratic),149,AD 77,2025-07-02_13:53:17.441923
ED    9,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-07-02_13:53:17.441923
ED   10,99.00%,Rafael Salamanca Jr.,(Democratic),26,AD 77,2025-07-02_13:53:17.441923
ED   10,99.00%,Vanessa L. Gibson,(Democratic),128,AD 77,2025-07-02_13:53:17.441923
ED   10,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
ED   11,99.00%,Rafael Salamanca Jr.,(Democratic),41,AD 77,2025-07-02_13:53:17.441923
ED   11,99.00%,Vanessa L. Gibson,(Democratic),137,AD 77,2025-07-02_13:53:17.441923
ED   11,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-07-02_13:53:17.441923
ED   12,99.00%,Rafael Salamanca Jr.,(Democratic),45,AD 77,2025-07-02_13:53:17.441923
ED   12,99.00%,Vanessa L. Gibson,(Democratic),158,AD 77,2025-07-02_13:53:17.441923
ED   12,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
ED   13,99.00%,Rafael Salamanca Jr.,(Democratic),59,AD 77,2025-07-02_13:53:17.441923
ED   13,99.00%,Vanessa L. Gibson,(Democratic),170,AD 77,2025-07-02_13:53:17.441923
ED   13,99.00%,WRITE-IN,&nbsp,1,AD 77,2025-07-02_13:53:17.441923
ED   14,99.00%,Rafael Salamanca Jr.,(Democratic),39,AD 77,2025-07-02_13:53:17.441923
ED   14,99.00%,Vanessa L. Gibson,(Democratic),106,AD 77,2025-07-02_13:53:17.441923
ED   14,99.00%,WRITE-IN,&nbsp,2,AD 77,2025-07-02_13:53:17.441923
ED   15,60.00%,Rafael Salamanca Jr.,(Democratic),2,AD 77,2025-07-02_13:53:17.441923
ED   15,60.00%,Vanessa L. Gibson,(Democratic),7,AD 77,2025-07-02_13:53:17.441923
ED   15,60.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
ED   16,99.00%,Rafael Salamanca Jr.,(Democratic),6,AD 77,2025-07-02_13:53:17.441923
ED   16,99.00%,Vanessa L. Gibson,(Democratic),24,AD 77,2025-07-02_13:53:17.441923
ED   16,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
ED   17,60.00%,Rafael Salamanca Jr.,(Democratic),2,AD 77,2025-07-02_13:53:17.441923
ED   17,60.00%,Vanessa L. Gibson,(Democratic),14,AD 77,2025-07-02_13:53:17.441923
ED   17,60.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
ED   18,60.00%,Rafael Salamanca Jr.,(Democratic),2,AD 77,2025-07-02_13:53:17.441923
ED   18,60.00%,Vanessa L. Gibson,(Democratic),8,AD 77,2025-07-02_13:53:17.441923
ED   18,60.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
ED   19,60.00%,Rafael Salamanca Jr.,(Democratic),10,AD 77,2025-07-02_13:53:17.441923
ED   19,60.00%,Vanessa L. Gibson,(Democratic),35,AD 77,2025-07-02_13:53:17.441923
ED   19,60.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
ED   20,99.00%,Rafael Salamanca Jr.,(Democratic),24,AD 77,2025-07-02_13:53:17.441923
ED   20,99.00%,Vanessa L. Gibson,(Democratic),41,AD 77,2025-07-02_13:53:17.441923
ED   20,99.00%,WRITE-IN,&nbsp,0,AD 77,2025-07-02_13:53:17.441923
