AD_num,reported,candidate,party,votes,scrape_time
AD   41,98.10%,Antonio Reynoso,(Democratic),8095,2025-07-02_13:53:19.361845
AD   41,98.10%,Khari O. Edwards,(Democratic),2620,2025-07-02_13:53:19.361845
AD   41,98.10%,WRITE-IN,,101,2025-07-02_13:53:19.361845
AD   42,99.00%,Antonio Reynoso,(Democratic),12778,2025-07-02_13:53:19.361845
AD   42,99.00%,Khari O. Edwards,(Democratic),4408,2025-07-02_13:53:19.361845
AD   42,99.00%,WRITE-IN,,81,2025-07-02_13:53:19.361845
AD   43,97.75%,Antonio Reynoso,(Democratic),16141,2025-07-02_13:53:19.361845
AD   43,97.75%,Khari O. Edwards,(Democratic),6322,2025-07-02_13:53:19.361845
AD   43,97.75%,WRITE-IN,,92,2025-07-02_13:53:19.361845
AD   44,98.32%,Antonio Reynoso,(Democratic),26419,2025-07-02_13:53:19.361845
AD   44,98.32%,Khari O. Edwards,(Democratic),5268,2025-07-02_13:53:19.361845
AD   44,98.32%,WRITE-IN,,131,2025-07-02_13:53:19.361845
AD   45,98.67%,Antonio Reynoso,(Democratic),4693,2025-07-02_13:53:19.361845
AD   45,98.67%,Khari O. Edwards,(Democratic),971,2025-07-02_13:53:19.361845
AD   45,98.67%,WRITE-IN,,69,2025-07-02_13:53:19.361845
AD   46,95.10%,Antonio Reynoso,(Democratic),7015,2025-07-02_13:53:19.361845
AD   46,95.10%,Khari O. Edwards,(Democratic),2002,2025-07-02_13:53:19.361845
AD   46,95.10%,WRITE-IN,,59,2025-07-02_13:53:19.361845
AD   47,99.00%,Antonio Reynoso,(Democratic),3768,2025-07-02_13:53:19.361845
AD   47,99.00%,Khari O. Edwards,(Democratic),1151,2025-07-02_13:53:19.361845
AD   47,99.00%,WRITE-IN,,40,2025-07-02_13:53:19.361845
AD   48,99.00%,Antonio Reynoso,(Democratic),7502,2025-07-02_13:53:19.361845
AD   48,99.00%,Khari O. Edwards,(Democratic),1146,2025-07-02_13:53:19.361845
AD   48,99.00%,WRITE-IN,,141,2025-07-02_13:53:19.361845
AD   49,98.48%,Antonio Reynoso,(Democratic),3211,2025-07-02_13:53:19.361845
AD   49,98.48%,Khari O. Edwards,(Democratic),906,2025-07-02_13:53:19.361845
AD   49,98.48%,WRITE-IN,,29,2025-07-02_13:53:19.361845
AD   50,98.65%,Antonio Reynoso,(Democratic),19380,2025-07-02_13:53:19.361845
AD   50,98.65%,Khari O. Edwards,(Democratic),3560,2025-07-02_13:53:19.361845
AD   50,98.65%,WRITE-IN,,101,2025-07-02_13:53:19.361845
AD   51,99.00%,Antonio Reynoso,(Democratic),10710,2025-07-02_13:53:19.361845
AD   51,99.00%,Khari O. Edwards,(Democratic),2031,2025-07-02_13:53:19.361845
AD   51,99.00%,WRITE-IN,,55,2025-07-02_13:53:19.361845
AD   52,98.20%,Antonio Reynoso,(Democratic),30079,2025-07-02_13:53:19.361845
