ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Antonio Reynoso,(Democratic),164,AD 41,2025-07-02_13:53:19.361845
ED    1,99.00%,Khari O. Edwards,(Democratic),90,AD 41,2025-07-02_13:53:19.361845
ED    1,99.00%,WRITE-IN,&nbsp,2,AD 41,2025-07-02_13:53:19.361845
ED    2,99.00%,Antonio Reynoso,(Democratic),153,AD 41,2025-07-02_13:53:19.361845
ED    2,99.00%,Khari O. Edwards,(Democratic),83,AD 41,2025-07-02_13:53:19.361845
ED    2,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-07-02_13:53:19.361845
ED    3,99.00%,Antonio Reynoso,(Democratic),110,AD 41,2025-07-02_13:53:19.361845
ED    3,99.00%,Khari O. Edwards,(Democratic),52,AD 41,2025-07-02_13:53:19.361845
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-07-02_13:53:19.361845
ED    4,99.00%,Antonio Reynoso,(Democratic),272,AD 41,2025-07-02_13:53:19.361845
ED    4,99.00%,Khari O. Edwards,(Democratic),111,AD 41,2025-07-02_13:53:19.361845
ED    4,99.00%,WRITE-IN,&nbsp,1,AD 41,2025-07-02_13:53:19.361845
ED    5,99.00%,Antonio Reynoso,(Democratic),110,AD 41,2025-07-02_13:53:19.361845
ED    5,99.00%,Khari O. Edwards,(Democratic),78,AD 41,2025-07-02_13:53:19.361845
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-07-02_13:53:19.361845
ED    6,99.00%,Antonio Reynoso,(Democratic),147,AD 41,2025-07-02_13:53:19.361845
ED    6,99.00%,Khari O. Edwards,(Democratic),79,AD 41,2025-07-02_13:53:19.361845
ED    6,99.00%,WRITE-IN,&nbsp,3,AD 41,2025-07-02_13:53:19.361845
ED    7,99.00%,Antonio Reynoso,(Democratic),154,AD 41,2025-07-02_13:53:19.361845
ED    7,99.00%,Khari O. Edwards,(Democratic),107,AD 41,2025-07-02_13:53:19.361845
ED    7,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-07-02_13:53:19.361845
ED    8,99.00%,Antonio Reynoso,(Democratic),141,AD 41,2025-07-02_13:53:19.361845
ED    8,99.00%,Khari O. Edwards,(Democratic),76,AD 41,2025-07-02_13:53:19.361845
ED    8,99.00%,WRITE-IN,&nbsp,1,AD 41,2025-07-02_13:53:19.361845
ED    9,99.00%,Antonio Reynoso,(Democratic),158,AD 41,2025-07-02_13:53:19.361845
ED    9,99.00%,Khari O. Edwards,(Democratic),107,AD 41,2025-07-02_13:53:19.361845
ED    9,99.00%,WRITE-IN,&nbsp,2,AD 41,2025-07-02_13:53:19.361845
ED   10,99.00%,Antonio Reynoso,(Democratic),131,AD 41,2025-07-02_13:53:19.361845
ED   10,99.00%,Khari O. Edwards,(Democratic),59,AD 41,2025-07-02_13:53:19.361845
ED   10,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-07-02_13:53:19.361845
ED   11,99.00%,Antonio Reynoso,(Democratic),214,AD 41,2025-07-02_13:53:19.361845
ED   11,99.00%,Khari O. Edwards,(Democratic),103,AD 41,2025-07-02_13:53:19.361845
ED   11,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-07-02_13:53:19.361845
ED   12,99.00%,Antonio Reynoso,(Democratic),124,AD 41,2025-07-02_13:53:19.361845
ED   12,99.00%,Khari O. Edwards,(Democratic),36,AD 41,2025-07-02_13:53:19.361845
ED   12,99.00%,WRITE-IN,&nbsp,2,AD 41,2025-07-02_13:53:19.361845
ED   13,99.00%,Antonio Reynoso,(Democratic),103,AD 41,2025-07-02_13:53:19.361845
ED   13,99.00%,Khari O. Edwards,(Democratic),42,AD 41,2025-07-02_13:53:19.361845
ED   13,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-07-02_13:53:19.361845
ED   14,99.00%,Antonio Reynoso,(Democratic),289,AD 41,2025-07-02_13:53:19.361845
ED   14,99.00%,Khari O. Edwards,(Democratic),28,AD 41,2025-07-02_13:53:19.361845
ED   14,99.00%,WRITE-IN,&nbsp,4,AD 41,2025-07-02_13:53:19.361845
ED   15,99.00%,Antonio Reynoso,(Democratic),80,AD 41,2025-07-02_13:53:19.361845
ED   15,99.00%,Khari O. Edwards,(Democratic),25,AD 41,2025-07-02_13:53:19.361845
ED   15,99.00%,WRITE-IN,&nbsp,2,AD 41,2025-07-02_13:53:19.361845
ED   16,99.00%,Antonio Reynoso,(Democratic),98,AD 41,2025-07-02_13:53:19.361845
ED   16,99.00%,Khari O. Edwards,(Democratic),30,AD 41,2025-07-02_13:53:19.361845
ED   16,99.00%,WRITE-IN,&nbsp,3,AD 41,2025-07-02_13:53:19.361845
ED   17,99.00%,Antonio Reynoso,(Democratic),118,AD 41,2025-07-02_13:53:19.361845
ED   17,99.00%,Khari O. Edwards,(Democratic),58,AD 41,2025-07-02_13:53:19.361845
ED   17,99.00%,WRITE-IN,&nbsp,3,AD 41,2025-07-02_13:53:19.361845
ED   18,99.00%,Antonio Reynoso,(Democratic),122,AD 41,2025-07-02_13:53:19.361845
ED   18,99.00%,Khari O. Edwards,(Democratic),73,AD 41,2025-07-02_13:53:19.361845
