AD_num,reported,candidate,party,votes,scrape_time
AD   37,80.00%,Keith Powers,(Democratic),0,2025-07-02_13:53:15.590348
AD   37,80.00%,Calvin D. Sun,(Democratic),0,2025-07-02_13:53:15.590348
AD   37,80.00%,Brad Hoylman-Sigal,(Democratic),0,2025-07-02_13:53:15.590348
AD   37,80.00%,WRITE-IN,,0,2025-07-02_13:53:15.590348
AD   61,99.00%,Keith Powers,(Democratic),1025,2025-07-02_13:53:15.590348
AD   61,99.00%,Calvin D. Sun,(Democratic),469,2025-07-02_13:53:15.590348
AD   61,99.00%,Brad Hoylman-Sigal,(Democratic),1257,2025-07-02_13:53:15.590348
AD   61,99.00%,WRITE-IN,,14,2025-07-02_13:53:15.590348
AD   65,98.88%,Keith Powers,(Democratic),5882,2025-07-02_13:53:15.590348
AD   65,98.88%,Calvin D. Sun,(Democratic),3704,2025-07-02_13:53:15.590348
AD   65,98.88%,Brad Hoylman-Sigal,(Democratic),6738,2025-07-02_13:53:15.590348
AD   65,98.88%,WRITE-IN,,87,2025-07-02_13:53:15.590348
AD   66,98.94%,Keith Powers,(Democratic),6245,2025-07-02_13:53:15.590348
AD   66,98.94%,Calvin D. Sun,(Democratic),2414,2025-07-02_13:53:15.590348
AD   66,98.94%,Brad Hoylman-Sigal,(Democratic),14487,2025-07-02_13:53:15.590348
AD   66,98.94%,WRITE-IN,,154,2025-07-02_13:53:15.590348
AD   67,96.84%,Keith Powers,(Democratic),7025,2025-07-02_13:53:15.590348
AD   67,96.84%,Calvin D. Sun,(Democratic),2412,2025-07-02_13:53:15.590348
AD   67,96.84%,Brad Hoylman-Sigal,(Democratic),18074,2025-07-02_13:53:15.590348
AD   67,96.84%,WRITE-IN,,193,2025-07-02_13:53:15.590348
AD   68,97.80%,Keith Powers,(Democratic),7962,2025-07-02_13:53:15.590348
AD   68,97.80%,Calvin D. Sun,(Democratic),2382,2025-07-02_13:53:15.590348
AD   68,97.80%,Brad Hoylman-Sigal,(Democratic),4877,2025-07-02_13:53:15.590348
AD   68,97.80%,WRITE-IN,,114,2025-07-02_13:53:15.590348
AD   69,96.77%,Keith Powers,(Democratic),8109,2025-07-02_13:53:15.590348
AD   69,96.77%,Calvin D. Sun,(Democratic),2603,2025-07-02_13:53:15.590348
AD   69,96.77%,Brad Hoylman-Sigal,(Democratic),17126,2025-07-02_13:53:15.590348
AD   69,96.77%,WRITE-IN,,187,2025-07-02_13:53:15.590348
AD   70,87.63%,Keith Powers,(Democratic),8746,2025-07-02_13:53:15.590348
AD   70,87.63%,Calvin D. Sun,(Democratic),2326,2025-07-02_13:53:15.590348
AD   70,87.63%,Brad Hoylman-Sigal,(Democratic),6971,2025-07-02_13:53:15.590348
AD   70,87.63%,WRITE-IN,,140,2025-07-02_13:53:15.590348
AD   71,89.52%,Keith Powers,(Democratic),8419,2025-07-02_13:53:15.590348
AD   71,89.52%,Calvin D. Sun,(Democratic),2685,2025-07-02_13:53:15.590348
AD   71,89.52%,Brad Hoylman-Sigal,(Democratic),7427,2025-07-02_13:53:15.590348
AD   71,89.52%,WRITE-IN,,124,2025-07-02_13:53:15.590348
AD   72,96.43%,Keith Powers,(Democratic),5458,2025-07-02_13:53:15.590348
AD   72,96.43%,Calvin D. Sun,(Democratic),2108,2025-07-02_13:53:15.590348
AD   72,96.43%,Brad Hoylman-Sigal,(Democratic),3976,2025-07-02_13:53:15.590348
AD   72,96.43%,WRITE-IN,,71,2025-07-02_13:53:15.590348
AD   73,93.55%,Keith Powers,(Democratic),11043,2025-07-02_13:53:15.590348
AD   73,93.55%,Calvin D. Sun,(Democratic),2229,2025-07-02_13:53:15.590348
AD   73,93.55%,Brad Hoylman-Sigal,(Democratic),7767,2025-07-02_13:53:15.590348
AD   73,93.55%,WRITE-IN,,91,2025-07-02_13:53:15.590348
AD   74,94.06%,Keith Powers,(Democratic),9115,2025-07-02_13:53:15.590348
AD   74,94.06%,Calvin D. Sun,(Democratic),2420,2025-07-02_13:53:15.590348
AD   74,94.06%,Brad Hoylman-Sigal,(Democratic),8075,2025-07-02_13:53:15.590348
AD   74,94.06%,WRITE-IN,,90,2025-07-02_13:53:15.590348
AD   75,96.70%,Keith Powers,(Democratic),4975,2025-07-02_13:53:15.590348
AD   75,96.70%,Calvin D. Sun,(Democratic),2286,2025-07-02_13:53:15.590348
AD   75,96.70%,Brad Hoylman-Sigal,(Democratic),13302,2025-07-02_13:53:15.590348
AD   75,96.70%,WRITE-IN,,132,2025-07-02_13:53:15.590348
AD   76,98.96%,Keith Powers,(Democratic),10754,2025-07-02_13:53:15.590348
AD   76,98.96%,Calvin D. Sun,(Democratic),2875,2025-07-02_13:53:15.590348
AD   76,98.96%,Brad Hoylman-Sigal,(Democratic),10719,2025-07-02_13:53:15.590348
AD   76,98.96%,WRITE-IN,,125,2025-07-02_13:53:15.590348
Total,,Keith Powers,(Democratic),94758,2025-07-02_13:53:15.590348
Total,,Calvin D. Sun,(Democratic),30913,2025-07-02_13:53:15.590348
Total,,Brad Hoylman-Sigal,(Democratic),120796,2025-07-02_13:53:15.590348
Total,,WRITE-IN,,1522,2025-07-02_13:53:15.590348
