ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   71,80.00%,Keith Powers,(Democratic),0,AD 37,2025-07-02_13:53:15.590348
ED   71,80.00%,Calvin D. Sun,(Democratic),0,AD 37,2025-07-02_13:53:15.590348
ED   71,80.00%,Brad Hoylman-Sigal,(Democratic),0,AD 37,2025-07-02_13:53:15.590348
ED   71,80.00%,WRITE-IN,&nbsp,0,AD 37,2025-07-02_13:53:15.590348
Total,,Keith Powers,(Democratic),-,AD 37,2025-07-02_13:53:15.590348
Total,,Calvin D. Sun,(Democratic),-,AD 37,2025-07-02_13:53:15.590348
Total,,Brad Hoylman-Sigal,(Democratic),-,AD 37,2025-07-02_13:53:15.590348
Total,,WRITE-IN,&nbsp,-,AD 37,2025-07-02_13:53:15.590348
ED   60,99.00%,Keith Powers,(Democratic),85,AD 61,2025-07-02_13:53:15.590348
ED   60,99.00%,Calvin D. Sun,(Democratic),43,AD 61,2025-07-02_13:53:15.590348
ED   60,99.00%,Brad Hoylman-Sigal,(Democratic),107,AD 61,2025-07-02_13:53:15.590348
ED   60,99.00%,WRITE-IN,&nbsp,2,AD 61,2025-07-02_13:53:15.590348
ED   61,99.00%,Keith Powers,(Democratic),127,AD 61,2025-07-02_13:53:15.590348
ED   61,99.00%,Calvin D. Sun,(Democratic),66,AD 61,2025-07-02_13:53:15.590348
ED   61,99.00%,Brad Hoylman-Sigal,(Democratic),167,AD 61,2025-07-02_13:53:15.590348
ED   61,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:15.590348
ED   62,99.00%,Keith Powers,(Democratic),90,AD 61,2025-07-02_13:53:15.590348
ED   62,99.00%,Calvin D. Sun,(Democratic),57,AD 61,2025-07-02_13:53:15.590348
ED   62,99.00%,Brad Hoylman-Sigal,(Democratic),146,AD 61,2025-07-02_13:53:15.590348
ED   62,99.00%,WRITE-IN,&nbsp,2,AD 61,2025-07-02_13:53:15.590348
ED   63,99.00%,Keith Powers,(Democratic),124,AD 61,2025-07-02_13:53:15.590348
ED   63,99.00%,Calvin D. Sun,(Democratic),56,AD 61,2025-07-02_13:53:15.590348
ED   63,99.00%,Brad Hoylman-Sigal,(Democratic),152,AD 61,2025-07-02_13:53:15.590348
ED   63,99.00%,WRITE-IN,&nbsp,3,AD 61,2025-07-02_13:53:15.590348
ED   64,99.00%,Keith Powers,(Democratic),79,AD 61,2025-07-02_13:53:15.590348
ED   64,99.00%,Calvin D. Sun,(Democratic),31,AD 61,2025-07-02_13:53:15.590348
ED   64,99.00%,Brad Hoylman-Sigal,(Democratic),137,AD 61,2025-07-02_13:53:15.590348
ED   64,99.00%,WRITE-IN,&nbsp,2,AD 61,2025-07-02_13:53:15.590348
ED   65,99.00%,Keith Powers,(Democratic),153,AD 61,2025-07-02_13:53:15.590348
ED   65,99.00%,Calvin D. Sun,(Democratic),46,AD 61,2025-07-02_13:53:15.590348
ED   65,99.00%,Brad Hoylman-Sigal,(Democratic),127,AD 61,2025-07-02_13:53:15.590348
ED   65,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:15.590348
ED   66,99.00%,Keith Powers,(Democratic),127,AD 61,2025-07-02_13:53:15.590348
ED   66,99.00%,Calvin D. Sun,(Democratic),43,AD 61,2025-07-02_13:53:15.590348
ED   66,99.00%,Brad Hoylman-Sigal,(Democratic),112,AD 61,2025-07-02_13:53:15.590348
ED   66,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:15.590348
ED   67,99.00%,Keith Powers,(Democratic),106,AD 61,2025-07-02_13:53:15.590348
ED   67,99.00%,Calvin D. Sun,(Democratic),61,AD 61,2025-07-02_13:53:15.590348
ED   67,99.00%,Brad Hoylman-Sigal,(Democratic),148,AD 61,2025-07-02_13:53:15.590348
ED   67,99.00%,WRITE-IN,&nbsp,1,AD 61,2025-07-02_13:53:15.590348
ED   68,99.00%,Keith Powers,(Democratic),134,AD 61,2025-07-02_13:53:15.590348
ED   68,99.00%,Calvin D. Sun,(Democratic),66,AD 61,2025-07-02_13:53:15.590348
ED   68,99.00%,Brad Hoylman-Sigal,(Democratic),161,AD 61,2025-07-02_13:53:15.590348
ED   68,99.00%,WRITE-IN,&nbsp,4,AD 61,2025-07-02_13:53:15.590348
ED   69,99.00%,Keith Powers,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   69,99.00%,Calvin D. Sun,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   69,99.00%,Brad Hoylman-Sigal,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   69,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:15.590348
ED   70,99.00%,Keith Powers,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   70,99.00%,Calvin D. Sun,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   70,99.00%,Brad Hoylman-Sigal,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   70,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:15.590348
ED   71,99.00%,Keith Powers,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   71,99.00%,Calvin D. Sun,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   71,99.00%,Brad Hoylman-Sigal,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   71,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:15.590348
ED   72,99.00%,Keith Powers,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   72,99.00%,Calvin D. Sun,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   72,99.00%,Brad Hoylman-Sigal,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   72,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:15.590348
ED   73,99.00%,Keith Powers,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   73,99.00%,Calvin D. Sun,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   73,99.00%,Brad Hoylman-Sigal,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   73,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:15.590348
ED   74,99.00%,Keith Powers,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   74,99.00%,Calvin D. Sun,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   74,99.00%,Brad Hoylman-Sigal,(Democratic),0,AD 61,2025-07-02_13:53:15.590348
ED   74,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:15.590348
Total,,Keith Powers,(Democratic),1025,AD 61,2025-07-02_13:53:15.590348
Total,,Calvin D. Sun,(Democratic),469,AD 61,2025-07-02_13:53:15.590348
Total,,Brad Hoylman-Sigal,(Democratic),1257,AD 61,2025-07-02_13:53:15.590348
Total,,WRITE-IN,&nbsp,14,AD 61,2025-07-02_13:53:15.590348
ED    1,99.00%,Keith Powers,(Democratic),115,AD 65,2025-07-02_13:53:15.590348
ED    1,99.00%,Calvin D. Sun,(Democratic),55,AD 65,2025-07-02_13:53:15.590348
ED    1,99.00%,Brad Hoylman-Sigal,(Democratic),127,AD 65,2025-07-02_13:53:15.590348
ED    1,99.00%,WRITE-IN,&nbsp,5,AD 65,2025-07-02_13:53:15.590348
ED    2,83.33%,Keith Powers,(Democratic),99,AD 65,2025-07-02_13:53:15.590348
ED    2,83.33%,Calvin D. Sun,(Democratic),59,AD 65,2025-07-02_13:53:15.590348
ED    2,83.33%,Brad Hoylman-Sigal,(Democratic),137,AD 65,2025-07-02_13:53:15.590348
ED    2,83.33%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:15.590348
ED    3,99.00%,Keith Powers,(Democratic),135,AD 65,2025-07-02_13:53:15.590348
ED    3,99.00%,Calvin D. Sun,(Democratic),55,AD 65,2025-07-02_13:53:15.590348
ED    3,99.00%,Brad Hoylman-Sigal,(Democratic),150,AD 65,2025-07-02_13:53:15.590348
ED    3,99.00%,WRITE-IN,&nbsp,1,AD 65,2025-07-02_13:53:15.590348
ED    4,99.00%,Keith Powers,(Democratic),102,AD 65,2025-07-02_13:53:15.590348
ED    4,99.00%,Calvin D. Sun,(Democratic),58,AD 65,2025-07-02_13:53:15.590348
ED    4,99.00%,Brad Hoylman-Sigal,(Democratic),131,AD 65,2025-07-02_13:53:15.590348
ED    4,99.00%,WRITE-IN,&nbsp,2,AD 65,2025-07-02_13:53:15.590348
ED    5,99.00%,Keith Powers,(Democratic),87,AD 65,2025-07-02_13:53:15.590348
ED    5,99.00%,Calvin D. Sun,(Democratic),45,AD 65,2025-07-02_13:53:15.590348
ED    5,99.00%,Brad Hoylman-Sigal,(Democratic),109,AD 65,2025-07-02_13:53:15.590348
ED    5,99.00%,WRITE-IN,&nbsp,2,AD 65,2025-07-02_13:53:15.590348
ED    6,99.00%,Keith Powers,(Democratic),92,AD 65,2025-07-02_13:53:15.590348
ED    6,99.00%,Calvin D. Sun,(Democratic),45,AD 65,2025-07-02_13:53:15.590348
ED    6,99.00%,Brad Hoylman-Sigal,(Democratic),92,AD 65,2025-07-02_13:53:15.590348
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:15.590348
ED    7,99.00%,Keith Powers,(Democratic),111,AD 65,2025-07-02_13:53:15.590348
ED    7,99.00%,Calvin D. Sun,(Democratic),73,AD 65,2025-07-02_13:53:15.590348
ED    7,99.00%,Brad Hoylman-Sigal,(Democratic),173,AD 65,2025-07-02_13:53:15.590348
ED    7,99.00%,WRITE-IN,&nbsp,2,AD 65,2025-07-02_13:53:15.590348
ED    8,99.00%,Keith Powers,(Democratic),69,AD 65,2025-07-02_13:53:15.590348
ED    8,99.00%,Calvin D. Sun,(Democratic),59,AD 65,2025-07-02_13:53:15.590348
ED    8,99.00%,Brad Hoylman-Sigal,(Democratic),117,AD 65,2025-07-02_13:53:15.590348
ED    8,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:15.590348
ED    9,83.33%,Keith Powers,(Democratic),101,AD 65,2025-07-02_13:53:15.590348
ED    9,83.33%,Calvin D. Sun,(Democratic),61,AD 65,2025-07-02_13:53:15.590348
ED    9,83.33%,Brad Hoylman-Sigal,(Democratic),123,AD 65,2025-07-02_13:53:15.590348
ED    9,83.33%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:15.590348
ED   10,99.00%,Keith Powers,(Democratic),104,AD 65,2025-07-02_13:53:15.590348
ED   10,99.00%,Calvin D. Sun,(Democratic),64,AD 65,2025-07-02_13:53:15.590348
ED   10,99.00%,Brad Hoylman-Sigal,(Democratic),117,AD 65,2025-07-02_13:53:15.590348
ED   10,99.00%,WRITE-IN,&nbsp,1,AD 65,2025-07-02_13:53:15.590348
ED   11,83.33%,Keith Powers,(Democratic),45,AD 65,2025-07-02_13:53:15.590348
ED   11,83.33%,Calvin D. Sun,(Democratic),20,AD 65,2025-07-02_13:53:15.590348
ED   11,83.33%,Brad Hoylman-Sigal,(Democratic),72,AD 65,2025-07-02_13:53:15.590348
ED   11,83.33%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:15.590348
ED   12,99.00%,Keith Powers,(Democratic),50,AD 65,2025-07-02_13:53:15.590348
