AD_num,reported,candidate,party,votes,scrape_time
AD   23,94.35%,Peter Kefalas,(Republican),692,2025-07-02_13:54:23.267186
AD   23,94.35%,Danniel Maio,(Republican),354,2025-07-02_13:54:23.267186
AD   23,94.35%,WRITE-IN,,47,2025-07-02_13:54:23.267186
AD   24,98.18%,Peter Kefalas,(Republican),244,2025-07-02_13:54:23.267186
AD   24,98.18%,Danniel Maio,(Republican),150,2025-07-02_13:54:23.267186
AD   24,98.18%,WRITE-IN,,42,2025-07-02_13:54:23.267186
AD   25,96.70%,Peter Kefalas,(Republican),262,2025-07-02_13:54:23.267186
AD   25,96.70%,Danniel Maio,(Republican),170,2025-07-02_13:54:23.267186
AD   25,96.70%,WRITE-IN,,19,2025-07-02_13:54:23.267186
AD   26,99.00%,Peter Kefalas,(Republican),462,2025-07-02_13:54:23.267186
AD   26,99.00%,Danniel Maio,(Republican),235,2025-07-02_13:54:23.267186
AD   26,99.00%,WRITE-IN,,35,2025-07-02_13:54:23.267186
AD   27,95.28%,Peter Kefalas,(Republican),322,2025-07-02_13:54:23.267186
AD   27,95.28%,Danniel Maio,(Republican),188,2025-07-02_13:54:23.267186
AD   27,95.28%,WRITE-IN,,25,2025-07-02_13:54:23.267186
AD   28,95.41%,Peter Kefalas,(Republican),363,2025-07-02_13:54:23.267186
AD   28,95.41%,Danniel Maio,(Republican),222,2025-07-02_13:54:23.267186
AD   28,95.41%,WRITE-IN,,29,2025-07-02_13:54:23.267186
AD   29,94.17%,Peter Kefalas,(Republican),98,2025-07-02_13:54:23.267186
AD   29,94.17%,Danniel Maio,(Republican),51,2025-07-02_13:54:23.267186
AD   29,94.17%,WRITE-IN,,17,2025-07-02_13:54:23.267186
AD   30,94.44%,Peter Kefalas,(Republican),272,2025-07-02_13:54:23.267186
AD   30,94.44%,Danniel Maio,(Republican),123,2025-07-02_13:54:23.267186
AD   30,94.44%,WRITE-IN,,25,2025-07-02_13:54:23.267186
AD   31,94.12%,Peter Kefalas,(Republican),106,2025-07-02_13:54:23.267186
AD   31,94.12%,Danniel Maio,(Republican),55,2025-07-02_13:54:23.267186
AD   31,94.12%,WRITE-IN,,20,2025-07-02_13:54:23.267186
AD   32,84.42%,Peter Kefalas,(Republican),58,2025-07-02_13:54:23.267186
AD   32,84.42%,Danniel Maio,(Republican),41,2025-07-02_13:54:23.267186
AD   32,84.42%,WRITE-IN,,7,2025-07-02_13:54:23.267186
AD   33,96.25%,Peter Kefalas,(Republican),129,2025-07-02_13:54:23.267186
AD   33,96.25%,Danniel Maio,(Republican),114,2025-07-02_13:54:23.267186
AD   33,96.25%,WRITE-IN,,18,2025-07-02_13:54:23.267186
AD   34,97.47%,Peter Kefalas,(Republican),208,2025-07-02_13:54:23.267186
AD   34,97.47%,Danniel Maio,(Republican),95,2025-07-02_13:54:23.267186
AD   34,97.47%,WRITE-IN,,23,2025-07-02_13:54:23.267186
AD   35,92.05%,Peter Kefalas,(Republican),179,2025-07-02_13:54:23.267186
AD   35,92.05%,Danniel Maio,(Republican),86,2025-07-02_13:54:23.267186
AD   35,92.05%,WRITE-IN,,15,2025-07-02_13:54:23.267186
AD   36,96.34%,Peter Kefalas,(Republican),220,2025-07-02_13:54:23.267186
AD   36,96.34%,Danniel Maio,(Republican),81,2025-07-02_13:54:23.267186
AD   36,96.34%,WRITE-IN,,22,2025-07-02_13:54:23.267186
AD   37,91.07%,Peter Kefalas,(Republican),252,2025-07-02_13:54:23.267186
AD   37,91.07%,Danniel Maio,(Republican),111,2025-07-02_13:54:23.267186
AD   37,91.07%,WRITE-IN,,15,2025-07-02_13:54:23.267186
AD   38,99.00%,Peter Kefalas,(Republican),205,2025-07-02_13:54:23.267186
AD   38,99.00%,Danniel Maio,(Republican),116,2025-07-02_13:54:23.267186
AD   38,99.00%,WRITE-IN,,21,2025-07-02_13:54:23.267186
AD   39,97.59%,Peter Kefalas,(Republican),243,2025-07-02_13:54:23.267186
AD   39,97.59%,Danniel Maio,(Republican),130,2025-07-02_13:54:23.267186
AD   39,97.59%,WRITE-IN,,18,2025-07-02_13:54:23.267186
AD   40,89.36%,Peter Kefalas,(Republican),182,2025-07-02_13:54:23.267186
AD   40,89.36%,Danniel Maio,(Republican),111,2025-07-02_13:54:23.267186
AD   40,89.36%,WRITE-IN,,11,2025-07-02_13:54:23.267186
AD   41,98.10%,Peter Kefalas,(Republican),686,2025-07-02_13:54:23.267186
AD   41,98.10%,Danniel Maio,(Republican),352,2025-07-02_13:54:23.267186
AD   41,98.10%,WRITE-IN,,51,2025-07-02_13:54:23.267186
AD   42,99.00%,Peter Kefalas,(Republican),112,2025-07-02_13:54:23.267186
AD   42,99.00%,Danniel Maio,(Republican),47,2025-07-02_13:54:23.267186
AD   42,99.00%,WRITE-IN,,33,2025-07-02_13:54:23.267186
AD   43,97.75%,Peter Kefalas,(Republican),120,2025-07-02_13:54:23.267186
AD   43,97.75%,Danniel Maio,(Republican),57,2025-07-02_13:54:23.267186
AD   43,97.75%,WRITE-IN,,32,2025-07-02_13:54:23.267186
AD   44,98.32%,Peter Kefalas,(Republican),199,2025-07-02_13:54:23.267186
