boro,reported,candidate,party,votes,scrape_time
New York,95.48%,Peter Kefalas,(Republican),2405,2025-07-02_13:54:23.267186
New York,95.48%,Danniel Maio,(Republican),1124,2025-07-02_13:54:23.267186
New York,95.48%,WRITE-IN,,301,2025-07-02_13:54:23.267186
Bronx,96.10%,Peter Kefalas,(Republican),1256,2025-07-02_13:54:23.267186
Bronx,96.10%,Danniel Maio,(Republican),671,2025-07-02_13:54:23.267186
Bronx,96.10%,WRITE-IN,,167,2025-07-02_13:54:23.267186
Kings,97.38%,Peter Kefalas,(Republican),5671,2025-07-02_13:54:23.267186
Kings,97.38%,Danniel Maio,(Republican),2878,2025-07-02_13:54:23.267186
Kings,97.38%,WRITE-IN,,577,2025-07-02_13:54:23.267186
Queens,94.41%,Peter Kefalas,(Republican),4497,2025-07-02_13:54:23.267186
Queens,94.41%,Danniel Maio,(Republican),2433,2025-07-02_13:54:23.267186
Queens,94.41%,WRITE-IN,,409,2025-07-02_13:54:23.267186
Richmond,98.07%,Peter Kefalas,(Republican),3361,2025-07-02_13:54:23.267186
Richmond,98.07%,Danniel Maio,(Republican),2158,2025-07-02_13:54:23.267186
Richmond,98.07%,WRITE-IN,,157,2025-07-02_13:54:23.267186
Total,,Peter Kefalas,(Republican),17190,2025-07-02_13:54:23.267186
Total,,Danniel Maio,(Republican),9264,2025-07-02_13:54:23.267186
Total,,WRITE-IN,,1611,2025-07-02_13:54:23.267186
