ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Peter Kefalas,(Republican),64,AD 23,2025-07-02_13:54:23.267186
ED    1,99.00%,Danniel Maio,(Republican),24,AD 23,2025-07-02_13:54:23.267186
ED    1,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:54:23.267186
ED    2,99.00%,Peter Kefalas,(Republican),54,AD 23,2025-07-02_13:54:23.267186
ED    2,99.00%,Danniel Maio,(Republican),34,AD 23,2025-07-02_13:54:23.267186
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:54:23.267186
ED    3,99.00%,Peter Kefalas,(Republican),12,AD 23,2025-07-02_13:54:23.267186
ED    3,99.00%,Danniel Maio,(Republican),2,AD 23,2025-07-02_13:54:23.267186
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED    4,75.00%,Peter Kefalas,(Republican),56,AD 23,2025-07-02_13:54:23.267186
ED    4,75.00%,Danniel Maio,(Republican),27,AD 23,2025-07-02_13:54:23.267186
ED    4,75.00%,WRITE-IN,&nbsp,3,AD 23,2025-07-02_13:54:23.267186
ED    5,75.00%,Peter Kefalas,(Republican),23,AD 23,2025-07-02_13:54:23.267186
ED    5,75.00%,Danniel Maio,(Republican),11,AD 23,2025-07-02_13:54:23.267186
ED    5,75.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:54:23.267186
ED    6,75.00%,Peter Kefalas,(Republican),55,AD 23,2025-07-02_13:54:23.267186
ED    6,75.00%,Danniel Maio,(Republican),17,AD 23,2025-07-02_13:54:23.267186
ED    6,75.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED    7,75.00%,Peter Kefalas,(Republican),37,AD 23,2025-07-02_13:54:23.267186
ED    7,75.00%,Danniel Maio,(Republican),30,AD 23,2025-07-02_13:54:23.267186
ED    7,75.00%,WRITE-IN,&nbsp,8,AD 23,2025-07-02_13:54:23.267186
ED    8,99.00%,Peter Kefalas,(Republican),32,AD 23,2025-07-02_13:54:23.267186
