ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Karen Koslowitz,(Democratic),32,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Matthew M. Mandell,(Democratic),24,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Ronnie Croce,(Democratic),17,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Kevin Ly,(Democratic),25,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Edwin K. Wong,(Democratic),27,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Sandra S. Mandell,(Democratic),29,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,David Aronov,(Democratic),17,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Denise D. Rachnaev,(Democratic),17,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Melissa Ann San Pedro,(Democratic),28,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Soumaly King,(Democratic),13,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Richard J. Nunez-Lawrence,(Democratic),13,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Maria D. Kaufer,(Democratic),12,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Ximena M. Frankel,(Democratic),11,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Lauren J. Clavin,(Democratic),14,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Gladys Sandoval,(Democratic),25,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,Mark E. Morrill,(Democratic),12,AD 28,2025-07-02_13:54:04.82369
ED    1,99.00%,WRITE-IN,&nbsp,2,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Karen Koslowitz,(Democratic),178,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Matthew M. Mandell,(Democratic),118,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Ronnie Croce,(Democratic),102,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Kevin Ly,(Democratic),106,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Edwin K. Wong,(Democratic),146,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Sandra S. Mandell,(Democratic),137,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,David Aronov,(Democratic),100,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Denise D. Rachnaev,(Democratic),97,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Melissa Ann San Pedro,(Democratic),128,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Soumaly King,(Democratic),106,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Richard J. Nunez-Lawrence,(Democratic),103,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Maria D. Kaufer,(Democratic),116,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Ximena M. Frankel,(Democratic),110,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Lauren J. Clavin,(Democratic),105,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Gladys Sandoval,(Democratic),127,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,Mark E. Morrill,(Democratic),92,AD 28,2025-07-02_13:54:04.82369
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 28,2025-07-02_13:54:04.82369
ED    3,99.00%,Karen Koslowitz,(Democratic),154,AD 28,2025-07-02_13:54:04.82369
ED    3,99.00%,Matthew M. Mandell,(Democratic),88,AD 28,2025-07-02_13:54:04.82369
ED    3,99.00%,Ronnie Croce,(Democratic),63,AD 28,2025-07-02_13:54:04.82369
ED    3,99.00%,Kevin Ly,(Democratic),75,AD 28,2025-07-02_13:54:04.82369
ED    3,99.00%,Edwin K. Wong,(Democratic),108,AD 28,2025-07-02_13:54:04.82369
