boro,reported,candidate,party,votes,scrape_time
Kings,93.48%,Paperboy Love Prince,(Democratic),5503,2025-07-02_13:54:05.998293
Kings,93.48%,Lindsey Royce,(Democratic),4916,2025-07-02_13:54:05.998293
Kings,93.48%,Michelle Joni Lapidos,(Democratic),4830,2025-07-02_13:54:05.998293
Kings,93.48%,Jessica Florenciany,(Democratic),6420,2025-07-02_13:54:05.998293
Kings,93.48%,Lahoma Shipman,(Democratic),5421,2025-07-02_13:54:05.998293
Kings,93.48%,Eloisa L. Rowe-Barnett,(Democratic),5885,2025-07-02_13:54:05.998293
Kings,93.48%,Iris Cabrera,(Democratic),7406,2025-07-02_13:54:05.998293
Kings,93.48%,Sharon L. Irby,(Democratic),5339,2025-07-02_13:54:05.998293
Kings,93.48%,Larry Fernandez,(Democratic),4985,2025-07-02_13:54:05.998293
Kings,93.48%,Joseph A. Yanis,(Democratic),4283,2025-07-02_13:54:05.998293
Kings,93.48%,Maritza Rodriguez,(Democratic),8292,2025-07-02_13:54:05.998293
Kings,93.48%,WRITE-IN,,260,2025-07-02_13:54:05.998293
Total,,Paperboy Love Prince,(Democratic),5503,2025-07-02_13:54:05.998293
Total,,Lindsey Royce,(Democratic),4916,2025-07-02_13:54:05.998293
Total,,Michelle Joni Lapidos,(Democratic),4830,2025-07-02_13:54:05.998293
Total,,Jessica Florenciany,(Democratic),6420,2025-07-02_13:54:05.998293
Total,,Lahoma Shipman,(Democratic),5421,2025-07-02_13:54:05.998293
Total,,Eloisa L. Rowe-Barnett,(Democratic),5885,2025-07-02_13:54:05.998293
Total,,Iris Cabrera,(Democratic),7406,2025-07-02_13:54:05.998293
Total,,Sharon L. Irby,(Democratic),5339,2025-07-02_13:54:05.998293
Total,,Larry Fernandez,(Democratic),4985,2025-07-02_13:54:05.998293
Total,,Joseph A. Yanis,(Democratic),4283,2025-07-02_13:54:05.998293
Total,,Maritza Rodriguez,(Democratic),8292,2025-07-02_13:54:05.998293
Total,,WRITE-IN,,260,2025-07-02_13:54:05.998293
