ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Paperboy Love Prince,(Democratic),107,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,Lindsey Royce,(Democratic),94,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,Michelle Joni Lapidos,(Democratic),106,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,Jessica Florenciany,(Democratic),130,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,Lahoma Shipman,(Democratic),118,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,Eloisa L. Rowe-Barnett,(Democratic),122,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,Iris Cabrera,(Democratic),159,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,Sharon L. Irby,(Democratic),113,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,Larry Fernandez,(Democratic),99,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,Joseph A. Yanis,(Democratic),92,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,Maritza Rodriguez,(Democratic),169,AD 53,2025-07-02_13:54:05.998293
ED    1,99.00%,WRITE-IN,&nbsp,2,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Paperboy Love Prince,(Democratic),129,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Lindsey Royce,(Democratic),116,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Michelle Joni Lapidos,(Democratic),105,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Jessica Florenciany,(Democratic),133,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Lahoma Shipman,(Democratic),120,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Eloisa L. Rowe-Barnett,(Democratic),137,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Iris Cabrera,(Democratic),149,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Sharon L. Irby,(Democratic),122,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Larry Fernandez,(Democratic),103,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Joseph A. Yanis,(Democratic),87,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,Maritza Rodriguez,(Democratic),173,AD 53,2025-07-02_13:54:05.998293
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Paperboy Love Prince,(Democratic),86,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Lindsey Royce,(Democratic),68,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Michelle Joni Lapidos,(Democratic),67,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Jessica Florenciany,(Democratic),83,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Lahoma Shipman,(Democratic),70,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Eloisa L. Rowe-Barnett,(Democratic),82,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Iris Cabrera,(Democratic),102,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Sharon L. Irby,(Democratic),76,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Larry Fernandez,(Democratic),74,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Joseph A. Yanis,(Democratic),64,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,Maritza Rodriguez,(Democratic),128,AD 53,2025-07-02_13:54:05.998293
ED    3,99.00%,WRITE-IN,&nbsp,1,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Paperboy Love Prince,(Democratic),72,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Lindsey Royce,(Democratic),48,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Michelle Joni Lapidos,(Democratic),51,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Jessica Florenciany,(Democratic),58,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Lahoma Shipman,(Democratic),48,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Eloisa L. Rowe-Barnett,(Democratic),53,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Iris Cabrera,(Democratic),63,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Sharon L. Irby,(Democratic),49,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Larry Fernandez,(Democratic),35,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Joseph A. Yanis,(Democratic),35,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,Maritza Rodriguez,(Democratic),65,AD 53,2025-07-02_13:54:05.998293
ED    4,99.00%,WRITE-IN,&nbsp,0,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Paperboy Love Prince,(Democratic),73,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Lindsey Royce,(Democratic),77,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Michelle Joni Lapidos,(Democratic),68,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Jessica Florenciany,(Democratic),90,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Lahoma Shipman,(Democratic),75,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Eloisa L. Rowe-Barnett,(Democratic),79,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Iris Cabrera,(Democratic),103,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Sharon L. Irby,(Democratic),74,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Larry Fernandez,(Democratic),59,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Joseph A. Yanis,(Democratic),65,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,Maritza Rodriguez,(Democratic),117,AD 53,2025-07-02_13:54:05.998293
ED    5,99.00%,WRITE-IN,&nbsp,2,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Paperboy Love Prince,(Democratic),27,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Lindsey Royce,(Democratic),27,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Michelle Joni Lapidos,(Democratic),23,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Jessica Florenciany,(Democratic),31,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Lahoma Shipman,(Democratic),15,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Eloisa L. Rowe-Barnett,(Democratic),13,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Iris Cabrera,(Democratic),38,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Sharon L. Irby,(Democratic),18,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Larry Fernandez,(Democratic),24,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Joseph A. Yanis,(Democratic),22,AD 53,2025-07-02_13:54:05.998293
ED    6,99.00%,Maritza Rodriguez,(Democratic),72,AD 53,2025-07-02_13:54:05.998293
