AD_num,reported,candidate,party,votes,scrape_time
AD   68,97.80%,John Ruiz Miranda,(Democratic),5069,2025-07-02_13:54:08.569376
AD   68,97.80%,Melissa Mark Viverito,(Democratic),6686,2025-07-02_13:54:08.569376
AD   68,97.80%,William Smith,(Democratic),3969,2025-07-02_13:54:08.569376
AD   68,97.80%,Xavier Santiago,(Democratic),4168,2025-07-02_13:54:08.569376
AD   68,97.80%,Nina Saxon,(Democratic),4535,2025-07-02_13:54:08.569376
AD   68,97.80%,Diana I. Ayala,(Democratic),7193,2025-07-02_13:54:08.569376
AD   68,97.80%,Beverly MacFarlane,(Democratic),4337,2025-07-02_13:54:08.569376
AD   68,97.80%,Monisha Mapp,(Democratic),4292,2025-07-02_13:54:08.569376
AD   68,97.80%,Faheem Abdur-Razaaq,(Democratic),3573,2025-07-02_13:54:08.569376
AD   68,97.80%,Teisha McKoy,(Democratic),4149,2025-07-02_13:54:08.569376
AD   68,97.80%,Rosa G. Diaz,(Democratic),4290,2025-07-02_13:54:08.569376
AD   68,97.80%,Brandon D. Gillespie,(Democratic),1823,2025-07-02_13:54:08.569376
AD   68,97.80%,Raul Reyes,(Democratic),2322,2025-07-02_13:54:08.569376
AD   68,97.80%,James D. Gray,(Democratic),1534,2025-07-02_13:54:08.569376
AD   68,97.80%,Rafael Rodriguez,(Democratic),2179,2025-07-02_13:54:08.569376
AD   68,97.80%,Diana Burgos,(Democratic),3595,2025-07-02_13:54:08.569376
AD   68,97.80%,Mildred Maneiro,(Democratic),2264,2025-07-02_13:54:08.569376
AD   68,97.80%,James Ratti,(Democratic),1366,2025-07-02_13:54:08.569376
AD   68,97.80%,WRITE-IN,,211,2025-07-02_13:54:08.569376
Total,,John Ruiz Miranda,(Democratic),5069,2025-07-02_13:54:08.569376
Total,,Melissa Mark Viverito,(Democratic),6686,2025-07-02_13:54:08.569376
Total,,William Smith,(Democratic),3969,2025-07-02_13:54:08.569376
Total,,Xavier Santiago,(Democratic),4168,2025-07-02_13:54:08.569376
Total,,Nina Saxon,(Democratic),4535,2025-07-02_13:54:08.569376
Total,,Diana I. Ayala,(Democratic),7193,2025-07-02_13:54:08.569376
Total,,Beverly MacFarlane,(Democratic),4337,2025-07-02_13:54:08.569376
Total,,Monisha Mapp,(Democratic),4292,2025-07-02_13:54:08.569376
Total,,Faheem Abdur-Razaaq,(Democratic),3573,2025-07-02_13:54:08.569376
Total,,Teisha McKoy,(Democratic),4149,2025-07-02_13:54:08.569376
Total,,Rosa G. Diaz,(Democratic),4290,2025-07-02_13:54:08.569376
Total,,Brandon D. Gillespie,(Democratic),1823,2025-07-02_13:54:08.569376
Total,,Raul Reyes,(Democratic),2322,2025-07-02_13:54:08.569376
Total,,James D. Gray,(Democratic),1534,2025-07-02_13:54:08.569376
Total,,Rafael Rodriguez,(Democratic),2179,2025-07-02_13:54:08.569376
Total,,Diana Burgos,(Democratic),3595,2025-07-02_13:54:08.569376
Total,,Mildred Maneiro,(Democratic),2264,2025-07-02_13:54:08.569376
Total,,James Ratti,(Democratic),1366,2025-07-02_13:54:08.569376
Total,,WRITE-IN,,211,2025-07-02_13:54:08.569376
