ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,87.50%,Earnestine Bell Temple,(Democratic),168,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Maria A. Luna,(Democratic),174,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Johanna Garcia,(Democratic),190,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Rita Miller,(Democratic),169,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Juana H. Luna,(Democratic),149,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Jackie Rowe Adams,(Democratic),148,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Nancy Brown,(Democratic),172,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Anthony R. Viola,(Democratic),135,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Carmen I. Grullon De Rojas,(Democratic),166,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Patricia Scarborough,(Democratic),161,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Dolores Leito,(Democratic),142,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Jenny D. Garcia,(Democratic),89,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Laurie Tobias-Cohen,(Democratic),79,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Mayra A. Marmol Peralta,(Democratic),61,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Jose A. Ferreria Torres,(Democratic),60,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Elizabeth Veras,(Democratic),78,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Evangelina Fermin,(Democratic),64,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Juan Armando Penalo Ramos,(Democratic),37,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Bienvenida Luna,(Democratic),63,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Julia Guzman,(Democratic),71,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Adalgisa Abreu,(Democratic),55,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,Amy Slattery,(Democratic),81,AD 71,2025-07-02_13:54:11.388916
ED    1,87.50%,WRITE-IN,&nbsp,23,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Earnestine Bell Temple,(Democratic),132,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Maria A. Luna,(Democratic),157,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Johanna Garcia,(Democratic),126,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Rita Miller,(Democratic),130,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Juana H. Luna,(Democratic),107,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Jackie Rowe Adams,(Democratic),119,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Nancy Brown,(Democratic),124,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Anthony R. Viola,(Democratic),92,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Carmen I. Grullon De Rojas,(Democratic),125,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Patricia Scarborough,(Democratic),123,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Dolores Leito,(Democratic),99,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Jenny D. Garcia,(Democratic),97,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Laurie Tobias-Cohen,(Democratic),86,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Mayra A. Marmol Peralta,(Democratic),53,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Jose A. Ferreria Torres,(Democratic),57,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Elizabeth Veras,(Democratic),71,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Evangelina Fermin,(Democratic),54,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Juan Armando Penalo Ramos,(Democratic),49,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Bienvenida Luna,(Democratic),43,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Julia Guzman,(Democratic),86,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Adalgisa Abreu,(Democratic),53,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,Amy Slattery,(Democratic),80,AD 71,2025-07-02_13:54:11.388916
ED    2,87.50%,WRITE-IN,&nbsp,8,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Earnestine Bell Temple,(Democratic),234,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Maria A. Luna,(Democratic),263,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Johanna Garcia,(Democratic),264,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Rita Miller,(Democratic),250,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Juana H. Luna,(Democratic),219,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Jackie Rowe Adams,(Democratic),237,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Nancy Brown,(Democratic),246,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Anthony R. Viola,(Democratic),174,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Carmen I. Grullon De Rojas,(Democratic),230,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Patricia Scarborough,(Democratic),238,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Dolores Leito,(Democratic),202,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Jenny D. Garcia,(Democratic),123,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Laurie Tobias-Cohen,(Democratic),146,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Mayra A. Marmol Peralta,(Democratic),84,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Jose A. Ferreria Torres,(Democratic),79,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Elizabeth Veras,(Democratic),116,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Evangelina Fermin,(Democratic),100,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Juan Armando Penalo Ramos,(Democratic),65,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Bienvenida Luna,(Democratic),73,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Julia Guzman,(Democratic),115,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Adalgisa Abreu,(Democratic),83,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,Amy Slattery,(Democratic),133,AD 71,2025-07-02_13:54:11.388916
ED    3,99.00%,WRITE-IN,&nbsp,18,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Earnestine Bell Temple,(Democratic),299,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Maria A. Luna,(Democratic),316,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Johanna Garcia,(Democratic),315,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Rita Miller,(Democratic),304,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Juana H. Luna,(Democratic),267,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Jackie Rowe Adams,(Democratic),273,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Nancy Brown,(Democratic),304,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Anthony R. Viola,(Democratic),223,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Carmen I. Grullon De Rojas,(Democratic),274,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Patricia Scarborough,(Democratic),281,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Dolores Leito,(Democratic),255,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Jenny D. Garcia,(Democratic),133,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Laurie Tobias-Cohen,(Democratic),156,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Mayra A. Marmol Peralta,(Democratic),94,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Jose A. Ferreria Torres,(Democratic),87,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Elizabeth Veras,(Democratic),133,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Evangelina Fermin,(Democratic),102,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Juan Armando Penalo Ramos,(Democratic),68,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Bienvenida Luna,(Democratic),77,AD 71,2025-07-02_13:54:11.388916
ED    4,99.00%,Julia Guzman,(Democratic),116,AD 71,2025-07-02_13:54:11.388916
