boro,reported,candidate,party,votes,scrape_time
New York,96.43%,Carmen Y. De la Rosa,(Democratic),9838,2025-07-02_13:54:12.79486
New York,96.43%,Manny De Los Santos,(Democratic),6536,2025-07-02_13:54:12.79486
New York,96.43%,Rosendo Mejia Dominguez,(Democratic),3615,2025-07-02_13:54:12.79486
New York,96.43%,Ramon De La Rosa,(Democratic),3896,2025-07-02_13:54:12.79486
New York,96.43%,Brunilda Rodriguez,(Democratic),3955,2025-07-02_13:54:12.79486
New York,96.43%,Fernando Mendez,(Democratic),3582,2025-07-02_13:54:12.79486
New York,96.43%,Dayana Pichardo,(Democratic),4100,2025-07-02_13:54:12.79486
New York,96.43%,Rosario Capellan,(Democratic),3819,2025-07-02_13:54:12.79486
New York,96.43%,Elizabeth Pepin,(Democratic),2809,2025-07-02_13:54:12.79486
New York,96.43%,Jasinta Delacruz,(Democratic),2369,2025-07-02_13:54:12.79486
New York,96.43%,Jennyfer Almanzar,(Democratic),2519,2025-07-02_13:54:12.79486
New York,96.43%,Lyana M. Fernandez,(Democratic),2065,2025-07-02_13:54:12.79486
New York,96.43%,Joanna Katz,(Democratic),2284,2025-07-02_13:54:12.79486
New York,96.43%,Edwin Rosario,(Democratic),2254,2025-07-02_13:54:12.79486
New York,96.43%,Paloma N. Lara,(Democratic),2053,2025-07-02_13:54:12.79486
New York,96.43%,Nicole T. Castronova,(Democratic),1977,2025-07-02_13:54:12.79486
New York,96.43%,WRITE-IN,,143,2025-07-02_13:54:12.79486
Total,,Carmen Y. De la Rosa,(Democratic),9838,2025-07-02_13:54:12.79486
Total,,Manny De Los Santos,(Democratic),6536,2025-07-02_13:54:12.79486
Total,,Rosendo Mejia Dominguez,(Democratic),3615,2025-07-02_13:54:12.79486
Total,,Ramon De La Rosa,(Democratic),3896,2025-07-02_13:54:12.79486
Total,,Brunilda Rodriguez,(Democratic),3955,2025-07-02_13:54:12.79486
Total,,Fernando Mendez,(Democratic),3582,2025-07-02_13:54:12.79486
Total,,Dayana Pichardo,(Democratic),4100,2025-07-02_13:54:12.79486
Total,,Rosario Capellan,(Democratic),3819,2025-07-02_13:54:12.79486
Total,,Elizabeth Pepin,(Democratic),2809,2025-07-02_13:54:12.79486
Total,,Jasinta Delacruz,(Democratic),2369,2025-07-02_13:54:12.79486
Total,,Jennyfer Almanzar,(Democratic),2519,2025-07-02_13:54:12.79486
Total,,Lyana M. Fernandez,(Democratic),2065,2025-07-02_13:54:12.79486
Total,,Joanna Katz,(Democratic),2284,2025-07-02_13:54:12.79486
Total,,Edwin Rosario,(Democratic),2254,2025-07-02_13:54:12.79486
Total,,Paloma N. Lara,(Democratic),2053,2025-07-02_13:54:12.79486
Total,,Nicole T. Castronova,(Democratic),1977,2025-07-02_13:54:12.79486
Total,,WRITE-IN,,143,2025-07-02_13:54:12.79486
