ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Carmen Y. De la Rosa,(Democratic),141,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Manny De Los Santos,(Democratic),69,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Rosendo Mejia Dominguez,(Democratic),29,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Ramon De La Rosa,(Democratic),34,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Brunilda Rodriguez,(Democratic),33,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Fernando Mendez,(Democratic),29,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Dayana Pichardo,(Democratic),35,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Rosario Capellan,(Democratic),36,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Elizabeth Pepin,(Democratic),33,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Jasinta Delacruz,(Democratic),21,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Jennyfer Almanzar,(Democratic),12,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Lyana M. Fernandez,(Democratic),12,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Joanna Katz,(Democratic),27,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Edwin Rosario,(Democratic),26,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Paloma N. Lara,(Democratic),15,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,Nicole T. Castronova,(Democratic),17,AD 72,2025-07-02_13:54:12.79486
ED    1,99.00%,WRITE-IN,&nbsp,2,AD 72,2025-07-02_13:54:12.79486
ED    2,75.00%,Carmen Y. De la Rosa,(Democratic),108,AD 72,2025-07-02_13:54:12.79486
ED    2,75.00%,Manny De Los Santos,(Democratic),69,AD 72,2025-07-02_13:54:12.79486
ED    2,75.00%,Rosendo Mejia Dominguez,(Democratic),24,AD 72,2025-07-02_13:54:12.79486
ED    2,75.00%,Ramon De La Rosa,(Democratic),41,AD 72,2025-07-02_13:54:12.79486
ED    2,75.00%,Brunilda Rodriguez,(Democratic),32,AD 72,2025-07-02_13:54:12.79486
ED    2,75.00%,Fernando Mendez,(Democratic),35,AD 72,2025-07-02_13:54:12.79486
ED    2,75.00%,Dayana Pichardo,(Democratic),38,AD 72,2025-07-02_13:54:12.79486
ED    2,75.00%,Rosario Capellan,(Democratic),32,AD 72,2025-07-02_13:54:12.79486
ED    2,75.00%,Elizabeth Pepin,(Democratic),35,AD 72,2025-07-02_13:54:12.79486
ED    2,75.00%,Jasinta Delacruz,(Democratic),27,AD 72,2025-07-02_13:54:12.79486
