boro,reported,candidate,party,votes,scrape_time
New York,94.06%,Heidi Boghosian,(Democratic),6540,2025-07-02_13:54:14.132602
New York,94.06%,Mindy Paez,(Democratic),6082,2025-07-02_13:54:14.132602
New York,94.06%,Ted Oehmke,(Democratic),3609,2025-07-02_13:54:14.132602
New York,94.06%,Christopher J. Ryan,(Democratic),4680,2025-07-02_13:54:14.132602
New York,94.06%,Myrna Lepree,(Democratic),7056,2025-07-02_13:54:14.132602
New York,94.06%,Gabriel S. Turzo,(Democratic),5652,2025-07-02_13:54:14.132602
New York,94.06%,Benjamin Wetzler,(Democratic),7538,2025-07-02_13:54:14.132602
New York,94.06%,Sara C. Valenzuela,(Democratic),7781,2025-07-02_13:54:14.132602
New York,94.06%,Bridgette Ahn,(Democratic),7217,2025-07-02_13:54:14.132602
New York,94.06%,Judith Gross,(Democratic),7421,2025-07-02_13:54:14.132602
New York,94.06%,Charles Martin Arnold,(Democratic),4818,2025-07-02_13:54:14.132602
New York,94.06%,Faith A. Bondy,(Democratic),8006,2025-07-02_13:54:14.132602
New York,94.06%,Charles Sturcken,(Democratic),4746,2025-07-02_13:54:14.132602
New York,94.06%,Gregory L. Lambert,(Democratic),5141,2025-07-02_13:54:14.132602
New York,94.06%,Ayo Harrington,(Democratic),5901,2025-07-02_13:54:14.132602
New York,94.06%,Michael J. Schweinsburg,(Democratic),5142,2025-07-02_13:54:14.132602
New York,94.06%,Alana Sivin,(Democratic),5964,2025-07-02_13:54:14.132602
New York,94.06%,WRITE-IN,,406,2025-07-02_13:54:14.132602
Total,,Heidi Boghosian,(Democratic),6540,2025-07-02_13:54:14.132602
Total,,Mindy Paez,(Democratic),6082,2025-07-02_13:54:14.132602
Total,,Ted Oehmke,(Democratic),3609,2025-07-02_13:54:14.132602
Total,,Christopher J. Ryan,(Democratic),4680,2025-07-02_13:54:14.132602
Total,,Myrna Lepree,(Democratic),7056,2025-07-02_13:54:14.132602
Total,,Gabriel S. Turzo,(Democratic),5652,2025-07-02_13:54:14.132602
Total,,Benjamin Wetzler,(Democratic),7538,2025-07-02_13:54:14.132602
Total,,Sara C. Valenzuela,(Democratic),7781,2025-07-02_13:54:14.132602
Total,,Bridgette Ahn,(Democratic),7217,2025-07-02_13:54:14.132602
Total,,Judith Gross,(Democratic),7421,2025-07-02_13:54:14.132602
Total,,Charles Martin Arnold,(Democratic),4818,2025-07-02_13:54:14.132602
Total,,Faith A. Bondy,(Democratic),8006,2025-07-02_13:54:14.132602
Total,,Charles Sturcken,(Democratic),4746,2025-07-02_13:54:14.132602
Total,,Gregory L. Lambert,(Democratic),5141,2025-07-02_13:54:14.132602
Total,,Ayo Harrington,(Democratic),5901,2025-07-02_13:54:14.132602
Total,,Michael J. Schweinsburg,(Democratic),5142,2025-07-02_13:54:14.132602
Total,,Alana Sivin,(Democratic),5964,2025-07-02_13:54:14.132602
Total,,WRITE-IN,,406,2025-07-02_13:54:14.132602
