ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   71,80.00%,Patrick John Timmins,(Democratic),0,AD 37,2025-07-02_13:53:07.305101
ED   71,80.00%,Alvin L. Bragg Jr.,(Democratic),0,AD 37,2025-07-02_13:53:07.305101
ED   71,80.00%,WRITE-IN,&nbsp,0,AD 37,2025-07-02_13:53:07.305101
Total,,Patrick John Timmins,(Democratic),-,AD 37,2025-07-02_13:53:07.305101
Total,,Alvin L. Bragg Jr.,(Democratic),-,AD 37,2025-07-02_13:53:07.305101
Total,,WRITE-IN,&nbsp,-,AD 37,2025-07-02_13:53:07.305101
ED   60,99.00%,Patrick John Timmins,(Democratic),78,AD 61,2025-07-02_13:53:07.305101
ED   60,99.00%,Alvin L. Bragg Jr.,(Democratic),158,AD 61,2025-07-02_13:53:07.305101
ED   60,99.00%,WRITE-IN,&nbsp,1,AD 61,2025-07-02_13:53:07.305101
ED   61,99.00%,Patrick John Timmins,(Democratic),106,AD 61,2025-07-02_13:53:07.305101
ED   61,99.00%,Alvin L. Bragg Jr.,(Democratic),242,AD 61,2025-07-02_13:53:07.305101
ED   61,99.00%,WRITE-IN,&nbsp,1,AD 61,2025-07-02_13:53:07.305101
ED   62,99.00%,Patrick John Timmins,(Democratic),101,AD 61,2025-07-02_13:53:07.305101
ED   62,99.00%,Alvin L. Bragg Jr.,(Democratic),187,AD 61,2025-07-02_13:53:07.305101
ED   62,99.00%,WRITE-IN,&nbsp,1,AD 61,2025-07-02_13:53:07.305101
ED   63,99.00%,Patrick John Timmins,(Democratic),107,AD 61,2025-07-02_13:53:07.305101
ED   63,99.00%,Alvin L. Bragg Jr.,(Democratic),222,AD 61,2025-07-02_13:53:07.305101
ED   63,99.00%,WRITE-IN,&nbsp,2,AD 61,2025-07-02_13:53:07.305101
ED   64,99.00%,Patrick John Timmins,(Democratic),65,AD 61,2025-07-02_13:53:07.305101
ED   64,99.00%,Alvin L. Bragg Jr.,(Democratic),172,AD 61,2025-07-02_13:53:07.305101
ED   64,99.00%,WRITE-IN,&nbsp,2,AD 61,2025-07-02_13:53:07.305101
ED   65,99.00%,Patrick John Timmins,(Democratic),120,AD 61,2025-07-02_13:53:07.305101
ED   65,99.00%,Alvin L. Bragg Jr.,(Democratic),195,AD 61,2025-07-02_13:53:07.305101
ED   65,99.00%,WRITE-IN,&nbsp,1,AD 61,2025-07-02_13:53:07.305101
ED   66,99.00%,Patrick John Timmins,(Democratic),120,AD 61,2025-07-02_13:53:07.305101
ED   66,99.00%,Alvin L. Bragg Jr.,(Democratic),176,AD 61,2025-07-02_13:53:07.305101
ED   66,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:07.305101
ED   67,99.00%,Patrick John Timmins,(Democratic),100,AD 61,2025-07-02_13:53:07.305101
ED   67,99.00%,Alvin L. Bragg Jr.,(Democratic),213,AD 61,2025-07-02_13:53:07.305101
ED   67,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:07.305101
ED   68,99.00%,Patrick John Timmins,(Democratic),101,AD 61,2025-07-02_13:53:07.305101
ED   68,99.00%,Alvin L. Bragg Jr.,(Democratic),269,AD 61,2025-07-02_13:53:07.305101
ED   68,99.00%,WRITE-IN,&nbsp,4,AD 61,2025-07-02_13:53:07.305101
ED   69,99.00%,Patrick John Timmins,(Democratic),0,AD 61,2025-07-02_13:53:07.305101
ED   69,99.00%,Alvin L. Bragg Jr.,(Democratic),0,AD 61,2025-07-02_13:53:07.305101
ED   69,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-07-02_13:53:07.305101
