boro,reported,candidate,party,votes,scrape_time
Richmond,94.87%,Malcolm Penn White (M),(Democratic),1750,2025-07-02_13:53:57.225466
Richmond,94.87%,Paul Casali (M),(Democratic),1204,2025-07-02_13:53:57.225466
Richmond,94.87%,Abou Sy Diakhate (M),(Democratic),2141,2025-07-02_13:53:57.225466
Richmond,94.87%,Jasmine L. Robinson (F),(Democratic),3703,2025-07-02_13:53:57.225466
Richmond,94.87%,WRITE-IN,,72,2025-07-02_13:53:57.225466
Total,,Malcolm Penn White (M),(Democratic),1750,2025-07-02_13:53:57.225466
Total,,Paul Casali (M),(Democratic),1204,2025-07-02_13:53:57.225466
Total,,Abou Sy Diakhate (M),(Democratic),2141,2025-07-02_13:53:57.225466
Total,,Jasmine L. Robinson (F),(Democratic),3703,2025-07-02_13:53:57.225466
Total,,WRITE-IN,,72,2025-07-02_13:53:57.225466
