ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   12,99.00%,Jay Jacky Wong (M),(Democratic),58,AD 65,2025-07-02_13:53:57.976243
ED   12,99.00%,Magda Napoleon (F),(Democratic),43,AD 65,2025-07-02_13:53:57.976243
ED   12,99.00%,Ron Thomas (M),(Democratic),37,AD 65,2025-07-02_13:53:57.976243
ED   12,99.00%,WRITE-IN,&nbsp,1,AD 65,2025-07-02_13:53:57.976243
ED   13,99.00%,Jay Jacky Wong (M),(Democratic),112,AD 65,2025-07-02_13:53:57.976243
ED   13,99.00%,Magda Napoleon (F),(Democratic),90,AD 65,2025-07-02_13:53:57.976243
ED   13,99.00%,Ron Thomas (M),(Democratic),49,AD 65,2025-07-02_13:53:57.976243
ED   13,99.00%,WRITE-IN,&nbsp,8,AD 65,2025-07-02_13:53:57.976243
ED   14,99.00%,Jay Jacky Wong (M),(Democratic),83,AD 65,2025-07-02_13:53:57.976243
ED   14,99.00%,Magda Napoleon (F),(Democratic),46,AD 65,2025-07-02_13:53:57.976243
ED   14,99.00%,Ron Thomas (M),(Democratic),21,AD 65,2025-07-02_13:53:57.976243
ED   14,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:57.976243
ED   15,99.00%,Jay Jacky Wong (M),(Democratic),137,AD 65,2025-07-02_13:53:57.976243
ED   15,99.00%,Magda Napoleon (F),(Democratic),45,AD 65,2025-07-02_13:53:57.976243
ED   15,99.00%,Ron Thomas (M),(Democratic),48,AD 65,2025-07-02_13:53:57.976243
ED   15,99.00%,WRITE-IN,&nbsp,4,AD 65,2025-07-02_13:53:57.976243
ED   16,99.00%,Jay Jacky Wong (M),(Democratic),111,AD 65,2025-07-02_13:53:57.976243
ED   16,99.00%,Magda Napoleon (F),(Democratic),38,AD 65,2025-07-02_13:53:57.976243
ED   16,99.00%,Ron Thomas (M),(Democratic),22,AD 65,2025-07-02_13:53:57.976243
ED   16,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-07-02_13:53:57.976243
ED   18,99.00%,Jay Jacky Wong (M),(Democratic),97,AD 65,2025-07-02_13:53:57.976243
ED   18,99.00%,Magda Napoleon (F),(Democratic),68,AD 65,2025-07-02_13:53:57.976243
ED   18,99.00%,Ron Thomas (M),(Democratic),47,AD 65,2025-07-02_13:53:57.976243
ED   18,99.00%,WRITE-IN,&nbsp,6,AD 65,2025-07-02_13:53:57.976243
ED   19,99.00%,Jay Jacky Wong (M),(Democratic),176,AD 65,2025-07-02_13:53:57.976243
ED   19,99.00%,Magda Napoleon (F),(Democratic),106,AD 65,2025-07-02_13:53:57.976243
ED   19,99.00%,Ron Thomas (M),(Democratic),62,AD 65,2025-07-02_13:53:57.976243
ED   19,99.00%,WRITE-IN,&nbsp,4,AD 65,2025-07-02_13:53:57.976243
ED   23,99.00%,Jay Jacky Wong (M),(Democratic),84,AD 65,2025-07-02_13:53:57.976243
ED   23,99.00%,Magda Napoleon (F),(Democratic),67,AD 65,2025-07-02_13:53:57.976243
ED   23,99.00%,Ron Thomas (M),(Democratic),52,AD 65,2025-07-02_13:53:57.976243
ED   23,99.00%,WRITE-IN,&nbsp,29,AD 65,2025-07-02_13:53:57.976243
ED   24,99.00%,Jay Jacky Wong (M),(Democratic),62,AD 65,2025-07-02_13:53:57.976243
ED   24,99.00%,Magda Napoleon (F),(Democratic),43,AD 65,2025-07-02_13:53:57.976243
ED   24,99.00%,Ron Thomas (M),(Democratic),18,AD 65,2025-07-02_13:53:57.976243
ED   24,99.00%,WRITE-IN,&nbsp,25,AD 65,2025-07-02_13:53:57.976243
ED   25,99.00%,Jay Jacky Wong (M),(Democratic),72,AD 65,2025-07-02_13:53:57.976243
ED   25,99.00%,Magda Napoleon (F),(Democratic),56,AD 65,2025-07-02_13:53:57.976243
ED   25,99.00%,Ron Thomas (M),(Democratic),25,AD 65,2025-07-02_13:53:57.976243
ED   25,99.00%,WRITE-IN,&nbsp,7,AD 65,2025-07-02_13:53:57.976243
ED   26,99.00%,Jay Jacky Wong (M),(Democratic),153,AD 65,2025-07-02_13:53:57.976243
ED   26,99.00%,Magda Napoleon (F),(Democratic),108,AD 65,2025-07-02_13:53:57.976243
ED   26,99.00%,Ron Thomas (M),(Democratic),83,AD 65,2025-07-02_13:53:57.976243
ED   26,99.00%,WRITE-IN,&nbsp,9,AD 65,2025-07-02_13:53:57.976243
ED   27,99.00%,Jay Jacky Wong (M),(Democratic),77,AD 65,2025-07-02_13:53:57.976243
ED   27,99.00%,Magda Napoleon (F),(Democratic),81,AD 65,2025-07-02_13:53:57.976243
ED   27,99.00%,Ron Thomas (M),(Democratic),39,AD 65,2025-07-02_13:53:57.976243
ED   27,99.00%,WRITE-IN,&nbsp,6,AD 65,2025-07-02_13:53:57.976243
ED   30,99.00%,Jay Jacky Wong (M),(Democratic),77,AD 65,2025-07-02_13:53:57.976243
ED   30,99.00%,Magda Napoleon (F),(Democratic),68,AD 65,2025-07-02_13:53:57.976243
ED   30,99.00%,Ron Thomas (M),(Democratic),30,AD 65,2025-07-02_13:53:57.976243
ED   30,99.00%,WRITE-IN,&nbsp,1,AD 65,2025-07-02_13:53:57.976243
ED   42,99.00%,Jay Jacky Wong (M),(Democratic),92,AD 65,2025-07-02_13:53:57.976243
ED   42,99.00%,Magda Napoleon (F),(Democratic),99,AD 65,2025-07-02_13:53:57.976243
ED   42,99.00%,Ron Thomas (M),(Democratic),45,AD 65,2025-07-02_13:53:57.976243
ED   42,99.00%,WRITE-IN,&nbsp,2,AD 65,2025-07-02_13:53:57.976243
ED   43,99.00%,Jay Jacky Wong (M),(Democratic),123,AD 65,2025-07-02_13:53:57.976243
ED   43,99.00%,Magda Napoleon (F),(Democratic),131,AD 65,2025-07-02_13:53:57.976243
ED   43,99.00%,Ron Thomas (M),(Democratic),56,AD 65,2025-07-02_13:53:57.976243
ED   43,99.00%,WRITE-IN,&nbsp,3,AD 65,2025-07-02_13:53:57.976243
ED   45,99.00%,Jay Jacky Wong (M),(Democratic),97,AD 65,2025-07-02_13:53:57.976243
ED   45,99.00%,Magda Napoleon (F),(Democratic),100,AD 65,2025-07-02_13:53:57.976243
