ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,William Smith (M),(Democratic),44,AD 68,2025-07-02_13:54:00.228244
ED    1,99.00%,Jo Ann Lawson (F),(Democratic),63,AD 68,2025-07-02_13:54:00.228244
ED    1,99.00%,Tamika Mapp (F),(Democratic),126,AD 68,2025-07-02_13:54:00.228244
ED    1,99.00%,WRITE-IN,&nbsp,1,AD 68,2025-07-02_13:54:00.228244
ED    2,99.00%,William Smith (M),(Democratic),62,AD 68,2025-07-02_13:54:00.228244
ED    2,99.00%,Jo Ann Lawson (F),(Democratic),31,AD 68,2025-07-02_13:54:00.228244
ED    2,99.00%,Tamika Mapp (F),(Democratic),92,AD 68,2025-07-02_13:54:00.228244
ED    2,99.00%,WRITE-IN,&nbsp,2,AD 68,2025-07-02_13:54:00.228244
ED    3,99.00%,William Smith (M),(Democratic),34,AD 68,2025-07-02_13:54:00.228244
ED    3,99.00%,Jo Ann Lawson (F),(Democratic),16,AD 68,2025-07-02_13:54:00.228244
ED    3,99.00%,Tamika Mapp (F),(Democratic),48,AD 68,2025-07-02_13:54:00.228244
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 68,2025-07-02_13:54:00.228244
ED    4,99.00%,William Smith (M),(Democratic),79,AD 68,2025-07-02_13:54:00.228244
ED    4,99.00%,Jo Ann Lawson (F),(Democratic),87,AD 68,2025-07-02_13:54:00.228244
ED    4,99.00%,Tamika Mapp (F),(Democratic),170,AD 68,2025-07-02_13:54:00.228244
ED    4,99.00%,WRITE-IN,&nbsp,1,AD 68,2025-07-02_13:54:00.228244
ED    5,80.00%,William Smith (M),(Democratic),61,AD 68,2025-07-02_13:54:00.228244
ED    5,80.00%,Jo Ann Lawson (F),(Democratic),84,AD 68,2025-07-02_13:54:00.228244
ED    5,80.00%,Tamika Mapp (F),(Democratic),134,AD 68,2025-07-02_13:54:00.228244
ED    5,80.00%,WRITE-IN,&nbsp,1,AD 68,2025-07-02_13:54:00.228244
ED    8,99.00%,William Smith (M),(Democratic),176,AD 68,2025-07-02_13:54:00.228244
ED    8,99.00%,Jo Ann Lawson (F),(Democratic),167,AD 68,2025-07-02_13:54:00.228244
ED    8,99.00%,Tamika Mapp (F),(Democratic),302,AD 68,2025-07-02_13:54:00.228244
ED    8,99.00%,WRITE-IN,&nbsp,1,AD 68,2025-07-02_13:54:00.228244
ED    9,99.00%,William Smith (M),(Democratic),25,AD 68,2025-07-02_13:54:00.228244
ED    9,99.00%,Jo Ann Lawson (F),(Democratic),32,AD 68,2025-07-02_13:54:00.228244
ED    9,99.00%,Tamika Mapp (F),(Democratic),55,AD 68,2025-07-02_13:54:00.228244
ED    9,99.00%,WRITE-IN,&nbsp,0,AD 68,2025-07-02_13:54:00.228244
ED   10,99.00%,William Smith (M),(Democratic),48,AD 68,2025-07-02_13:54:00.228244
ED   10,99.00%,Jo Ann Lawson (F),(Democratic),25,AD 68,2025-07-02_13:54:00.228244
ED   10,99.00%,Tamika Mapp (F),(Democratic),67,AD 68,2025-07-02_13:54:00.228244
ED   10,99.00%,WRITE-IN,&nbsp,0,AD 68,2025-07-02_13:54:00.228244
ED   11,99.00%,William Smith (M),(Democratic),85,AD 68,2025-07-02_13:54:00.228244
ED   11,99.00%,Jo Ann Lawson (F),(Democratic),82,AD 68,2025-07-02_13:54:00.228244
ED   11,99.00%,Tamika Mapp (F),(Democratic),139,AD 68,2025-07-02_13:54:00.228244
ED   11,99.00%,WRITE-IN,&nbsp,0,AD 68,2025-07-02_13:54:00.228244
ED   12,99.00%,William Smith (M),(Democratic),87,AD 68,2025-07-02_13:54:00.228244
ED   12,99.00%,Jo Ann Lawson (F),(Democratic),131,AD 68,2025-07-02_13:54:00.228244
ED   12,99.00%,Tamika Mapp (F),(Democratic),149,AD 68,2025-07-02_13:54:00.228244
ED   12,99.00%,WRITE-IN,&nbsp,3,AD 68,2025-07-02_13:54:00.228244
ED   13,99.00%,William Smith (M),(Democratic),153,AD 68,2025-07-02_13:54:00.228244
ED   13,99.00%,Jo Ann Lawson (F),(Democratic),157,AD 68,2025-07-02_13:54:00.228244
ED   13,99.00%,Tamika Mapp (F),(Democratic),100,AD 68,2025-07-02_13:54:00.228244
ED   13,99.00%,WRITE-IN,&nbsp,5,AD 68,2025-07-02_13:54:00.228244
ED   14,99.00%,William Smith (M),(Democratic),40,AD 68,2025-07-02_13:54:00.228244
ED   14,99.00%,Jo Ann Lawson (F),(Democratic),44,AD 68,2025-07-02_13:54:00.228244
ED   14,99.00%,Tamika Mapp (F),(Democratic),83,AD 68,2025-07-02_13:54:00.228244
ED   14,99.00%,WRITE-IN,&nbsp,2,AD 68,2025-07-02_13:54:00.228244
ED   18,99.00%,William Smith (M),(Democratic),36,AD 68,2025-07-02_13:54:00.228244
ED   18,99.00%,Jo Ann Lawson (F),(Democratic),26,AD 68,2025-07-02_13:54:00.228244
ED   18,99.00%,Tamika Mapp (F),(Democratic),59,AD 68,2025-07-02_13:54:00.228244
ED   18,99.00%,WRITE-IN,&nbsp,2,AD 68,2025-07-02_13:54:00.228244
ED   22,99.00%,William Smith (M),(Democratic),43,AD 68,2025-07-02_13:54:00.228244
ED   22,99.00%,Jo Ann Lawson (F),(Democratic),44,AD 68,2025-07-02_13:54:00.228244
ED   22,99.00%,Tamika Mapp (F),(Democratic),73,AD 68,2025-07-02_13:54:00.228244
ED   22,99.00%,WRITE-IN,&nbsp,0,AD 68,2025-07-02_13:54:00.228244
ED   28,99.00%,William Smith (M),(Democratic),101,AD 68,2025-07-02_13:54:00.228244
ED   28,99.00%,Jo Ann Lawson (F),(Democratic),124,AD 68,2025-07-02_13:54:00.228244
ED   28,99.00%,Tamika Mapp (F),(Democratic),200,AD 68,2025-07-02_13:54:00.228244
ED   28,99.00%,WRITE-IN,&nbsp,2,AD 68,2025-07-02_13:54:00.228244
ED   36,99.00%,William Smith (M),(Democratic),62,AD 68,2025-07-02_13:54:00.228244
ED   36,99.00%,Jo Ann Lawson (F),(Democratic),57,AD 68,2025-07-02_13:54:00.228244
