AD_num,reported,candidate,party,votes,scrape_time
AD   70,99.00%,Maria Ordonez (F),(Democratic),2729,2025-07-02_13:54:00.94016
AD   70,99.00%,Luis Ordonez (M),(Democratic),1472,2025-07-02_13:54:00.94016
AD   70,99.00%,Norma Campusano (F),(Democratic),1436,2025-07-02_13:54:00.94016
AD   70,99.00%,Corey Ortega (M),(Democratic),1048,2025-07-02_13:54:00.94016
AD   70,99.00%,WRITE-IN,,25,2025-07-02_13:54:00.94016
Total,,Maria Ordonez (F),(Democratic),2729,2025-07-02_13:54:00.94016
Total,,Luis Ordonez (M),(Democratic),1472,2025-07-02_13:54:00.94016
Total,,Norma Campusano (F),(Democratic),1436,2025-07-02_13:54:00.94016
Total,,Corey Ortega (M),(Democratic),1048,2025-07-02_13:54:00.94016
Total,,WRITE-IN,,25,2025-07-02_13:54:00.94016
