boro,reported,candidate,party,votes,scrape_time
New York,96.77%,Francisco E. Gonzalez (M),(Democratic),1314,2025-07-02_13:54:02.724631
New York,96.77%,Marquis Jenkins (M),(Democratic),1307,2025-07-02_13:54:02.724631
New York,96.77%,Ciara Marie Lugo (F),(Democratic),1901,2025-07-02_13:54:02.724631
New York,96.77%,Jasmin Sanchez (F),(Democratic),2493,2025-07-02_13:54:02.724631
New York,96.77%,WRITE-IN,,41,2025-07-02_13:54:02.724631
Total,,Francisco E. Gonzalez (M),(Democratic),1314,2025-07-02_13:54:02.724631
Total,,Marquis Jenkins (M),(Democratic),1307,2025-07-02_13:54:02.724631
Total,,Ciara Marie Lugo (F),(Democratic),1901,2025-07-02_13:54:02.724631
Total,,Jasmin Sanchez (F),(Democratic),2493,2025-07-02_13:54:02.724631
Total,,WRITE-IN,,41,2025-07-02_13:54:02.724631
