ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   25,99.00%,Francisco E. Gonzalez (M),(Democratic),81,AD 74,2025-07-02_13:54:02.724631
ED   25,99.00%,Marquis Jenkins (M),(Democratic),73,AD 74,2025-07-02_13:54:02.724631
ED   25,99.00%,Ciara Marie Lugo (F),(Democratic),89,AD 74,2025-07-02_13:54:02.724631
ED   25,99.00%,Jasmin Sanchez (F),(Democratic),106,AD 74,2025-07-02_13:54:02.724631
ED   25,99.00%,WRITE-IN,&nbsp,4,AD 74,2025-07-02_13:54:02.724631
ED   26,99.00%,Francisco E. Gonzalez (M),(Democratic),121,AD 74,2025-07-02_13:54:02.724631
ED   26,99.00%,Marquis Jenkins (M),(Democratic),117,AD 74,2025-07-02_13:54:02.724631
ED   26,99.00%,Ciara Marie Lugo (F),(Democratic),178,AD 74,2025-07-02_13:54:02.724631
ED   26,99.00%,Jasmin Sanchez (F),(Democratic),221,AD 74,2025-07-02_13:54:02.724631
ED   26,99.00%,WRITE-IN,&nbsp,5,AD 74,2025-07-02_13:54:02.724631
ED   27,99.00%,Francisco E. Gonzalez (M),(Democratic),105,AD 74,2025-07-02_13:54:02.724631
ED   27,99.00%,Marquis Jenkins (M),(Democratic),103,AD 74,2025-07-02_13:54:02.724631
ED   27,99.00%,Ciara Marie Lugo (F),(Democratic),209,AD 74,2025-07-02_13:54:02.724631
ED   27,99.00%,Jasmin Sanchez (F),(Democratic),255,AD 74,2025-07-02_13:54:02.724631
ED   27,99.00%,WRITE-IN,&nbsp,0,AD 74,2025-07-02_13:54:02.724631
ED   28,99.00%,Francisco E. Gonzalez (M),(Democratic),77,AD 74,2025-07-02_13:54:02.724631
ED   28,99.00%,Marquis Jenkins (M),(Democratic),88,AD 74,2025-07-02_13:54:02.724631
ED   28,99.00%,Ciara Marie Lugo (F),(Democratic),112,AD 74,2025-07-02_13:54:02.724631
ED   28,99.00%,Jasmin Sanchez (F),(Democratic),137,AD 74,2025-07-02_13:54:02.724631
ED   28,99.00%,WRITE-IN,&nbsp,1,AD 74,2025-07-02_13:54:02.724631
ED   29,99.00%,Francisco E. Gonzalez (M),(Democratic),93,AD 74,2025-07-02_13:54:02.724631
ED   29,99.00%,Marquis Jenkins (M),(Democratic),36,AD 74,2025-07-02_13:54:02.724631
ED   29,99.00%,Ciara Marie Lugo (F),(Democratic),36,AD 74,2025-07-02_13:54:02.724631
ED   29,99.00%,Jasmin Sanchez (F),(Democratic),88,AD 74,2025-07-02_13:54:02.724631
ED   29,99.00%,WRITE-IN,&nbsp,0,AD 74,2025-07-02_13:54:02.724631
ED   30,99.00%,Francisco E. Gonzalez (M),(Democratic),107,AD 74,2025-07-02_13:54:02.724631
ED   30,99.00%,Marquis Jenkins (M),(Democratic),77,AD 74,2025-07-02_13:54:02.724631
