ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Miguel Estrella,(Republican),7,AD 70,2025-07-02_13:54:34.857664
ED    1,99.00%,Lisa Pressley,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED    1,99.00%,WRITE-IN,&nbsp,1,AD 70,2025-07-02_13:54:34.857664
ED    2,99.00%,Miguel Estrella,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED    2,99.00%,Lisa Pressley,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED    2,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED    3,99.00%,Miguel Estrella,(Republican),3,AD 70,2025-07-02_13:54:34.857664
ED    3,99.00%,Lisa Pressley,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED    4,99.00%,Miguel Estrella,(Republican),3,AD 70,2025-07-02_13:54:34.857664
ED    4,99.00%,Lisa Pressley,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED    4,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED    5,99.00%,Miguel Estrella,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED    5,99.00%,Lisa Pressley,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED    6,99.00%,Miguel Estrella,(Republican),4,AD 70,2025-07-02_13:54:34.857664
ED    6,99.00%,Lisa Pressley,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED    7,99.00%,Miguel Estrella,(Republican),4,AD 70,2025-07-02_13:54:34.857664
ED    7,99.00%,Lisa Pressley,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED    7,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED    8,99.00%,Miguel Estrella,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED    8,99.00%,Lisa Pressley,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED    8,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED    9,99.00%,Miguel Estrella,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED    9,99.00%,Lisa Pressley,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED    9,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   10,99.00%,Miguel Estrella,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED   10,99.00%,Lisa Pressley,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED   10,99.00%,WRITE-IN,&nbsp,1,AD 70,2025-07-02_13:54:34.857664
ED   11,99.00%,Miguel Estrella,(Republican),3,AD 70,2025-07-02_13:54:34.857664
ED   11,99.00%,Lisa Pressley,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED   11,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   12,99.00%,Miguel Estrella,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED   12,99.00%,Lisa Pressley,(Republican),3,AD 70,2025-07-02_13:54:34.857664
ED   12,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   13,99.00%,Miguel Estrella,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED   13,99.00%,Lisa Pressley,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   13,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   14,99.00%,Miguel Estrella,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   14,99.00%,Lisa Pressley,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   14,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   15,99.00%,Miguel Estrella,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED   15,99.00%,Lisa Pressley,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   15,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   16,99.00%,Miguel Estrella,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED   16,99.00%,Lisa Pressley,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   16,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   17,99.00%,Miguel Estrella,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   17,99.00%,Lisa Pressley,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   17,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   18,99.00%,Miguel Estrella,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   18,99.00%,Lisa Pressley,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED   18,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   19,99.00%,Miguel Estrella,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   19,99.00%,Lisa Pressley,(Republican),2,AD 70,2025-07-02_13:54:34.857664
ED   19,99.00%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   20,99.00%,Miguel Estrella,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   20,99.00%,Lisa Pressley,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   20,99.00%,WRITE-IN,&nbsp,2,AD 70,2025-07-02_13:54:34.857664
ED   21,87.50%,Miguel Estrella,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED   21,87.50%,Lisa Pressley,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED   21,87.50%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   22,44.44%,Miguel Estrella,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   22,44.44%,Lisa Pressley,(Republican),3,AD 70,2025-07-02_13:54:34.857664
ED   22,44.44%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
ED   23,87.50%,Miguel Estrella,(Republican),0,AD 70,2025-07-02_13:54:34.857664
ED   23,87.50%,Lisa Pressley,(Republican),1,AD 70,2025-07-02_13:54:34.857664
ED   23,87.50%,WRITE-IN,&nbsp,0,AD 70,2025-07-02_13:54:34.857664
