ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,87.50%,Seson Adams,(Republican),0,AD 71,2025-07-02_13:54:35.697128
ED    1,87.50%,Jose Sandoval Perez,(Republican),5,AD 71,2025-07-02_13:54:35.697128
ED    1,87.50%,WRITE-IN,&nbsp,0,AD 71,2025-07-02_13:54:35.697128
ED    2,87.50%,Seson Adams,(Republican),1,AD 71,2025-07-02_13:54:35.697128
ED    2,87.50%,Jose Sandoval Perez,(Republican),2,AD 71,2025-07-02_13:54:35.697128
ED    2,87.50%,WRITE-IN,&nbsp,1,AD 71,2025-07-02_13:54:35.697128
ED    3,99.00%,Seson Adams,(Republican),4,AD 71,2025-07-02_13:54:35.697128
ED    3,99.00%,Jose Sandoval Perez,(Republican),4,AD 71,2025-07-02_13:54:35.697128
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 71,2025-07-02_13:54:35.697128
ED    4,99.00%,Seson Adams,(Republican),3,AD 71,2025-07-02_13:54:35.697128
ED    4,99.00%,Jose Sandoval Perez,(Republican),0,AD 71,2025-07-02_13:54:35.697128
ED    4,99.00%,WRITE-IN,&nbsp,1,AD 71,2025-07-02_13:54:35.697128
ED    5,99.00%,Seson Adams,(Republican),0,AD 71,2025-07-02_13:54:35.697128
ED    5,99.00%,Jose Sandoval Perez,(Republican),0,AD 71,2025-07-02_13:54:35.697128
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 71,2025-07-02_13:54:35.697128
ED    6,99.00%,Seson Adams,(Republican),3,AD 71,2025-07-02_13:54:35.697128
ED    6,99.00%,Jose Sandoval Perez,(Republican),1,AD 71,2025-07-02_13:54:35.697128
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 71,2025-07-02_13:54:35.697128
ED    7,99.00%,Seson Adams,(Republican),0,AD 71,2025-07-02_13:54:35.697128
ED    7,99.00%,Jose Sandoval Perez,(Republican),0,AD 71,2025-07-02_13:54:35.697128
ED    7,99.00%,WRITE-IN,&nbsp,0,AD 71,2025-07-02_13:54:35.697128
ED    8,99.00%,Seson Adams,(Republican),6,AD 71,2025-07-02_13:54:35.697128
ED    8,99.00%,Jose Sandoval Perez,(Republican),0,AD 71,2025-07-02_13:54:35.697128
ED    8,99.00%,WRITE-IN,&nbsp,0,AD 71,2025-07-02_13:54:35.697128
