AD_num,reported,candidate,party,votes,scrape_time
AD   77,89.87%,Shekera Anessa Algarin,(Democratic),2897,2025-07-02_13:53:09.490442
AD   77,89.87%,George M. Santana,(Democratic),2450,2025-07-02_13:53:09.490442
AD   77,89.87%,WRITE-IN,,22,2025-07-02_13:53:09.490442
AD   78,99.00%,Shekera Anessa Algarin,(Democratic),2894,2025-07-02_13:53:09.490442
AD   78,99.00%,George M. Santana,(Democratic),2862,2025-07-02_13:53:09.490442
AD   78,99.00%,WRITE-IN,,17,2025-07-02_13:53:09.490442
AD   79,97.59%,Shekera Anessa Algarin,(Democratic),3187,2025-07-02_13:53:09.490442
AD   79,97.59%,George M. Santana,(Democratic),2538,2025-07-02_13:53:09.490442
AD   79,97.59%,WRITE-IN,,11,2025-07-02_13:53:09.490442
AD   80,98.67%,Shekera Anessa Algarin,(Democratic),4073,2025-07-02_13:53:09.490442
AD   80,98.67%,George M. Santana,(Democratic),3167,2025-07-02_13:53:09.490442
AD   80,98.67%,WRITE-IN,,31,2025-07-02_13:53:09.490442
AD   81,97.37%,Shekera Anessa Algarin,(Democratic),7475,2025-07-02_13:53:09.490442
AD   81,97.37%,George M. Santana,(Democratic),4772,2025-07-02_13:53:09.490442
AD   81,97.37%,WRITE-IN,,76,2025-07-02_13:53:09.490442
AD   82,96.39%,Shekera Anessa Algarin,(Democratic),6289,2025-07-02_13:53:09.490442
AD   82,96.39%,George M. Santana,(Democratic),4297,2025-07-02_13:53:09.490442
AD   82,96.39%,WRITE-IN,,46,2025-07-02_13:53:09.490442
AD   83,95.77%,Shekera Anessa Algarin,(Democratic),5977,2025-07-02_13:53:09.490442
AD   83,95.77%,George M. Santana,(Democratic),2746,2025-07-02_13:53:09.490442
AD   83,95.77%,WRITE-IN,,27,2025-07-02_13:53:09.490442
AD   84,99.00%,Shekera Anessa Algarin,(Democratic),3401,2025-07-02_13:53:09.490442
AD   84,99.00%,George M. Santana,(Democratic),3089,2025-07-02_13:53:09.490442
AD   84,99.00%,WRITE-IN,,31,2025-07-02_13:53:09.490442
AD   85,98.51%,Shekera Anessa Algarin,(Democratic),3270,2025-07-02_13:53:09.490442
AD   85,98.51%,George M. Santana,(Democratic),2987,2025-07-02_13:53:09.490442
AD   85,98.51%,WRITE-IN,,23,2025-07-02_13:53:09.490442
AD   86,92.31%,Shekera Anessa Algarin,(Democratic),2247,2025-07-02_13:53:09.490442
AD   86,92.31%,George M. Santana,(Democratic),2445,2025-07-02_13:53:09.490442
AD   86,92.31%,WRITE-IN,,14,2025-07-02_13:53:09.490442
AD   87,93.94%,Shekera Anessa Algarin,(Democratic),4198,2025-07-02_13:53:09.490442
AD   87,93.94%,George M. Santana,(Democratic),3194,2025-07-02_13:53:09.490442
AD   87,93.94%,WRITE-IN,,20,2025-07-02_13:53:09.490442
Total,,Shekera Anessa Algarin,(Democratic),45908,2025-07-02_13:53:09.490442
Total,,George M. Santana,(Democratic),34547,2025-07-02_13:53:09.490442
Total,,WRITE-IN,,318,2025-07-02_13:53:09.490442
