ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Eliezer Rodriguez,(Democratic),272,AD 77,2024-11-07_14:16:39.732005
ED    1,99.00%,Deidra Moore,(Democratic),264,AD 77,2024-11-07_14:16:39.732005
ED    1,99.00%,Dawn Guglielmo,(Democratic),202,AD 77,2024-11-07_14:16:39.732005
ED    1,99.00%,Scott Krompinger,(Democratic),201,AD 77,2024-11-07_14:16:39.732005
ED    1,99.00%,Angel Cruz,(Democratic),252,AD 77,2024-11-07_14:16:39.732005
ED    1,99.00%,Diomarys Escano-Bell,(Democratic),198,AD 77,2024-11-07_14:16:39.732005
ED    1,99.00%,WRITE-IN,&nbsp,12,AD 77,2024-11-07_14:16:39.732005
ED    2,99.00%,Eliezer Rodriguez,(Democratic),385,AD 77,2024-11-07_14:16:39.732005
ED    2,99.00%,Deidra Moore,(Democratic),321,AD 77,2024-11-07_14:16:39.732005
ED    2,99.00%,Dawn Guglielmo,(Democratic),276,AD 77,2024-11-07_14:16:39.732005
ED    2,99.00%,Scott Krompinger,(Democratic),273,AD 77,2024-11-07_14:16:39.732005
ED    2,99.00%,Angel Cruz,(Democratic),355,AD 77,2024-11-07_14:16:39.732005
ED    2,99.00%,Diomarys Escano-Bell,(Democratic),285,AD 77,2024-11-07_14:16:39.732005
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 77,2024-11-07_14:16:39.732005
ED    3,99.00%,Eliezer Rodriguez,(Democratic),326,AD 77,2024-11-07_14:16:39.732005
ED    3,99.00%,Deidra Moore,(Democratic),292,AD 77,2024-11-07_14:16:39.732005
ED    3,99.00%,Dawn Guglielmo,(Democratic),246,AD 77,2024-11-07_14:16:39.732005
ED    3,99.00%,Scott Krompinger,(Democratic),238,AD 77,2024-11-07_14:16:39.732005
ED    3,99.00%,Angel Cruz,(Democratic),297,AD 77,2024-11-07_14:16:39.732005
ED    3,99.00%,Diomarys Escano-Bell,(Democratic),241,AD 77,2024-11-07_14:16:39.732005
ED    3,99.00%,WRITE-IN,&nbsp,12,AD 77,2024-11-07_14:16:39.732005
ED    4,83.33%,Eliezer Rodriguez,(Democratic),60,AD 77,2024-11-07_14:16:39.732005
ED    4,83.33%,Deidra Moore,(Democratic),60,AD 77,2024-11-07_14:16:39.732005
ED    4,83.33%,Dawn Guglielmo,(Democratic),51,AD 77,2024-11-07_14:16:39.732005
ED    4,83.33%,Scott Krompinger,(Democratic),48,AD 77,2024-11-07_14:16:39.732005
ED    4,83.33%,Angel Cruz,(Democratic),57,AD 77,2024-11-07_14:16:39.732005
ED    4,83.33%,Diomarys Escano-Bell,(Democratic),48,AD 77,2024-11-07_14:16:39.732005
ED    4,83.33%,WRITE-IN,&nbsp,1,AD 77,2024-11-07_14:16:39.732005
ED    5,99.00%,Eliezer Rodriguez,(Democratic),348,AD 77,2024-11-07_14:16:39.732005
ED    5,99.00%,Deidra Moore,(Democratic),313,AD 77,2024-11-07_14:16:39.732005
ED    5,99.00%,Dawn Guglielmo,(Democratic),256,AD 77,2024-11-07_14:16:39.732005
ED    5,99.00%,Scott Krompinger,(Democratic),245,AD 77,2024-11-07_14:16:39.732005
ED    5,99.00%,Angel Cruz,(Democratic),321,AD 77,2024-11-07_14:16:39.732005
ED    5,99.00%,Diomarys Escano-Bell,(Democratic),251,AD 77,2024-11-07_14:16:39.732005
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 77,2024-11-07_14:16:39.732005
ED    6,99.00%,Eliezer Rodriguez,(Democratic),306,AD 77,2024-11-07_14:16:39.732005
ED    6,99.00%,Deidra Moore,(Democratic),279,AD 77,2024-11-07_14:16:39.732005
ED    6,99.00%,Dawn Guglielmo,(Democratic),224,AD 77,2024-11-07_14:16:39.732005
ED    6,99.00%,Scott Krompinger,(Democratic),220,AD 77,2024-11-07_14:16:39.732005
ED    6,99.00%,Angel Cruz,(Democratic),290,AD 77,2024-11-07_14:16:39.732005
ED    6,99.00%,Diomarys Escano-Bell,(Democratic),232,AD 77,2024-11-07_14:16:39.732005
ED    6,99.00%,WRITE-IN,&nbsp,1,AD 77,2024-11-07_14:16:39.732005
ED    7,99.00%,Eliezer Rodriguez,(Democratic),360,AD 77,2024-11-07_14:16:39.732005
ED    7,99.00%,Deidra Moore,(Democratic),354,AD 77,2024-11-07_14:16:39.732005
ED    7,99.00%,Dawn Guglielmo,(Democratic),297,AD 77,2024-11-07_14:16:39.732005
ED    7,99.00%,Scott Krompinger,(Democratic),294,AD 77,2024-11-07_14:16:39.732005
ED    7,99.00%,Angel Cruz,(Democratic),368,AD 77,2024-11-07_14:16:39.732005
ED    7,99.00%,Diomarys Escano-Bell,(Democratic),298,AD 77,2024-11-07_14:16:39.732005
ED    7,99.00%,WRITE-IN,&nbsp,1,AD 77,2024-11-07_14:16:39.732005
ED    8,99.00%,Eliezer Rodriguez,(Democratic),312,AD 77,2024-11-07_14:16:39.732005
ED    8,99.00%,Deidra Moore,(Democratic),270,AD 77,2024-11-07_14:16:39.732005
