AD_num,reported,candidate,party,votes,scrape_time
AD   41,98.10%,Janice Chen,(Democratic),4246,2025-07-02_13:53:10.966212
AD   41,98.10%,Marisa Arrabito,(Democratic),3411,2025-07-02_13:53:10.966212
AD   41,98.10%,Susan Liebman,(Democratic),4990,2025-07-02_13:53:10.966212
AD   41,98.10%,Janice P. Purvis,(Democratic),2017,2025-07-02_13:53:10.966212
AD   41,98.10%,WRITE-IN,,139,2025-07-02_13:53:10.966212
AD   42,99.00%,Janice Chen,(Democratic),7512,2025-07-02_13:53:10.966212
AD   42,99.00%,Marisa Arrabito,(Democratic),5828,2025-07-02_13:53:10.966212
AD   42,99.00%,Susan Liebman,(Democratic),5122,2025-07-02_13:53:10.966212
AD   42,99.00%,Janice P. Purvis,(Democratic),4626,2025-07-02_13:53:10.966212
AD   42,99.00%,WRITE-IN,,205,2025-07-02_13:53:10.966212
AD   43,97.75%,Janice Chen,(Democratic),10157,2025-07-02_13:53:10.966212
AD   43,97.75%,Marisa Arrabito,(Democratic),6954,2025-07-02_13:53:10.966212
AD   43,97.75%,Susan Liebman,(Democratic),4471,2025-07-02_13:53:10.966212
AD   43,97.75%,Janice P. Purvis,(Democratic),7056,2025-07-02_13:53:10.966212
AD   43,97.75%,WRITE-IN,,200,2025-07-02_13:53:10.966212
AD   44,98.32%,Janice Chen,(Democratic),16835,2025-07-02_13:53:10.966212
AD   44,98.32%,Marisa Arrabito,(Democratic),10075,2025-07-02_13:53:10.966212
AD   44,98.32%,Susan Liebman,(Democratic),8040,2025-07-02_13:53:10.966212
AD   44,98.32%,Janice P. Purvis,(Democratic),8808,2025-07-02_13:53:10.966212
AD   44,98.32%,WRITE-IN,,337,2025-07-02_13:53:10.966212
AD   45,98.67%,Janice Chen,(Democratic),1924,2025-07-02_13:53:10.966212
AD   45,98.67%,Marisa Arrabito,(Democratic),1889,2025-07-02_13:53:10.966212
AD   45,98.67%,Susan Liebman,(Democratic),3133,2025-07-02_13:53:10.966212
AD   45,98.67%,Janice P. Purvis,(Democratic),648,2025-07-02_13:53:10.966212
AD   45,98.67%,WRITE-IN,,70,2025-07-02_13:53:10.966212
AD   46,95.10%,Janice Chen,(Democratic),4245,2025-07-02_13:53:10.966212
AD   46,95.10%,Marisa Arrabito,(Democratic),3288,2025-07-02_13:53:10.966212
AD   46,95.10%,Susan Liebman,(Democratic),2876,2025-07-02_13:53:10.966212
AD   46,95.10%,Janice P. Purvis,(Democratic),1946,2025-07-02_13:53:10.966212
AD   46,95.10%,WRITE-IN,,94,2025-07-02_13:53:10.966212
AD   47,99.00%,Janice Chen,(Democratic),2962,2025-07-02_13:53:10.966212
AD   47,99.00%,Marisa Arrabito,(Democratic),1762,2025-07-02_13:53:10.966212
AD   47,99.00%,Susan Liebman,(Democratic),1340,2025-07-02_13:53:10.966212
AD   47,99.00%,Janice P. Purvis,(Democratic),829,2025-07-02_13:53:10.966212
AD   47,99.00%,WRITE-IN,,37,2025-07-02_13:53:10.966212
AD   48,99.00%,Janice Chen,(Democratic),1884,2025-07-02_13:53:10.966212
AD   48,99.00%,Marisa Arrabito,(Democratic),2530,2025-07-02_13:53:10.966212
AD   48,99.00%,Susan Liebman,(Democratic),4222,2025-07-02_13:53:10.966212
AD   48,99.00%,Janice P. Purvis,(Democratic),637,2025-07-02_13:53:10.966212
AD   48,99.00%,WRITE-IN,,378,2025-07-02_13:53:10.966212
AD   49,98.48%,Janice Chen,(Democratic),2494,2025-07-02_13:53:10.966212
AD   49,98.48%,Marisa Arrabito,(Democratic),1490,2025-07-02_13:53:10.966212
AD   49,98.48%,Susan Liebman,(Democratic),966,2025-07-02_13:53:10.966212
AD   49,98.48%,Janice P. Purvis,(Democratic),718,2025-07-02_13:53:10.966212
AD   49,98.48%,WRITE-IN,,32,2025-07-02_13:53:10.966212
AD   50,98.65%,Janice Chen,(Democratic),9902,2025-07-02_13:53:10.966212
AD   50,98.65%,Marisa Arrabito,(Democratic),9775,2025-07-02_13:53:10.966212
AD   50,98.65%,Susan Liebman,(Democratic),4859,2025-07-02_13:53:10.966212
AD   50,98.65%,Janice P. Purvis,(Democratic),4641,2025-07-02_13:53:10.966212
AD   50,98.65%,WRITE-IN,,209,2025-07-02_13:53:10.966212
AD   51,99.00%,Janice Chen,(Democratic),6017,2025-07-02_13:53:10.966212
AD   51,99.00%,Marisa Arrabito,(Democratic),5469,2025-07-02_13:53:10.966212
AD   51,99.00%,Susan Liebman,(Democratic),2591,2025-07-02_13:53:10.966212
AD   51,99.00%,Janice P. Purvis,(Democratic),3075,2025-07-02_13:53:10.966212
AD   51,99.00%,WRITE-IN,,139,2025-07-02_13:53:10.966212
AD   52,98.20%,Janice Chen,(Democratic),18548,2025-07-02_13:53:10.966212
AD   52,98.20%,Marisa Arrabito,(Democratic),11503,2025-07-02_13:53:10.966212
AD   52,98.20%,Susan Liebman,(Democratic),10237,2025-07-02_13:53:10.966212
AD   52,98.20%,Janice P. Purvis,(Democratic),8998,2025-07-02_13:53:10.966212
AD   52,98.20%,WRITE-IN,,375,2025-07-02_13:53:10.966212
AD   53,93.48%,Janice Chen,(Democratic),9322,2025-07-02_13:53:10.966212
AD   53,93.48%,Marisa Arrabito,(Democratic),8864,2025-07-02_13:53:10.966212
AD   53,93.48%,Susan Liebman,(Democratic),2911,2025-07-02_13:53:10.966212
AD   53,93.48%,Janice P. Purvis,(Democratic),4532,2025-07-02_13:53:10.966212
AD   53,93.48%,WRITE-IN,,137,2025-07-02_13:53:10.966212
AD   54,95.24%,Janice Chen,(Democratic),4344,2025-07-02_13:53:10.966212
AD   54,95.24%,Marisa Arrabito,(Democratic),3947,2025-07-02_13:53:10.966212
AD   54,95.24%,Susan Liebman,(Democratic),1623,2025-07-02_13:53:10.966212
AD   54,95.24%,Janice P. Purvis,(Democratic),2243,2025-07-02_13:53:10.966212
AD   54,95.24%,WRITE-IN,,64,2025-07-02_13:53:10.966212
AD   55,98.82%,Janice Chen,(Democratic),4180,2025-07-02_13:53:10.966212
AD   55,98.82%,Marisa Arrabito,(Democratic),3275,2025-07-02_13:53:10.966212
AD   55,98.82%,Susan Liebman,(Democratic),2469,2025-07-02_13:53:10.966212
AD   55,98.82%,Janice P. Purvis,(Democratic),3312,2025-07-02_13:53:10.966212
AD   55,98.82%,WRITE-IN,,70,2025-07-02_13:53:10.966212
AD   56,97.92%,Janice Chen,(Democratic),9643,2025-07-02_13:53:10.966212
AD   56,97.92%,Marisa Arrabito,(Democratic),8073,2025-07-02_13:53:10.966212
AD   56,97.92%,Susan Liebman,(Democratic),3324,2025-07-02_13:53:10.966212
AD   56,97.92%,Janice P. Purvis,(Democratic),7352,2025-07-02_13:53:10.966212
AD   56,97.92%,WRITE-IN,,182,2025-07-02_13:53:10.966212
AD   57,97.27%,Janice Chen,(Democratic),14577,2025-07-02_13:53:10.966212
AD   57,97.27%,Marisa Arrabito,(Democratic),9861,2025-07-02_13:53:10.966212
AD   57,97.27%,Susan Liebman,(Democratic),5574,2025-07-02_13:53:10.966212
AD   57,97.27%,Janice P. Purvis,(Democratic),9584,2025-07-02_13:53:10.966212
AD   57,97.27%,WRITE-IN,,249,2025-07-02_13:53:10.966212
AD   58,98.17%,Janice Chen,(Democratic),4872,2025-07-02_13:53:10.966212
AD   58,98.17%,Marisa Arrabito,(Democratic),2986,2025-07-02_13:53:10.966212
AD   58,98.17%,Susan Liebman,(Democratic),3645,2025-07-02_13:53:10.966212
AD   58,98.17%,Janice P. Purvis,(Democratic),3945,2025-07-02_13:53:10.966212
AD   58,98.17%,WRITE-IN,,59,2025-07-02_13:53:10.966212
AD   59,98.88%,Janice Chen,(Democratic),4453,2025-07-02_13:53:10.966212
AD   59,98.88%,Marisa Arrabito,(Democratic),3088,2025-07-02_13:53:10.966212
AD   59,98.88%,Susan Liebman,(Democratic),3872,2025-07-02_13:53:10.966212
AD   59,98.88%,Janice P. Purvis,(Democratic),2840,2025-07-02_13:53:10.966212
AD   59,98.88%,WRITE-IN,,47,2025-07-02_13:53:10.966212
AD   60,95.95%,Janice Chen,(Democratic),3661,2025-07-02_13:53:10.966212
AD   60,95.95%,Marisa Arrabito,(Democratic),2465,2025-07-02_13:53:10.966212
AD   60,95.95%,Susan Liebman,(Democratic),2626,2025-07-02_13:53:10.966212
AD   60,95.95%,Janice P. Purvis,(Democratic),2864,2025-07-02_13:53:10.966212
AD   60,95.95%,WRITE-IN,,43,2025-07-02_13:53:10.966212
AD   61,99.00%,Janice Chen,(Democratic),2,2025-07-02_13:53:10.966212
AD   61,99.00%,Marisa Arrabito,(Democratic),0,2025-07-02_13:53:10.966212
AD   61,99.00%,Susan Liebman,(Democratic),0,2025-07-02_13:53:10.966212
AD   61,99.00%,Janice P. Purvis,(Democratic),2,2025-07-02_13:53:10.966212
AD   61,99.00%,WRITE-IN,,0,2025-07-02_13:53:10.966212
AD   64,99.00%,Janice Chen,(Democratic),1419,2025-07-02_13:53:10.966212
AD   64,99.00%,Marisa Arrabito,(Democratic),1176,2025-07-02_13:53:10.966212
AD   64,99.00%,Susan Liebman,(Democratic),795,2025-07-02_13:53:10.966212
AD   64,99.00%,Janice P. Purvis,(Democratic),649,2025-07-02_13:53:10.966212
AD   64,99.00%,WRITE-IN,,38,2025-07-02_13:53:10.966212
Total,,Janice Chen,(Democratic),143199,2025-07-02_13:53:10.966212
Total,,Marisa Arrabito,(Democratic),107709,2025-07-02_13:53:10.966212
Total,,Susan Liebman,(Democratic),79686,2025-07-02_13:53:10.966212
Total,,Janice P. Purvis,(Democratic),81322,2025-07-02_13:53:10.966212
Total,,WRITE-IN,,3104,2025-07-02_13:53:10.966212
