ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Janice Chen,(Democratic),107,AD 41,2025-07-02_13:53:10.966212
ED    1,99.00%,Marisa Arrabito,(Democratic),49,AD 41,2025-07-02_13:53:10.966212
ED    1,99.00%,Susan Liebman,(Democratic),76,AD 41,2025-07-02_13:53:10.966212
ED    1,99.00%,Janice P. Purvis,(Democratic),77,AD 41,2025-07-02_13:53:10.966212
ED    1,99.00%,WRITE-IN,&nbsp,5,AD 41,2025-07-02_13:53:10.966212
ED    2,99.00%,Janice Chen,(Democratic),109,AD 41,2025-07-02_13:53:10.966212
ED    2,99.00%,Marisa Arrabito,(Democratic),59,AD 41,2025-07-02_13:53:10.966212
ED    2,99.00%,Susan Liebman,(Democratic),70,AD 41,2025-07-02_13:53:10.966212
ED    2,99.00%,Janice P. Purvis,(Democratic),91,AD 41,2025-07-02_13:53:10.966212
ED    2,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-07-02_13:53:10.966212
ED    3,99.00%,Janice Chen,(Democratic),58,AD 41,2025-07-02_13:53:10.966212
ED    3,99.00%,Marisa Arrabito,(Democratic),50,AD 41,2025-07-02_13:53:10.966212
ED    3,99.00%,Susan Liebman,(Democratic),60,AD 41,2025-07-02_13:53:10.966212
ED    3,99.00%,Janice P. Purvis,(Democratic),51,AD 41,2025-07-02_13:53:10.966212
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-07-02_13:53:10.966212
ED    4,99.00%,Janice Chen,(Democratic),185,AD 41,2025-07-02_13:53:10.966212
ED    4,99.00%,Marisa Arrabito,(Democratic),104,AD 41,2025-07-02_13:53:10.966212
ED    4,99.00%,Susan Liebman,(Democratic),95,AD 41,2025-07-02_13:53:10.966212
ED    4,99.00%,Janice P. Purvis,(Democratic),120,AD 41,2025-07-02_13:53:10.966212
ED    4,99.00%,WRITE-IN,&nbsp,1,AD 41,2025-07-02_13:53:10.966212
ED    5,99.00%,Janice Chen,(Democratic),87,AD 41,2025-07-02_13:53:10.966212
ED    5,99.00%,Marisa Arrabito,(Democratic),47,AD 41,2025-07-02_13:53:10.966212
ED    5,99.00%,Susan Liebman,(Democratic),54,AD 41,2025-07-02_13:53:10.966212
ED    5,99.00%,Janice P. Purvis,(Democratic),58,AD 41,2025-07-02_13:53:10.966212
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 41,2025-07-02_13:53:10.966212
ED    6,99.00%,Janice Chen,(Democratic),99,AD 41,2025-07-02_13:53:10.966212
ED    6,99.00%,Marisa Arrabito,(Democratic),73,AD 41,2025-07-02_13:53:10.966212
ED    6,99.00%,Susan Liebman,(Democratic),59,AD 41,2025-07-02_13:53:10.966212
ED    6,99.00%,Janice P. Purvis,(Democratic),58,AD 41,2025-07-02_13:53:10.966212
ED    6,99.00%,WRITE-IN,&nbsp,5,AD 41,2025-07-02_13:53:10.966212
