AD_num,reported,candidate,party,votes,scrape_time
AD   37,99.00%,Louis L. Nock,(Democratic),0,2024-11-07_14:16:37.091477
AD   37,99.00%,Malaika Scott-McLaughlin,(Democratic),0,2024-11-07_14:16:37.091477
AD   37,99.00%,Allison R. Greenfield,(Democratic),0,2024-11-07_14:16:37.091477
AD   37,99.00%,Harold E. Bahr,(Democratic),0,2024-11-07_14:16:37.091477
AD   37,99.00%,Elizabeth Y. Shamahs,(Democratic),0,2024-11-07_14:16:37.091477
AD   37,99.00%,Crystal Villasenor,(Democratic),0,2024-11-07_14:16:37.091477
AD   37,99.00%,WRITE-IN,,0,2024-11-07_14:16:37.091477
AD   61,99.00%,Louis L. Nock,(Democratic),4702,2024-11-07_14:16:37.091477
AD   61,99.00%,Malaika Scott-McLaughlin,(Democratic),4807,2024-11-07_14:16:37.091477
AD   61,99.00%,Allison R. Greenfield,(Democratic),5054,2024-11-07_14:16:37.091477
AD   61,99.00%,Harold E. Bahr,(Democratic),4580,2024-11-07_14:16:37.091477
AD   61,99.00%,Elizabeth Y. Shamahs,(Democratic),4627,2024-11-07_14:16:37.091477
AD   61,99.00%,Crystal Villasenor,(Democratic),4553,2024-11-07_14:16:37.091477
AD   61,99.00%,WRITE-IN,,386,2024-11-07_14:16:37.091477
AD   65,97.17%,Louis L. Nock,(Democratic),19618,2024-11-07_14:16:37.091477
AD   65,97.17%,Malaika Scott-McLaughlin,(Democratic),20908,2024-11-07_14:16:37.091477
AD   65,97.17%,Allison R. Greenfield,(Democratic),21104,2024-11-07_14:16:37.091477
AD   65,97.17%,Harold E. Bahr,(Democratic),18662,2024-11-07_14:16:37.091477
AD   65,97.17%,Elizabeth Y. Shamahs,(Democratic),19328,2024-11-07_14:16:37.091477
AD   65,97.17%,Crystal Villasenor,(Democratic),19144,2024-11-07_14:16:37.091477
AD   65,97.17%,WRITE-IN,,1114,2024-11-07_14:16:37.091477
AD   66,99.00%,Louis L. Nock,(Democratic),34615,2024-11-07_14:16:37.091477
AD   66,99.00%,Malaika Scott-McLaughlin,(Democratic),35385,2024-11-07_14:16:37.091477
AD   66,99.00%,Allison R. Greenfield,(Democratic),36709,2024-11-07_14:16:37.091477
AD   66,99.00%,Harold E. Bahr,(Democratic),33775,2024-11-07_14:16:37.091477
AD   66,99.00%,Elizabeth Y. Shamahs,(Democratic),34348,2024-11-07_14:16:37.091477
AD   66,99.00%,Crystal Villasenor,(Democratic),34037,2024-11-07_14:16:37.091477
AD   66,99.00%,WRITE-IN,,1435,2024-11-07_14:16:37.091477
AD   67,98.10%,Louis L. Nock,(Democratic),37733,2024-11-07_14:16:37.091477
AD   67,98.10%,Malaika Scott-McLaughlin,(Democratic),38832,2024-11-07_14:16:37.091477
AD   67,98.10%,Allison R. Greenfield,(Democratic),40025,2024-11-07_14:16:37.091477
AD   67,98.10%,Harold E. Bahr,(Democratic),37051,2024-11-07_14:16:37.091477
AD   67,98.10%,Elizabeth Y. Shamahs,(Democratic),37555,2024-11-07_14:16:37.091477
AD   67,98.10%,Crystal Villasenor,(Democratic),37242,2024-11-07_14:16:37.091477
AD   67,98.10%,WRITE-IN,,1726,2024-11-07_14:16:37.091477
AD   68,96.04%,Louis L. Nock,(Democratic),18185,2024-11-07_14:16:37.091477
AD   68,96.04%,Malaika Scott-McLaughlin,(Democratic),20932,2024-11-07_14:16:37.091477
AD   68,96.04%,Allison R. Greenfield,(Democratic),19269,2024-11-07_14:16:37.091477
AD   68,96.04%,Harold E. Bahr,(Democratic),17102,2024-11-07_14:16:37.091477
AD   68,96.04%,Elizabeth Y. Shamahs,(Democratic),18067,2024-11-07_14:16:37.091477
AD   68,96.04%,Crystal Villasenor,(Democratic),18032,2024-11-07_14:16:37.091477
AD   68,96.04%,WRITE-IN,,766,2024-11-07_14:16:37.091477
AD   69,94.51%,Louis L. Nock,(Democratic),35582,2024-11-07_14:16:37.091477
AD   69,94.51%,Malaika Scott-McLaughlin,(Democratic),37304,2024-11-07_14:16:37.091477
AD   69,94.51%,Allison R. Greenfield,(Democratic),37374,2024-11-07_14:16:37.091477
AD   69,94.51%,Harold E. Bahr,(Democratic),34850,2024-11-07_14:16:37.091477
AD   69,94.51%,Elizabeth Y. Shamahs,(Democratic),35572,2024-11-07_14:16:37.091477
AD   69,94.51%,Crystal Villasenor,(Democratic),35382,2024-11-07_14:16:37.091477
AD   69,94.51%,WRITE-IN,,1304,2024-11-07_14:16:37.091477
AD   70,98.08%,Louis L. Nock,(Democratic),25691,2024-11-07_14:16:37.091477
AD   70,98.08%,Malaika Scott-McLaughlin,(Democratic),30952,2024-11-07_14:16:37.091477
AD   70,98.08%,Allison R. Greenfield,(Democratic),26906,2024-11-07_14:16:37.091477
AD   70,98.08%,Harold E. Bahr,(Democratic),24730,2024-11-07_14:16:37.091477
AD   70,98.08%,Elizabeth Y. Shamahs,(Democratic),25820,2024-11-07_14:16:37.091477
AD   70,98.08%,Crystal Villasenor,(Democratic),25542,2024-11-07_14:16:37.091477
AD   70,98.08%,WRITE-IN,,831,2024-11-07_14:16:37.091477
AD   71,98.23%,Louis L. Nock,(Democratic),23525,2024-11-07_14:16:37.091477
AD   71,98.23%,Malaika Scott-McLaughlin,(Democratic),26645,2024-11-07_14:16:37.091477
AD   71,98.23%,Allison R. Greenfield,(Democratic),24687,2024-11-07_14:16:37.091477
AD   71,98.23%,Harold E. Bahr,(Democratic),22792,2024-11-07_14:16:37.091477
AD   71,98.23%,Elizabeth Y. Shamahs,(Democratic),23818,2024-11-07_14:16:37.091477
AD   71,98.23%,Crystal Villasenor,(Democratic),23720,2024-11-07_14:16:37.091477
AD   71,98.23%,WRITE-IN,,786,2024-11-07_14:16:37.091477
AD   72,94.57%,Louis L. Nock,(Democratic),15576,2024-11-07_14:16:37.091477
AD   72,94.57%,Malaika Scott-McLaughlin,(Democratic),16807,2024-11-07_14:16:37.091477
AD   72,94.57%,Allison R. Greenfield,(Democratic),16494,2024-11-07_14:16:37.091477
AD   72,94.57%,Harold E. Bahr,(Democratic),14797,2024-11-07_14:16:37.091477
AD   72,94.57%,Elizabeth Y. Shamahs,(Democratic),16210,2024-11-07_14:16:37.091477
AD   72,94.57%,Crystal Villasenor,(Democratic),16226,2024-11-07_14:16:37.091477
AD   72,94.57%,WRITE-IN,,793,2024-11-07_14:16:37.091477
AD   73,97.20%,Louis L. Nock,(Democratic),33478,2024-11-07_14:16:37.091477
AD   73,97.20%,Malaika Scott-McLaughlin,(Democratic),33906,2024-11-07_14:16:37.091477
AD   73,97.20%,Allison R. Greenfield,(Democratic),36116,2024-11-07_14:16:37.091477
AD   73,97.20%,Harold E. Bahr,(Democratic),32873,2024-11-07_14:16:37.091477
AD   73,97.20%,Elizabeth Y. Shamahs,(Democratic),33075,2024-11-07_14:16:37.091477
AD   73,97.20%,Crystal Villasenor,(Democratic),32684,2024-11-07_14:16:37.091477
AD   73,97.20%,WRITE-IN,,2109,2024-11-07_14:16:37.091477
AD   74,99.00%,Louis L. Nock,(Democratic),29246,2024-11-07_14:16:37.091477
AD   74,99.00%,Malaika Scott-McLaughlin,(Democratic),30461,2024-11-07_14:16:37.091477
AD   74,99.00%,Allison R. Greenfield,(Democratic),31188,2024-11-07_14:16:37.091477
AD   74,99.00%,Harold E. Bahr,(Democratic),28365,2024-11-07_14:16:37.091477
AD   74,99.00%,Elizabeth Y. Shamahs,(Democratic),28929,2024-11-07_14:16:37.091477
AD   74,99.00%,Crystal Villasenor,(Democratic),28746,2024-11-07_14:16:37.091477
AD   74,99.00%,WRITE-IN,,1452,2024-11-07_14:16:37.091477
AD   75,97.17%,Louis L. Nock,(Democratic),29920,2024-11-07_14:16:37.091477
AD   75,97.17%,Malaika Scott-McLaughlin,(Democratic),31096,2024-11-07_14:16:37.091477
AD   75,97.17%,Allison R. Greenfield,(Democratic),31831,2024-11-07_14:16:37.091477
AD   75,97.17%,Harold E. Bahr,(Democratic),29121,2024-11-07_14:16:37.091477
AD   75,97.17%,Elizabeth Y. Shamahs,(Democratic),29778,2024-11-07_14:16:37.091477
AD   75,97.17%,Crystal Villasenor,(Democratic),29524,2024-11-07_14:16:37.091477
AD   75,97.17%,WRITE-IN,,1565,2024-11-07_14:16:37.091477
AD   76,94.83%,Louis L. Nock,(Democratic),35793,2024-11-07_14:16:37.091477
AD   76,94.83%,Malaika Scott-McLaughlin,(Democratic),36696,2024-11-07_14:16:37.091477
AD   76,94.83%,Allison R. Greenfield,(Democratic),38614,2024-11-07_14:16:37.091477
AD   76,94.83%,Harold E. Bahr,(Democratic),35232,2024-11-07_14:16:37.091477
AD   76,94.83%,Elizabeth Y. Shamahs,(Democratic),35696,2024-11-07_14:16:37.091477
AD   76,94.83%,Crystal Villasenor,(Democratic),35309,2024-11-07_14:16:37.091477
AD   76,94.83%,WRITE-IN,,1985,2024-11-07_14:16:37.091477
Total,,Louis L. Nock,(Democratic),343664,2024-11-07_14:16:37.091477
Total,,Malaika Scott-McLaughlin,(Democratic),364731,2024-11-07_14:16:37.091477
Total,,Allison R. Greenfield,(Democratic),365371,2024-11-07_14:16:37.091477
Total,,Harold E. Bahr,(Democratic),333930,2024-11-07_14:16:37.091477
Total,,Elizabeth Y. Shamahs,(Democratic),342823,2024-11-07_14:16:37.091477
Total,,Crystal Villasenor,(Democratic),340141,2024-11-07_14:16:37.091477
Total,,WRITE-IN,,16252,2024-11-07_14:16:37.091477
