boro,reported,candidate,party,votes,scrape_time
New York,97.25%,Louis L. Nock,(Democratic),343664,2024-11-07_14:06:37.238722
New York,97.25%,Malaika Scott-McLaughlin,(Democratic),364731,2024-11-07_14:06:37.238722
New York,97.25%,Allison R. Greenfield,(Democratic),365371,2024-11-07_14:06:37.238722
New York,97.25%,Harold E. Bahr,(Democratic),333930,2024-11-07_14:06:37.238722
New York,97.25%,Elizabeth Y. Shamahs,(Democratic),342823,2024-11-07_14:06:37.238722
New York,97.25%,Crystal Villasenor,(Democratic),340141,2024-11-07_14:06:37.238722
New York,97.25%,WRITE-IN,,16252,2024-11-07_14:06:37.238722
Total,,Louis L. Nock,(Democratic),343664,2024-11-07_14:06:37.238722
Total,,Malaika Scott-McLaughlin,(Democratic),364731,2024-11-07_14:06:37.238722
Total,,Allison R. Greenfield,(Democratic),365371,2024-11-07_14:06:37.238722
Total,,Harold E. Bahr,(Democratic),333930,2024-11-07_14:06:37.238722
Total,,Elizabeth Y. Shamahs,(Democratic),342823,2024-11-07_14:06:37.238722
Total,,Crystal Villasenor,(Democratic),340141,2024-11-07_14:06:37.238722
Total,,WRITE-IN,,16252,2024-11-07_14:06:37.238722
