ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   71,99.00%,Louis L. Nock,(Democratic),0,AD 37,2024-11-13_13:12:53.889229
ED   71,99.00%,Malaika Scott-McLaughlin,(Democratic),0,AD 37,2024-11-13_13:12:53.889229
ED   71,99.00%,Allison R. Greenfield,(Democratic),0,AD 37,2024-11-13_13:12:53.889229
ED   71,99.00%,Harold E. Bahr,(Democratic),0,AD 37,2024-11-13_13:12:53.889229
ED   71,99.00%,Elizabeth Y. Shamahs,(Democratic),0,AD 37,2024-11-13_13:12:53.889229
ED   71,99.00%,Crystal Villasenor,(Democratic),0,AD 37,2024-11-13_13:12:53.889229
ED   71,99.00%,WRITE-IN,&nbsp,0,AD 37,2024-11-13_13:12:53.889229
Total,,Louis L. Nock,(Democratic),-,AD 37,2024-11-13_13:12:53.889229
Total,,Malaika Scott-McLaughlin,(Democratic),-,AD 37,2024-11-13_13:12:53.889229
Total,,Allison R. Greenfield,(Democratic),-,AD 37,2024-11-13_13:12:53.889229
Total,,Harold E. Bahr,(Democratic),-,AD 37,2024-11-13_13:12:53.889229
Total,,Elizabeth Y. Shamahs,(Democratic),-,AD 37,2024-11-13_13:12:53.889229
Total,,Crystal Villasenor,(Democratic),-,AD 37,2024-11-13_13:12:53.889229
Total,,WRITE-IN,&nbsp,-,AD 37,2024-11-13_13:12:53.889229
ED   60,99.00%,Louis L. Nock,(Democratic),427,AD 61,2024-11-13_13:12:53.889229
ED   60,99.00%,Malaika Scott-McLaughlin,(Democratic),424,AD 61,2024-11-13_13:12:53.889229
ED   60,99.00%,Allison R. Greenfield,(Democratic),449,AD 61,2024-11-13_13:12:53.889229
ED   60,99.00%,Harold E. Bahr,(Democratic),416,AD 61,2024-11-13_13:12:53.889229
ED   60,99.00%,Elizabeth Y. Shamahs,(Democratic),416,AD 61,2024-11-13_13:12:53.889229
ED   60,99.00%,Crystal Villasenor,(Democratic),421,AD 61,2024-11-13_13:12:53.889229
ED   60,99.00%,WRITE-IN,&nbsp,55,AD 61,2024-11-13_13:12:53.889229
ED   61,99.00%,Louis L. Nock,(Democratic),554,AD 61,2024-11-13_13:12:53.889229
ED   61,99.00%,Malaika Scott-McLaughlin,(Democratic),552,AD 61,2024-11-13_13:12:53.889229
ED   61,99.00%,Allison R. Greenfield,(Democratic),596,AD 61,2024-11-13_13:12:53.889229
ED   61,99.00%,Harold E. Bahr,(Democratic),535,AD 61,2024-11-13_13:12:53.889229
ED   61,99.00%,Elizabeth Y. Shamahs,(Democratic),550,AD 61,2024-11-13_13:12:53.889229
ED   61,99.00%,Crystal Villasenor,(Democratic),539,AD 61,2024-11-13_13:12:53.889229
ED   61,99.00%,WRITE-IN,&nbsp,90,AD 61,2024-11-13_13:12:53.889229
ED   62,99.00%,Louis L. Nock,(Democratic),510,AD 61,2024-11-13_13:12:53.889229
ED   62,99.00%,Malaika Scott-McLaughlin,(Democratic),515,AD 61,2024-11-13_13:12:53.889229
ED   62,99.00%,Allison R. Greenfield,(Democratic),536,AD 61,2024-11-13_13:12:53.889229
ED   62,99.00%,Harold E. Bahr,(Democratic),503,AD 61,2024-11-13_13:12:53.889229
ED   62,99.00%,Elizabeth Y. Shamahs,(Democratic),502,AD 61,2024-11-13_13:12:53.889229
ED   62,99.00%,Crystal Villasenor,(Democratic),495,AD 61,2024-11-13_13:12:53.889229
ED   62,99.00%,WRITE-IN,&nbsp,15,AD 61,2024-11-13_13:12:53.889229
ED   63,99.00%,Louis L. Nock,(Democratic),638,AD 61,2024-11-13_13:12:53.889229
ED   63,99.00%,Malaika Scott-McLaughlin,(Democratic),657,AD 61,2024-11-13_13:12:53.889229
ED   63,99.00%,Allison R. Greenfield,(Democratic),690,AD 61,2024-11-13_13:12:53.889229
ED   63,99.00%,Harold E. Bahr,(Democratic),612,AD 61,2024-11-13_13:12:53.889229
ED   63,99.00%,Elizabeth Y. Shamahs,(Democratic),618,AD 61,2024-11-13_13:12:53.889229
ED   63,99.00%,Crystal Villasenor,(Democratic),606,AD 61,2024-11-13_13:12:53.889229
ED   63,99.00%,WRITE-IN,&nbsp,59,AD 61,2024-11-13_13:12:53.889229
ED   64,99.00%,Louis L. Nock,(Democratic),363,AD 61,2024-11-13_13:12:53.889229
ED   64,99.00%,Malaika Scott-McLaughlin,(Democratic),371,AD 61,2024-11-13_13:12:53.889229
ED   64,99.00%,Allison R. Greenfield,(Democratic),388,AD 61,2024-11-13_13:12:53.889229
ED   64,99.00%,Harold E. Bahr,(Democratic),348,AD 61,2024-11-13_13:12:53.889229
ED   64,99.00%,Elizabeth Y. Shamahs,(Democratic),353,AD 61,2024-11-13_13:12:53.889229
ED   64,99.00%,Crystal Villasenor,(Democratic),346,AD 61,2024-11-13_13:12:53.889229
ED   64,99.00%,WRITE-IN,&nbsp,27,AD 61,2024-11-13_13:12:53.889229
ED   65,99.00%,Louis L. Nock,(Democratic),572,AD 61,2024-11-13_13:12:53.889229
ED   65,99.00%,Malaika Scott-McLaughlin,(Democratic),590,AD 61,2024-11-13_13:12:53.889229
ED   65,99.00%,Allison R. Greenfield,(Democratic),636,AD 61,2024-11-13_13:12:53.889229
ED   65,99.00%,Harold E. Bahr,(Democratic),565,AD 61,2024-11-13_13:12:53.889229
ED   65,99.00%,Elizabeth Y. Shamahs,(Democratic),566,AD 61,2024-11-13_13:12:53.889229
ED   65,99.00%,Crystal Villasenor,(Democratic),552,AD 61,2024-11-13_13:12:53.889229
ED   65,99.00%,WRITE-IN,&nbsp,57,AD 61,2024-11-13_13:12:53.889229
ED   66,99.00%,Louis L. Nock,(Democratic),497,AD 61,2024-11-13_13:12:53.889229
ED   66,99.00%,Malaika Scott-McLaughlin,(Democratic),501,AD 61,2024-11-13_13:12:53.889229
ED   66,99.00%,Allison R. Greenfield,(Democratic),525,AD 61,2024-11-13_13:12:53.889229
ED   66,99.00%,Harold E. Bahr,(Democratic),487,AD 61,2024-11-13_13:12:53.889229
ED   66,99.00%,Elizabeth Y. Shamahs,(Democratic),491,AD 61,2024-11-13_13:12:53.889229
ED   66,99.00%,Crystal Villasenor,(Democratic),478,AD 61,2024-11-13_13:12:53.889229
ED   66,99.00%,WRITE-IN,&nbsp,18,AD 61,2024-11-13_13:12:53.889229
ED   67,99.00%,Louis L. Nock,(Democratic),515,AD 61,2024-11-13_13:12:53.889229
ED   67,99.00%,Malaika Scott-McLaughlin,(Democratic),531,AD 61,2024-11-13_13:12:53.889229
ED   67,99.00%,Allison R. Greenfield,(Democratic),553,AD 61,2024-11-13_13:12:53.889229
ED   67,99.00%,Harold E. Bahr,(Democratic),497,AD 61,2024-11-13_13:12:53.889229
ED   67,99.00%,Elizabeth Y. Shamahs,(Democratic),511,AD 61,2024-11-13_13:12:53.889229
ED   67,99.00%,Crystal Villasenor,(Democratic),506,AD 61,2024-11-13_13:12:53.889229
ED   67,99.00%,WRITE-IN,&nbsp,14,AD 61,2024-11-13_13:12:53.889229
ED   68,99.00%,Louis L. Nock,(Democratic),626,AD 61,2024-11-13_13:12:53.889229
ED   68,99.00%,Malaika Scott-McLaughlin,(Democratic),666,AD 61,2024-11-13_13:12:53.889229
ED   68,99.00%,Allison R. Greenfield,(Democratic),681,AD 61,2024-11-13_13:12:53.889229
ED   68,99.00%,Harold E. Bahr,(Democratic),617,AD 61,2024-11-13_13:12:53.889229
ED   68,99.00%,Elizabeth Y. Shamahs,(Democratic),620,AD 61,2024-11-13_13:12:53.889229
ED   68,99.00%,Crystal Villasenor,(Democratic),610,AD 61,2024-11-13_13:12:53.889229
ED   68,99.00%,WRITE-IN,&nbsp,51,AD 61,2024-11-13_13:12:53.889229
ED   69,99.00%,Louis L. Nock,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   69,99.00%,Malaika Scott-McLaughlin,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   69,99.00%,Allison R. Greenfield,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   69,99.00%,Harold E. Bahr,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   69,99.00%,Elizabeth Y. Shamahs,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   69,99.00%,Crystal Villasenor,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   69,99.00%,WRITE-IN,&nbsp,0,AD 61,2024-11-13_13:12:53.889229
ED   70,99.00%,Louis L. Nock,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   70,99.00%,Malaika Scott-McLaughlin,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   70,99.00%,Allison R. Greenfield,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   70,99.00%,Harold E. Bahr,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   70,99.00%,Elizabeth Y. Shamahs,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   70,99.00%,Crystal Villasenor,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   70,99.00%,WRITE-IN,&nbsp,0,AD 61,2024-11-13_13:12:53.889229
ED   71,99.00%,Louis L. Nock,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   71,99.00%,Malaika Scott-McLaughlin,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   71,99.00%,Allison R. Greenfield,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   71,99.00%,Harold E. Bahr,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   71,99.00%,Elizabeth Y. Shamahs,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   71,99.00%,Crystal Villasenor,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   71,99.00%,WRITE-IN,&nbsp,0,AD 61,2024-11-13_13:12:53.889229
ED   72,99.00%,Louis L. Nock,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   72,99.00%,Malaika Scott-McLaughlin,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   72,99.00%,Allison R. Greenfield,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   72,99.00%,Harold E. Bahr,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   72,99.00%,Elizabeth Y. Shamahs,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   72,99.00%,Crystal Villasenor,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   72,99.00%,WRITE-IN,&nbsp,0,AD 61,2024-11-13_13:12:53.889229
ED   73,99.00%,Louis L. Nock,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   73,99.00%,Malaika Scott-McLaughlin,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   73,99.00%,Allison R. Greenfield,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   73,99.00%,Harold E. Bahr,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   73,99.00%,Elizabeth Y. Shamahs,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   73,99.00%,Crystal Villasenor,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   73,99.00%,WRITE-IN,&nbsp,0,AD 61,2024-11-13_13:12:53.889229
ED   74,99.00%,Louis L. Nock,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   74,99.00%,Malaika Scott-McLaughlin,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   74,99.00%,Allison R. Greenfield,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   74,99.00%,Harold E. Bahr,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   74,99.00%,Elizabeth Y. Shamahs,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   74,99.00%,Crystal Villasenor,(Democratic),0,AD 61,2024-11-13_13:12:53.889229
ED   74,99.00%,WRITE-IN,&nbsp,0,AD 61,2024-11-13_13:12:53.889229
Total,,Louis L. Nock,(Democratic),4702,AD 61,2024-11-13_13:12:53.889229
Total,,Malaika Scott-McLaughlin,(Democratic),4807,AD 61,2024-11-13_13:12:53.889229
Total,,Allison R. Greenfield,(Democratic),5054,AD 61,2024-11-13_13:12:53.889229
Total,,Harold E. Bahr,(Democratic),4580,AD 61,2024-11-13_13:12:53.889229
Total,,Elizabeth Y. Shamahs,(Democratic),4627,AD 61,2024-11-13_13:12:53.889229
Total,,Crystal Villasenor,(Democratic),4553,AD 61,2024-11-13_13:12:53.889229
Total,,WRITE-IN,&nbsp,386,AD 61,2024-11-13_13:12:53.889229
ED    1,99.00%,Louis L. Nock,(Democratic),561,AD 65,2024-11-13_13:12:53.889229
ED    1,99.00%,Malaika Scott-McLaughlin,(Democratic),587,AD 65,2024-11-13_13:12:53.889229
ED    1,99.00%,Allison R. Greenfield,(Democratic),601,AD 65,2024-11-13_13:12:53.889229
ED    1,99.00%,Harold E. Bahr,(Democratic),537,AD 65,2024-11-13_13:12:53.889229
ED    1,99.00%,Elizabeth Y. Shamahs,(Democratic),554,AD 65,2024-11-13_13:12:53.889229
ED    1,99.00%,Crystal Villasenor,(Democratic),551,AD 65,2024-11-13_13:12:53.889229
ED    1,99.00%,WRITE-IN,&nbsp,32,AD 65,2024-11-13_13:12:53.889229
ED    2,99.00%,Louis L. Nock,(Democratic),418,AD 65,2024-11-13_13:12:53.889229
ED    2,99.00%,Malaika Scott-McLaughlin,(Democratic),453,AD 65,2024-11-13_13:12:53.889229
ED    2,99.00%,Allison R. Greenfield,(Democratic),474,AD 65,2024-11-13_13:12:53.889229
ED    2,99.00%,Harold E. Bahr,(Democratic),402,AD 65,2024-11-13_13:12:53.889229
ED    2,99.00%,Elizabeth Y. Shamahs,(Democratic),416,AD 65,2024-11-13_13:12:53.889229
ED    2,99.00%,Crystal Villasenor,(Democratic),411,AD 65,2024-11-13_13:12:53.889229
ED    2,99.00%,WRITE-IN,&nbsp,10,AD 65,2024-11-13_13:12:53.889229
ED    3,99.00%,Louis L. Nock,(Democratic),584,AD 65,2024-11-13_13:12:53.889229
ED    3,99.00%,Malaika Scott-McLaughlin,(Democratic),626,AD 65,2024-11-13_13:12:53.889229
