AD_num,reported,candidate,party,votes,scrape_time
AD   23,97.71%,Glenda M. Hernandez,(Democratic),16603,2024-11-13_13:13:03.240596
AD   23,97.71%,Sharifa M. Nasser-Cuellar,(Democratic),14375,2024-11-13_13:13:03.240596
AD   23,97.71%,Amish R. Doshi,(Democratic),16836,2024-11-13_13:13:03.240596
AD   23,97.71%,Peter F. Lane,(Democratic),14491,2024-11-13_13:13:03.240596
AD   23,97.71%,Melissa B. Deberry,(Democratic),15203,2024-11-13_13:13:03.240596
AD   23,97.71%,William David Shanahan,(Republican),20650,2024-11-13_13:13:03.240596
AD   23,97.71%,Mary-Ann E. Maloney,(Republican),21576,2024-11-13_13:13:03.240596
AD   23,97.71%,Peter F. Lane,(Republican),19283,2024-11-13_13:13:03.240596
AD   23,97.71%,Stephen C. Dachtera,(Republican),19779,2024-11-13_13:13:03.240596
AD   23,97.71%,William David Shanahan,(Conservative/Common Sense),1766,2024-11-13_13:13:03.240596
AD   23,97.71%,WRITE-IN,,666,2024-11-13_13:13:03.240596
AD   24,96.80%,Glenda M. Hernandez,(Democratic),19793,2024-11-13_13:13:03.240596
AD   24,96.80%,Sharifa M. Nasser-Cuellar,(Democratic),18231,2024-11-13_13:13:03.240596
AD   24,96.80%,Amish R. Doshi,(Democratic),20202,2024-11-13_13:13:03.240596
AD   24,96.80%,Peter F. Lane,(Democratic),17808,2024-11-13_13:13:03.240596
AD   24,96.80%,Melissa B. Deberry,(Democratic),18481,2024-11-13_13:13:03.240596
AD   24,96.80%,William David Shanahan,(Republican),11626,2024-11-13_13:13:03.240596
AD   24,96.80%,Mary-Ann E. Maloney,(Republican),11825,2024-11-13_13:13:03.240596
AD   24,96.80%,Peter F. Lane,(Republican),10866,2024-11-13_13:13:03.240596
AD   24,96.80%,Stephen C. Dachtera,(Republican),11001,2024-11-13_13:13:03.240596
AD   24,96.80%,William David Shanahan,(Conservative/Common Sense),991,2024-11-13_13:13:03.240596
AD   24,96.80%,WRITE-IN,,778,2024-11-13_13:13:03.240596
AD   25,98.20%,Glenda M. Hernandez,(Democratic),13730,2024-11-13_13:13:03.240596
AD   25,98.20%,Sharifa M. Nasser-Cuellar,(Democratic),12086,2024-11-13_13:13:03.240596
AD   25,98.20%,Amish R. Doshi,(Democratic),14586,2024-11-13_13:13:03.240596
AD   25,98.20%,Peter F. Lane,(Democratic),12399,2024-11-13_13:13:03.240596
AD   25,98.20%,Melissa B. Deberry,(Democratic),12922,2024-11-13_13:13:03.240596
AD   25,98.20%,William David Shanahan,(Republican),12158,2024-11-13_13:13:03.240596
AD   25,98.20%,Mary-Ann E. Maloney,(Republican),12412,2024-11-13_13:13:03.240596
AD   25,98.20%,Peter F. Lane,(Republican),10951,2024-11-13_13:13:03.240596
AD   25,98.20%,Stephen C. Dachtera,(Republican),11312,2024-11-13_13:13:03.240596
AD   25,98.20%,William David Shanahan,(Conservative/Common Sense),950,2024-11-13_13:13:03.240596
AD   25,98.20%,WRITE-IN,,538,2024-11-13_13:13:03.240596
AD   26,97.20%,Glenda M. Hernandez,(Democratic),20745,2024-11-13_13:13:03.240596
AD   26,97.20%,Sharifa M. Nasser-Cuellar,(Democratic),18594,2024-11-13_13:13:03.240596
AD   26,97.20%,Amish R. Doshi,(Democratic),22339,2024-11-13_13:13:03.240596
AD   26,97.20%,Peter F. Lane,(Democratic),19428,2024-11-13_13:13:03.240596
AD   26,97.20%,Melissa B. Deberry,(Democratic),19899,2024-11-13_13:13:03.240596
AD   26,97.20%,William David Shanahan,(Republican),18518,2024-11-13_13:13:03.240596
AD   26,97.20%,Mary-Ann E. Maloney,(Republican),19403,2024-11-13_13:13:03.240596
AD   26,97.20%,Peter F. Lane,(Republican),16970,2024-11-13_13:13:03.240596
AD   26,97.20%,Stephen C. Dachtera,(Republican),17621,2024-11-13_13:13:03.240596
AD   26,97.20%,William David Shanahan,(Conservative/Common Sense),1740,2024-11-13_13:13:03.240596
AD   26,97.20%,WRITE-IN,,705,2024-11-13_13:13:03.240596
AD   27,99.00%,Glenda M. Hernandez,(Democratic),14782,2024-11-13_13:13:03.240596
AD   27,99.00%,Sharifa M. Nasser-Cuellar,(Democratic),12609,2024-11-13_13:13:03.240596
AD   27,99.00%,Amish R. Doshi,(Democratic),16031,2024-11-13_13:13:03.240596
AD   27,99.00%,Peter F. Lane,(Democratic),13422,2024-11-13_13:13:03.240596
AD   27,99.00%,Melissa B. Deberry,(Democratic),13434,2024-11-13_13:13:03.240596
AD   27,99.00%,William David Shanahan,(Republican),15513,2024-11-13_13:13:03.240596
AD   27,99.00%,Mary-Ann E. Maloney,(Republican),15964,2024-11-13_13:13:03.240596
AD   27,99.00%,Peter F. Lane,(Republican),13945,2024-11-13_13:13:03.240596
AD   27,99.00%,Stephen C. Dachtera,(Republican),14757,2024-11-13_13:13:03.240596
AD   27,99.00%,William David Shanahan,(Conservative/Common Sense),1125,2024-11-13_13:13:03.240596
AD   27,99.00%,WRITE-IN,,583,2024-11-13_13:13:03.240596
AD   28,98.40%,Glenda M. Hernandez,(Democratic),22873,2024-11-13_13:13:03.240596
AD   28,98.40%,Sharifa M. Nasser-Cuellar,(Democratic),20381,2024-11-13_13:13:03.240596
AD   28,98.40%,Amish R. Doshi,(Democratic),23508,2024-11-13_13:13:03.240596
AD   28,98.40%,Peter F. Lane,(Democratic),20622,2024-11-13_13:13:03.240596
AD   28,98.40%,Melissa B. Deberry,(Democratic),21655,2024-11-13_13:13:03.240596
AD   28,98.40%,William David Shanahan,(Republican),17298,2024-11-13_13:13:03.240596
AD   28,98.40%,Mary-Ann E. Maloney,(Republican),17955,2024-11-13_13:13:03.240596
AD   28,98.40%,Peter F. Lane,(Republican),15690,2024-11-13_13:13:03.240596
AD   28,98.40%,Stephen C. Dachtera,(Republican),16306,2024-11-13_13:13:03.240596
AD   28,98.40%,William David Shanahan,(Conservative/Common Sense),1381,2024-11-13_13:13:03.240596
AD   28,98.40%,WRITE-IN,,637,2024-11-13_13:13:03.240596
AD   29,99.00%,Glenda M. Hernandez,(Democratic),31607,2024-11-13_13:13:03.240596
AD   29,99.00%,Sharifa M. Nasser-Cuellar,(Democratic),29835,2024-11-13_13:13:03.240596
AD   29,99.00%,Amish R. Doshi,(Democratic),29965,2024-11-13_13:13:03.240596
AD   29,99.00%,Peter F. Lane,(Democratic),28933,2024-11-13_13:13:03.240596
AD   29,99.00%,Melissa B. Deberry,(Democratic),30292,2024-11-13_13:13:03.240596
AD   29,99.00%,William David Shanahan,(Republican),4700,2024-11-13_13:13:03.240596
AD   29,99.00%,Mary-Ann E. Maloney,(Republican),4943,2024-11-13_13:13:03.240596
AD   29,99.00%,Peter F. Lane,(Republican),4566,2024-11-13_13:13:03.240596
AD   29,99.00%,Stephen C. Dachtera,(Republican),4498,2024-11-13_13:13:03.240596
AD   29,99.00%,William David Shanahan,(Conservative/Common Sense),567,2024-11-13_13:13:03.240596
AD   29,99.00%,WRITE-IN,,565,2024-11-13_13:13:03.240596
AD   30,97.09%,Glenda M. Hernandez,(Democratic),14817,2024-11-13_13:13:03.240596
