ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,John J. Ciafone,(Democratic),112,AD 23,2025-07-02_13:53:13.531596
ED    1,99.00%,Sheridan C. Chu,(Democratic),43,AD 23,2025-07-02_13:53:13.531596
ED    1,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:53:13.531596
ED    2,99.00%,John J. Ciafone,(Democratic),100,AD 23,2025-07-02_13:53:13.531596
ED    2,99.00%,Sheridan C. Chu,(Democratic),35,AD 23,2025-07-02_13:53:13.531596
ED    2,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:53:13.531596
ED    3,99.00%,John J. Ciafone,(Democratic),21,AD 23,2025-07-02_13:53:13.531596
ED    3,99.00%,Sheridan C. Chu,(Democratic),18,AD 23,2025-07-02_13:53:13.531596
ED    3,99.00%,WRITE-IN,&nbsp,2,AD 23,2025-07-02_13:53:13.531596
ED    4,75.00%,John J. Ciafone,(Democratic),126,AD 23,2025-07-02_13:53:13.531596
ED    4,75.00%,Sheridan C. Chu,(Democratic),73,AD 23,2025-07-02_13:53:13.531596
ED    4,75.00%,WRITE-IN,&nbsp,2,AD 23,2025-07-02_13:53:13.531596
ED    5,75.00%,John J. Ciafone,(Democratic),136,AD 23,2025-07-02_13:53:13.531596
ED    5,75.00%,Sheridan C. Chu,(Democratic),72,AD 23,2025-07-02_13:53:13.531596
ED    5,75.00%,WRITE-IN,&nbsp,3,AD 23,2025-07-02_13:53:13.531596
ED    6,75.00%,John J. Ciafone,(Democratic),133,AD 23,2025-07-02_13:53:13.531596
ED    6,75.00%,Sheridan C. Chu,(Democratic),66,AD 23,2025-07-02_13:53:13.531596
ED    6,75.00%,WRITE-IN,&nbsp,3,AD 23,2025-07-02_13:53:13.531596
ED    7,75.00%,John J. Ciafone,(Democratic),130,AD 23,2025-07-02_13:53:13.531596
ED    7,75.00%,Sheridan C. Chu,(Democratic),68,AD 23,2025-07-02_13:53:13.531596
ED    7,75.00%,WRITE-IN,&nbsp,3,AD 23,2025-07-02_13:53:13.531596
ED    8,99.00%,John J. Ciafone,(Democratic),82,AD 23,2025-07-02_13:53:13.531596
ED    8,99.00%,Sheridan C. Chu,(Democratic),91,AD 23,2025-07-02_13:53:13.531596
ED    8,99.00%,WRITE-IN,&nbsp,3,AD 23,2025-07-02_13:53:13.531596
ED    9,99.00%,John J. Ciafone,(Democratic),71,AD 23,2025-07-02_13:53:13.531596
ED    9,99.00%,Sheridan C. Chu,(Democratic),85,AD 23,2025-07-02_13:53:13.531596
ED    9,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:53:13.531596
ED   10,83.33%,John J. Ciafone,(Democratic),106,AD 23,2025-07-02_13:53:13.531596
ED   10,83.33%,Sheridan C. Chu,(Democratic),72,AD 23,2025-07-02_13:53:13.531596
ED   10,83.33%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:53:13.531596
ED   11,83.33%,John J. Ciafone,(Democratic),49,AD 23,2025-07-02_13:53:13.531596
ED   11,83.33%,Sheridan C. Chu,(Democratic),91,AD 23,2025-07-02_13:53:13.531596
ED   11,83.33%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:53:13.531596
ED   12,83.33%,John J. Ciafone,(Democratic),25,AD 23,2025-07-02_13:53:13.531596
ED   12,83.33%,Sheridan C. Chu,(Democratic),33,AD 23,2025-07-02_13:53:13.531596
ED   12,83.33%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:53:13.531596
ED   13,83.33%,John J. Ciafone,(Democratic),67,AD 23,2025-07-02_13:53:13.531596
ED   13,83.33%,Sheridan C. Chu,(Democratic),97,AD 23,2025-07-02_13:53:13.531596
ED   13,83.33%,WRITE-IN,&nbsp,3,AD 23,2025-07-02_13:53:13.531596
ED   14,83.33%,John J. Ciafone,(Democratic),51,AD 23,2025-07-02_13:53:13.531596
ED   14,83.33%,Sheridan C. Chu,(Democratic),71,AD 23,2025-07-02_13:53:13.531596
ED   14,83.33%,WRITE-IN,&nbsp,3,AD 23,2025-07-02_13:53:13.531596
ED   15,99.00%,John J. Ciafone,(Democratic),97,AD 23,2025-07-02_13:53:13.531596
ED   15,99.00%,Sheridan C. Chu,(Democratic),75,AD 23,2025-07-02_13:53:13.531596
ED   15,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:53:13.531596
ED   16,99.00%,John J. Ciafone,(Democratic),57,AD 23,2025-07-02_13:53:13.531596
ED   16,99.00%,Sheridan C. Chu,(Democratic),51,AD 23,2025-07-02_13:53:13.531596
ED   16,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:53:13.531596
ED   17,99.00%,John J. Ciafone,(Democratic),45,AD 23,2025-07-02_13:53:13.531596
ED   17,99.00%,Sheridan C. Chu,(Democratic),28,AD 23,2025-07-02_13:53:13.531596
ED   17,99.00%,WRITE-IN,&nbsp,2,AD 23,2025-07-02_13:53:13.531596
ED   18,99.00%,John J. Ciafone,(Democratic),87,AD 23,2025-07-02_13:53:13.531596
ED   18,99.00%,Sheridan C. Chu,(Democratic),161,AD 23,2025-07-02_13:53:13.531596
ED   18,99.00%,WRITE-IN,&nbsp,4,AD 23,2025-07-02_13:53:13.531596
ED   19,99.00%,John J. Ciafone,(Democratic),11,AD 23,2025-07-02_13:53:13.531596
ED   19,99.00%,Sheridan C. Chu,(Democratic),25,AD 23,2025-07-02_13:53:13.531596
ED   19,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:53:13.531596
ED   20,99.00%,John J. Ciafone,(Democratic),33,AD 23,2025-07-02_13:53:13.531596
ED   20,99.00%,Sheridan C. Chu,(Democratic),40,AD 23,2025-07-02_13:53:13.531596
