ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   60,99.00%,Ilona B. Coleman,(Democratic),553,AD 61,2024-11-13_13:14:39.470078
ED   60,99.00%,WRITE-IN,&nbsp,11,AD 61,2024-11-13_13:14:39.470078
ED   61,99.00%,Ilona B. Coleman,(Democratic),728,AD 61,2024-11-13_13:14:39.470078
ED   61,99.00%,WRITE-IN,&nbsp,13,AD 61,2024-11-13_13:14:39.470078
ED   62,99.00%,Ilona B. Coleman,(Democratic),629,AD 61,2024-11-13_13:14:39.470078
ED   62,99.00%,WRITE-IN,&nbsp,4,AD 61,2024-11-13_13:14:39.470078
ED   63,99.00%,Ilona B. Coleman,(Democratic),840,AD 61,2024-11-13_13:14:39.470078
ED   63,99.00%,WRITE-IN,&nbsp,15,AD 61,2024-11-13_13:14:39.470078
ED   64,99.00%,Ilona B. Coleman,(Democratic),459,AD 61,2024-11-13_13:14:39.470078
ED   64,99.00%,WRITE-IN,&nbsp,8,AD 61,2024-11-13_13:14:39.470078
ED   65,99.00%,Ilona B. Coleman,(Democratic),754,AD 61,2024-11-13_13:14:39.470078
ED   65,99.00%,WRITE-IN,&nbsp,10,AD 61,2024-11-13_13:14:39.470078
ED   66,99.00%,Ilona B. Coleman,(Democratic),631,AD 61,2024-11-13_13:14:39.470078
ED   66,99.00%,WRITE-IN,&nbsp,5,AD 61,2024-11-13_13:14:39.470078
ED   67,99.00%,Ilona B. Coleman,(Democratic),660,AD 61,2024-11-13_13:14:39.470078
ED   67,99.00%,WRITE-IN,&nbsp,5,AD 61,2024-11-13_13:14:39.470078
ED   68,99.00%,Ilona B. Coleman,(Democratic),854,AD 61,2024-11-13_13:14:39.470078
ED   68,99.00%,WRITE-IN,&nbsp,11,AD 61,2024-11-13_13:14:39.470078
ED   69,99.00%,Ilona B. Coleman,(Democratic),0,AD 61,2024-11-13_13:14:39.470078
ED   69,99.00%,WRITE-IN,&nbsp,0,AD 61,2024-11-13_13:14:39.470078
