AD_num,reported,candidate,party,votes,scrape_time
AD   77,95.60%,Brenda L. Rivera,(Democratic),19001,2024-11-07_14:09:11.470991
AD   77,95.60%,WRITE-IN,,94,2024-11-07_14:09:11.470991
AD   78,97.37%,Brenda L. Rivera,(Democratic),16585,2024-11-07_14:09:11.470991
AD   78,97.37%,WRITE-IN,,95,2024-11-07_14:09:11.470991
AD   79,98.61%,Brenda L. Rivera,(Democratic),15444,2024-11-07_14:09:11.470991
AD   79,98.61%,WRITE-IN,,65,2024-11-07_14:09:11.470991
AD   80,99.00%,Brenda L. Rivera,(Democratic),4588,2024-11-07_14:09:11.470991
AD   80,99.00%,WRITE-IN,,30,2024-11-07_14:09:11.470991
AD   81,96.92%,Brenda L. Rivera,(Democratic),25106,2024-11-07_14:09:11.470991
AD   81,96.92%,WRITE-IN,,337,2024-11-07_14:09:11.470991
AD   84,98.84%,Brenda L. Rivera,(Democratic),18024,2024-11-07_14:09:11.470991
AD   84,98.84%,WRITE-IN,,91,2024-11-07_14:09:11.470991
AD   85,99.00%,Brenda L. Rivera,(Democratic),0,2024-11-07_14:09:11.470991
AD   85,99.00%,WRITE-IN,,0,2024-11-07_14:09:11.470991
AD   86,97.67%,Brenda L. Rivera,(Democratic),16821,2024-11-07_14:09:11.470991
AD   86,97.67%,WRITE-IN,,84,2024-11-07_14:09:11.470991
AD   87,99.00%,Brenda L. Rivera,(Democratic),0,2024-11-07_14:09:11.470991
AD   87,99.00%,WRITE-IN,,0,2024-11-07_14:09:11.470991
Total,,Brenda L. Rivera,(Democratic),115569,2024-11-07_14:09:11.470991
Total,,WRITE-IN,,796,2024-11-07_14:09:11.470991
