ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   24,99.00%,Alice Tam Tien,(Democratic),236,AD 65,2024-11-07_14:09:08.405288
ED   24,99.00%,WRITE-IN,&nbsp,0,AD 65,2024-11-07_14:09:08.405288
ED   25,99.00%,Alice Tam Tien,(Democratic),283,AD 65,2024-11-07_14:09:08.405288
ED   25,99.00%,WRITE-IN,&nbsp,3,AD 65,2024-11-07_14:09:08.405288
ED   26,99.00%,Alice Tam Tien,(Democratic),512,AD 65,2024-11-07_14:09:08.405288
ED   26,99.00%,WRITE-IN,&nbsp,6,AD 65,2024-11-07_14:09:08.405288
ED   27,99.00%,Alice Tam Tien,(Democratic),291,AD 65,2024-11-07_14:09:08.405288
ED   27,99.00%,WRITE-IN,&nbsp,5,AD 65,2024-11-07_14:09:08.405288
ED   28,99.00%,Alice Tam Tien,(Democratic),573,AD 65,2024-11-07_14:09:08.405288
ED   28,99.00%,WRITE-IN,&nbsp,2,AD 65,2024-11-07_14:09:08.405288
ED   29,99.00%,Alice Tam Tien,(Democratic),732,AD 65,2024-11-07_14:09:08.405288
ED   29,99.00%,WRITE-IN,&nbsp,5,AD 65,2024-11-07_14:09:08.405288
ED   30,99.00%,Alice Tam Tien,(Democratic),387,AD 65,2024-11-07_14:09:08.405288
ED   30,99.00%,WRITE-IN,&nbsp,2,AD 65,2024-11-07_14:09:08.405288
ED   31,66.67%,Alice Tam Tien,(Democratic),134,AD 65,2024-11-07_14:09:08.405288
ED   31,66.67%,WRITE-IN,&nbsp,1,AD 65,2024-11-07_14:09:08.405288
ED   32,99.00%,Alice Tam Tien,(Democratic),460,AD 65,2024-11-07_14:09:08.405288
ED   32,99.00%,WRITE-IN,&nbsp,2,AD 65,2024-11-07_14:09:08.405288
ED   33,99.00%,Alice Tam Tien,(Democratic),760,AD 65,2024-11-07_14:09:08.405288
ED   33,99.00%,WRITE-IN,&nbsp,10,AD 65,2024-11-07_14:09:08.405288
ED   34,99.00%,Alice Tam Tien,(Democratic),280,AD 65,2024-11-07_14:09:08.405288
ED   34,99.00%,WRITE-IN,&nbsp,2,AD 65,2024-11-07_14:09:08.405288
ED   35,99.00%,Alice Tam Tien,(Democratic),588,AD 65,2024-11-07_14:09:08.405288
ED   35,99.00%,WRITE-IN,&nbsp,6,AD 65,2024-11-07_14:09:08.405288
ED   36,99.00%,Alice Tam Tien,(Democratic),269,AD 65,2024-11-07_14:09:08.405288
ED   36,99.00%,WRITE-IN,&nbsp,3,AD 65,2024-11-07_14:09:08.405288
ED   38,99.00%,Alice Tam Tien,(Democratic),190,AD 65,2024-11-07_14:09:08.405288
ED   38,99.00%,WRITE-IN,&nbsp,1,AD 65,2024-11-07_14:09:08.405288
ED   39,99.00%,Alice Tam Tien,(Democratic),181,AD 65,2024-11-07_14:09:08.405288
ED   39,99.00%,WRITE-IN,&nbsp,0,AD 65,2024-11-07_14:09:08.405288
ED   40,99.00%,Alice Tam Tien,(Democratic),598,AD 65,2024-11-07_14:09:08.405288
ED   40,99.00%,WRITE-IN,&nbsp,5,AD 65,2024-11-07_14:09:08.405288
ED   41,99.00%,Alice Tam Tien,(Democratic),458,AD 65,2024-11-07_14:09:08.405288
ED   41,99.00%,WRITE-IN,&nbsp,6,AD 65,2024-11-07_14:09:08.405288
ED   42,99.00%,Alice Tam Tien,(Democratic),428,AD 65,2024-11-07_14:09:08.405288
ED   42,99.00%,WRITE-IN,&nbsp,7,AD 65,2024-11-07_14:09:08.405288
ED   43,99.00%,Alice Tam Tien,(Democratic),481,AD 65,2024-11-07_14:09:08.405288
ED   43,99.00%,WRITE-IN,&nbsp,5,AD 65,2024-11-07_14:09:08.405288
ED   44,99.00%,Alice Tam Tien,(Democratic),597,AD 65,2024-11-07_14:09:08.405288
ED   44,99.00%,WRITE-IN,&nbsp,4,AD 65,2024-11-07_14:09:08.405288
ED   45,99.00%,Alice Tam Tien,(Democratic),525,AD 65,2024-11-07_14:09:08.405288
ED   45,99.00%,WRITE-IN,&nbsp,3,AD 65,2024-11-07_14:09:08.405288
ED   46,99.00%,Alice Tam Tien,(Democratic),667,AD 65,2024-11-07_14:09:08.405288
ED   46,99.00%,WRITE-IN,&nbsp,12,AD 65,2024-11-07_14:09:08.405288
ED   47,99.00%,Alice Tam Tien,(Democratic),336,AD 65,2024-11-07_14:09:08.405288
ED   47,99.00%,WRITE-IN,&nbsp,1,AD 65,2024-11-07_14:09:08.405288
ED   48,99.00%,Alice Tam Tien,(Democratic),244,AD 65,2024-11-07_14:09:08.405288
ED   48,99.00%,WRITE-IN,&nbsp,1,AD 65,2024-11-07_14:09:08.405288
ED   49,99.00%,Alice Tam Tien,(Democratic),546,AD 65,2024-11-07_14:09:08.405288
ED   49,99.00%,WRITE-IN,&nbsp,3,AD 65,2024-11-07_14:09:08.405288
ED   50,99.00%,Alice Tam Tien,(Democratic),476,AD 65,2024-11-07_14:09:08.405288
ED   50,99.00%,WRITE-IN,&nbsp,1,AD 65,2024-11-07_14:09:08.405288
ED   51,99.00%,Alice Tam Tien,(Democratic),386,AD 65,2024-11-07_14:09:08.405288
ED   51,99.00%,WRITE-IN,&nbsp,1,AD 65,2024-11-07_14:09:08.405288
ED   52,99.00%,Alice Tam Tien,(Democratic),397,AD 65,2024-11-07_14:09:08.405288
ED   52,99.00%,WRITE-IN,&nbsp,7,AD 65,2024-11-07_14:09:08.405288
ED   53,99.00%,Alice Tam Tien,(Democratic),370,AD 65,2024-11-07_14:09:08.405288
ED   53,99.00%,WRITE-IN,&nbsp,2,AD 65,2024-11-07_14:09:08.405288
ED   54,99.00%,Alice Tam Tien,(Democratic),360,AD 65,2024-11-07_14:09:08.405288
ED   54,99.00%,WRITE-IN,&nbsp,1,AD 65,2024-11-07_14:09:08.405288
ED   55,99.00%,Alice Tam Tien,(Democratic),338,AD 65,2024-11-07_14:09:08.405288
ED   55,99.00%,WRITE-IN,&nbsp,2,AD 65,2024-11-07_14:09:08.405288
ED   56,99.00%,Alice Tam Tien,(Democratic),339,AD 65,2024-11-07_14:09:08.405288
ED   56,99.00%,WRITE-IN,&nbsp,0,AD 65,2024-11-07_14:09:08.405288
ED   57,99.00%,Alice Tam Tien,(Democratic),781,AD 65,2024-11-07_14:09:08.405288
ED   57,99.00%,WRITE-IN,&nbsp,2,AD 65,2024-11-07_14:09:08.405288
ED   58,99.00%,Alice Tam Tien,(Democratic),531,AD 65,2024-11-07_14:09:08.405288
ED   58,99.00%,WRITE-IN,&nbsp,3,AD 65,2024-11-07_14:09:08.405288
ED   59,99.00%,Alice Tam Tien,(Democratic),574,AD 65,2024-11-07_14:09:08.405288
ED   59,99.00%,WRITE-IN,&nbsp,7,AD 65,2024-11-07_14:09:08.405288
ED   60,99.00%,Alice Tam Tien,(Democratic),541,AD 65,2024-11-07_14:09:08.405288
ED   60,99.00%,WRITE-IN,&nbsp,5,AD 65,2024-11-07_14:09:08.405288
ED   61,99.00%,Alice Tam Tien,(Democratic),320,AD 65,2024-11-07_14:09:08.405288
ED   61,99.00%,WRITE-IN,&nbsp,3,AD 65,2024-11-07_14:09:08.405288
ED   62,99.00%,Alice Tam Tien,(Democratic),339,AD 65,2024-11-07_14:09:08.405288
ED   62,99.00%,WRITE-IN,&nbsp,0,AD 65,2024-11-07_14:09:08.405288
ED   63,99.00%,Alice Tam Tien,(Democratic),352,AD 65,2024-11-07_14:09:08.405288
ED   63,99.00%,WRITE-IN,&nbsp,1,AD 65,2024-11-07_14:09:08.405288
ED   64,99.00%,Alice Tam Tien,(Democratic),554,AD 65,2024-11-07_14:09:08.405288
ED   64,99.00%,WRITE-IN,&nbsp,5,AD 65,2024-11-07_14:09:08.405288
