AD_num,reported,candidate,party,votes,scrape_time
AD   24,96.84%,Elizabeth J. Newton,(Democratic),16722,2024-11-07_14:19:45.259827
AD   24,96.84%,WRITE-IN,,353,2024-11-07_14:19:45.259827
AD   25,99.00%,Elizabeth J. Newton,(Democratic),1725,2024-11-07_14:19:45.259827
AD   25,99.00%,WRITE-IN,,26,2024-11-07_14:19:45.259827
AD   26,94.44%,Elizabeth J. Newton,(Democratic),2591,2024-11-07_14:19:45.259827
AD   26,94.44%,WRITE-IN,,59,2024-11-07_14:19:45.259827
AD   27,99.00%,Elizabeth J. Newton,(Democratic),3552,2024-11-07_14:19:45.259827
AD   27,99.00%,WRITE-IN,,44,2024-11-07_14:19:45.259827
AD   28,97.44%,Elizabeth J. Newton,(Democratic),9412,2024-11-07_14:19:45.259827
AD   28,97.44%,WRITE-IN,,160,2024-11-07_14:19:45.259827
AD   29,99.00%,Elizabeth J. Newton,(Democratic),35617,2024-11-07_14:19:45.259827
AD   29,99.00%,WRITE-IN,,207,2024-11-07_14:19:45.259827
AD   31,98.04%,Elizabeth J. Newton,(Democratic),9107,2024-11-07_14:19:45.259827
AD   31,98.04%,WRITE-IN,,29,2024-11-07_14:19:45.259827
AD   32,98.96%,Elizabeth J. Newton,(Democratic),29113,2024-11-07_14:19:45.259827
AD   32,98.96%,WRITE-IN,,143,2024-11-07_14:19:45.259827
AD   33,93.62%,Elizabeth J. Newton,(Democratic),36197,2024-11-07_14:19:45.259827
AD   33,93.62%,WRITE-IN,,352,2024-11-07_14:19:45.259827
AD   38,96.97%,Elizabeth J. Newton,(Democratic),7243,2024-11-07_14:19:45.259827
AD   38,96.97%,WRITE-IN,,127,2024-11-07_14:19:45.259827
Total,,Elizabeth J. Newton,(Democratic),151279,2024-11-07_14:19:45.259827
Total,,WRITE-IN,,1500,2024-11-07_14:19:45.259827
