AD_num,reported,candidate,party,votes,scrape_time
AD   44,96.30%,Hemalee J. Patel,(Democratic),12368,2024-11-07_14:19:39.306101
AD   44,96.30%,Jacob Zelmanovitz,(Democratic),10924,2024-11-07_14:19:39.306101
AD   44,96.30%,Benjamin J. Lieberman,(Conservative),3214,2024-11-07_14:19:39.306101
AD   44,96.30%,Jacob Zelmanovitz,(Conservative),2465,2024-11-07_14:19:39.306101
AD   44,96.30%,WRITE-IN,,248,2024-11-07_14:19:39.306101
AD   46,90.32%,Hemalee J. Patel,(Democratic),9283,2024-11-07_14:19:39.306101
AD   46,90.32%,Jacob Zelmanovitz,(Democratic),7949,2024-11-07_14:19:39.306101
AD   46,90.32%,Benjamin J. Lieberman,(Conservative),6154,2024-11-07_14:19:39.306101
AD   46,90.32%,Jacob Zelmanovitz,(Conservative),4647,2024-11-07_14:19:39.306101
AD   46,90.32%,WRITE-IN,,230,2024-11-07_14:19:39.306101
AD   47,99.00%,Hemalee J. Patel,(Democratic),7120,2024-11-07_14:19:39.306101
AD   47,99.00%,Jacob Zelmanovitz,(Democratic),6214,2024-11-07_14:19:39.306101
AD   47,99.00%,Benjamin J. Lieberman,(Conservative),6208,2024-11-07_14:19:39.306101
AD   47,99.00%,Jacob Zelmanovitz,(Conservative),4599,2024-11-07_14:19:39.306101
AD   47,99.00%,WRITE-IN,,232,2024-11-07_14:19:39.306101
AD   48,99.00%,Hemalee J. Patel,(Democratic),2952,2024-11-07_14:19:39.306101
AD   48,99.00%,Jacob Zelmanovitz,(Democratic),5413,2024-11-07_14:19:39.306101
AD   48,99.00%,Benjamin J. Lieberman,(Conservative),12136,2024-11-07_14:19:39.306101
AD   48,99.00%,Jacob Zelmanovitz,(Conservative),9923,2024-11-07_14:19:39.306101
AD   48,99.00%,WRITE-IN,,260,2024-11-07_14:19:39.306101
AD   49,98.75%,Hemalee J. Patel,(Democratic),8116,2024-11-07_14:19:39.306101
AD   49,98.75%,Jacob Zelmanovitz,(Democratic),6758,2024-11-07_14:19:39.306101
AD   49,98.75%,Benjamin J. Lieberman,(Conservative),6225,2024-11-07_14:19:39.306101
AD   49,98.75%,Jacob Zelmanovitz,(Conservative),4698,2024-11-07_14:19:39.306101
AD   49,98.75%,WRITE-IN,,271,2024-11-07_14:19:39.306101
AD   51,94.20%,Hemalee J. Patel,(Democratic),14197,2024-11-07_14:19:39.306101
AD   51,94.20%,Jacob Zelmanovitz,(Democratic),11611,2024-11-07_14:19:39.306101
AD   51,94.20%,Benjamin J. Lieberman,(Conservative),3450,2024-11-07_14:19:39.306101
AD   51,94.20%,Jacob Zelmanovitz,(Conservative),2411,2024-11-07_14:19:39.306101
AD   51,94.20%,WRITE-IN,,317,2024-11-07_14:19:39.306101
AD   61,99.00%,Hemalee J. Patel,(Democratic),0,2024-11-07_14:19:39.306101
AD   61,99.00%,Jacob Zelmanovitz,(Democratic),0,2024-11-07_14:19:39.306101
AD   61,99.00%,Benjamin J. Lieberman,(Conservative),0,2024-11-07_14:19:39.306101
AD   61,99.00%,Jacob Zelmanovitz,(Conservative),0,2024-11-07_14:19:39.306101
AD   61,99.00%,WRITE-IN,,0,2024-11-07_14:19:39.306101
AD   64,96.97%,Hemalee J. Patel,(Democratic),4763,2024-11-07_14:19:39.306101
AD   64,96.97%,Jacob Zelmanovitz,(Democratic),4008,2024-11-07_14:19:39.306101
AD   64,96.97%,Benjamin J. Lieberman,(Conservative),2697,2024-11-07_14:19:39.306101
AD   64,96.97%,Jacob Zelmanovitz,(Conservative),2128,2024-11-07_14:19:39.306101
AD   64,96.97%,WRITE-IN,,145,2024-11-07_14:19:39.306101
Total,,Hemalee J. Patel,(Democratic),58799,2024-11-07_14:19:39.306101
Total,,Jacob Zelmanovitz,(Democratic),52877,2024-11-07_14:19:39.306101
Total,,Benjamin J. Lieberman,(Conservative),40084,2024-11-07_14:19:39.306101
Total,,Jacob Zelmanovitz,(Conservative),30871,2024-11-07_14:19:39.306101
Total,,WRITE-IN,,1703,2024-11-07_14:19:39.306101
