ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Ralph L. Wolf,(Democratic),701,AD 67,2024-11-13_13:14:40.720444
ED    1,99.00%,WRITE-IN,&nbsp,4,AD 67,2024-11-13_13:14:40.720444
ED    2,99.00%,Ralph L. Wolf,(Democratic),465,AD 67,2024-11-13_13:14:40.720444
ED    2,99.00%,WRITE-IN,&nbsp,5,AD 67,2024-11-13_13:14:40.720444
ED    3,99.00%,Ralph L. Wolf,(Democratic),722,AD 67,2024-11-13_13:14:40.720444
ED    3,99.00%,WRITE-IN,&nbsp,8,AD 67,2024-11-13_13:14:40.720444
ED    4,99.00%,Ralph L. Wolf,(Democratic),748,AD 67,2024-11-13_13:14:40.720444
ED    4,99.00%,WRITE-IN,&nbsp,6,AD 67,2024-11-13_13:14:40.720444
ED    5,99.00%,Ralph L. Wolf,(Democratic),813,AD 67,2024-11-13_13:14:40.720444
ED    5,99.00%,WRITE-IN,&nbsp,7,AD 67,2024-11-13_13:14:40.720444
ED    6,99.00%,Ralph L. Wolf,(Democratic),151,AD 67,2024-11-13_13:14:40.720444
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 67,2024-11-13_13:14:40.720444
ED    7,99.00%,Ralph L. Wolf,(Democratic),852,AD 67,2024-11-13_13:14:40.720444
ED    7,99.00%,WRITE-IN,&nbsp,13,AD 67,2024-11-13_13:14:40.720444
ED    8,99.00%,Ralph L. Wolf,(Democratic),805,AD 67,2024-11-13_13:14:40.720444
ED    8,99.00%,WRITE-IN,&nbsp,6,AD 67,2024-11-13_13:14:40.720444
ED    9,99.00%,Ralph L. Wolf,(Democratic),663,AD 67,2024-11-13_13:14:40.720444
ED    9,99.00%,WRITE-IN,&nbsp,2,AD 67,2024-11-13_13:14:40.720444
ED   10,99.00%,Ralph L. Wolf,(Democratic),738,AD 67,2024-11-13_13:14:40.720444
ED   10,99.00%,WRITE-IN,&nbsp,7,AD 67,2024-11-13_13:14:40.720444
ED   11,99.00%,Ralph L. Wolf,(Democratic),731,AD 67,2024-11-13_13:14:40.720444
ED   11,99.00%,WRITE-IN,&nbsp,9,AD 67,2024-11-13_13:14:40.720444
ED   12,99.00%,Ralph L. Wolf,(Democratic),923,AD 67,2024-11-13_13:14:40.720444
ED   12,99.00%,WRITE-IN,&nbsp,5,AD 67,2024-11-13_13:14:40.720444
ED   13,99.00%,Ralph L. Wolf,(Democratic),778,AD 67,2024-11-13_13:14:40.720444
ED   13,99.00%,WRITE-IN,&nbsp,7,AD 67,2024-11-13_13:14:40.720444
ED   14,99.00%,Ralph L. Wolf,(Democratic),564,AD 67,2024-11-13_13:14:40.720444
ED   14,99.00%,WRITE-IN,&nbsp,6,AD 67,2024-11-13_13:14:40.720444
ED   15,99.00%,Ralph L. Wolf,(Democratic),690,AD 67,2024-11-13_13:14:40.720444
ED   15,99.00%,WRITE-IN,&nbsp,8,AD 67,2024-11-13_13:14:40.720444
ED   16,99.00%,Ralph L. Wolf,(Democratic),1027,AD 67,2024-11-13_13:14:40.720444
ED   16,99.00%,WRITE-IN,&nbsp,12,AD 67,2024-11-13_13:14:40.720444
ED   17,99.00%,Ralph L. Wolf,(Democratic),700,AD 67,2024-11-13_13:14:40.720444
ED   17,99.00%,WRITE-IN,&nbsp,8,AD 67,2024-11-13_13:14:40.720444
ED   18,99.00%,Ralph L. Wolf,(Democratic),815,AD 67,2024-11-13_13:14:40.720444
ED   18,99.00%,WRITE-IN,&nbsp,8,AD 67,2024-11-13_13:14:40.720444
ED   19,99.00%,Ralph L. Wolf,(Democratic),797,AD 67,2024-11-13_13:14:40.720444
ED   19,99.00%,WRITE-IN,&nbsp,6,AD 67,2024-11-13_13:14:40.720444
ED   20,99.00%,Ralph L. Wolf,(Democratic),852,AD 67,2024-11-13_13:14:40.720444
ED   20,99.00%,WRITE-IN,&nbsp,6,AD 67,2024-11-13_13:14:40.720444
ED   21,99.00%,Ralph L. Wolf,(Democratic),672,AD 67,2024-11-13_13:14:40.720444
ED   21,99.00%,WRITE-IN,&nbsp,2,AD 67,2024-11-13_13:14:40.720444
ED   22,85.71%,Ralph L. Wolf,(Democratic),717,AD 67,2024-11-13_13:14:40.720444
ED   22,85.71%,WRITE-IN,&nbsp,12,AD 67,2024-11-13_13:14:40.720444
ED   23,85.71%,Ralph L. Wolf,(Democratic),311,AD 67,2024-11-13_13:14:40.720444
ED   23,85.71%,WRITE-IN,&nbsp,3,AD 67,2024-11-13_13:14:40.720444
ED   24,99.00%,Ralph L. Wolf,(Democratic),803,AD 67,2024-11-13_13:14:40.720444
ED   24,99.00%,WRITE-IN,&nbsp,9,AD 67,2024-11-13_13:14:40.720444
ED   25,99.00%,Ralph L. Wolf,(Democratic),604,AD 67,2024-11-13_13:14:40.720444
ED   25,99.00%,WRITE-IN,&nbsp,4,AD 67,2024-11-13_13:14:40.720444
ED   26,99.00%,Ralph L. Wolf,(Democratic),972,AD 67,2024-11-13_13:14:40.720444
ED   26,99.00%,WRITE-IN,&nbsp,11,AD 67,2024-11-13_13:14:40.720444
ED   27,99.00%,Ralph L. Wolf,(Democratic),505,AD 67,2024-11-13_13:14:40.720444
ED   27,99.00%,WRITE-IN,&nbsp,0,AD 67,2024-11-13_13:14:40.720444
ED   28,99.00%,Ralph L. Wolf,(Democratic),563,AD 67,2024-11-13_13:14:40.720444
ED   28,99.00%,WRITE-IN,&nbsp,6,AD 67,2024-11-13_13:14:40.720444
ED   29,85.71%,Ralph L. Wolf,(Democratic),535,AD 67,2024-11-13_13:14:40.720444
ED   29,85.71%,WRITE-IN,&nbsp,7,AD 67,2024-11-13_13:14:40.720444
ED   30,99.00%,Ralph L. Wolf,(Democratic),917,AD 67,2024-11-13_13:14:40.720444
