ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    4,92.31%,Janice Robinson,(Democratic),663,AD 41,2024-11-07_14:19:42.347565
ED    4,92.31%,Norma J. Jennings,(Democratic),548,AD 41,2024-11-07_14:19:42.347565
ED    4,92.31%,WRITE-IN,&nbsp,4,AD 41,2024-11-07_14:19:42.347565
ED   12,92.31%,Janice Robinson,(Democratic),285,AD 41,2024-11-07_14:19:42.347565
ED   12,92.31%,Norma J. Jennings,(Democratic),257,AD 41,2024-11-07_14:19:42.347565
ED   12,92.31%,WRITE-IN,&nbsp,29,AD 41,2024-11-07_14:19:42.347565
ED   13,92.31%,Janice Robinson,(Democratic),341,AD 41,2024-11-07_14:19:42.347565
ED   13,92.31%,Norma J. Jennings,(Democratic),282,AD 41,2024-11-07_14:19:42.347565
ED   13,92.31%,WRITE-IN,&nbsp,8,AD 41,2024-11-07_14:19:42.347565
ED   14,99.00%,Janice Robinson,(Democratic),289,AD 41,2024-11-07_14:19:42.347565
ED   14,99.00%,Norma J. Jennings,(Democratic),294,AD 41,2024-11-07_14:19:42.347565
ED   14,99.00%,WRITE-IN,&nbsp,19,AD 41,2024-11-07_14:19:42.347565
ED   15,99.00%,Janice Robinson,(Democratic),166,AD 41,2024-11-07_14:19:42.347565
ED   15,99.00%,Norma J. Jennings,(Democratic),141,AD 41,2024-11-07_14:19:42.347565
ED   15,99.00%,WRITE-IN,&nbsp,8,AD 41,2024-11-07_14:19:42.347565
ED   20,99.00%,Janice Robinson,(Democratic),93,AD 41,2024-11-07_14:19:42.347565
ED   20,99.00%,Norma J. Jennings,(Democratic),70,AD 41,2024-11-07_14:19:42.347565
ED   20,99.00%,WRITE-IN,&nbsp,13,AD 41,2024-11-07_14:19:42.347565
ED   21,99.00%,Janice Robinson,(Democratic),128,AD 41,2024-11-07_14:19:42.347565
ED   21,99.00%,Norma J. Jennings,(Democratic),116,AD 41,2024-11-07_14:19:42.347565
ED   21,99.00%,WRITE-IN,&nbsp,9,AD 41,2024-11-07_14:19:42.347565
Total,,Janice Robinson,(Democratic),1965,AD 41,2024-11-07_14:19:42.347565
Total,,Norma J. Jennings,(Democratic),1708,AD 41,2024-11-07_14:19:42.347565
Total,,WRITE-IN,&nbsp,90,AD 41,2024-11-07_14:19:42.347565
ED    1,99.00%,Janice Robinson,(Democratic),33,AD 42,2024-11-07_14:19:42.347565
ED    1,99.00%,Norma J. Jennings,(Democratic),30,AD 42,2024-11-07_14:19:42.347565
ED    1,99.00%,WRITE-IN,&nbsp,1,AD 42,2024-11-07_14:19:42.347565
ED    2,99.00%,Janice Robinson,(Democratic),522,AD 42,2024-11-07_14:19:42.347565
ED    2,99.00%,Norma J. Jennings,(Democratic),467,AD 42,2024-11-07_14:19:42.347565
ED    2,99.00%,WRITE-IN,&nbsp,12,AD 42,2024-11-07_14:19:42.347565
ED    3,99.00%,Janice Robinson,(Democratic),673,AD 42,2024-11-07_14:19:42.347565
ED    3,99.00%,Norma J. Jennings,(Democratic),623,AD 42,2024-11-07_14:19:42.347565
ED    3,99.00%,WRITE-IN,&nbsp,8,AD 42,2024-11-07_14:19:42.347565
ED    4,99.00%,Janice Robinson,(Democratic),608,AD 42,2024-11-07_14:19:42.347565
ED    4,99.00%,Norma J. Jennings,(Democratic),541,AD 42,2024-11-07_14:19:42.347565
ED    4,99.00%,WRITE-IN,&nbsp,11,AD 42,2024-11-07_14:19:42.347565
ED    5,99.00%,Janice Robinson,(Democratic),621,AD 42,2024-11-07_14:19:42.347565
ED    5,99.00%,Norma J. Jennings,(Democratic),569,AD 42,2024-11-07_14:19:42.347565
ED    5,99.00%,WRITE-IN,&nbsp,6,AD 42,2024-11-07_14:19:42.347565
ED    6,99.00%,Janice Robinson,(Democratic),713,AD 42,2024-11-07_14:19:42.347565
ED    6,99.00%,Norma J. Jennings,(Democratic),665,AD 42,2024-11-07_14:19:42.347565
ED    6,99.00%,WRITE-IN,&nbsp,10,AD 42,2024-11-07_14:19:42.347565
ED    7,99.00%,Janice Robinson,(Democratic),764,AD 42,2024-11-07_14:19:42.347565
ED    7,99.00%,Norma J. Jennings,(Democratic),695,AD 42,2024-11-07_14:19:42.347565
ED    7,99.00%,WRITE-IN,&nbsp,4,AD 42,2024-11-07_14:19:42.347565
ED    8,99.00%,Janice Robinson,(Democratic),379,AD 42,2024-11-07_14:19:42.347565
ED    8,99.00%,Norma J. Jennings,(Democratic),324,AD 42,2024-11-07_14:19:42.347565
ED    8,99.00%,WRITE-IN,&nbsp,9,AD 42,2024-11-07_14:19:42.347565
ED    9,99.00%,Janice Robinson,(Democratic),657,AD 42,2024-11-07_14:19:42.347565
ED    9,99.00%,Norma J. Jennings,(Democratic),561,AD 42,2024-11-07_14:19:42.347565
ED    9,99.00%,WRITE-IN,&nbsp,7,AD 42,2024-11-07_14:19:42.347565
ED   10,99.00%,Janice Robinson,(Democratic),747,AD 42,2024-11-07_14:19:42.347565
ED   10,99.00%,Norma J. Jennings,(Democratic),630,AD 42,2024-11-07_14:19:42.347565
ED   10,99.00%,WRITE-IN,&nbsp,4,AD 42,2024-11-07_14:19:42.347565
ED   11,99.00%,Janice Robinson,(Democratic),681,AD 42,2024-11-07_14:19:42.347565
ED   11,99.00%,Norma J. Jennings,(Democratic),620,AD 42,2024-11-07_14:19:42.347565
ED   11,99.00%,WRITE-IN,&nbsp,12,AD 42,2024-11-07_14:19:42.347565
ED   12,99.00%,Janice Robinson,(Democratic),670,AD 42,2024-11-07_14:19:42.347565
