boro,reported,candidate,party,votes,scrape_time
Queens,97.65%,Alan J. Schiff,(Democratic),355315,2024-11-13_13:12:47.142358
Queens,97.65%,Delsia G. Marshall,(Democratic),338979,2024-11-13_13:12:47.142358
Queens,97.65%,Sandra M. Munoz,(Democratic),351417,2024-11-13_13:12:47.142358
Queens,97.65%,Lumarie Maldonado-Cruz,(Democratic),372325,2024-11-13_13:12:47.142358
Queens,97.65%,Claudia Lanzetta,(Democratic),330297,2024-11-13_13:12:47.142358
Queens,97.65%,Andrea S. Ogle,(Democratic),365614,2024-11-13_13:12:47.142358
Queens,97.65%,John C. Katsanos,(Democratic),362387,2024-11-13_13:12:47.142358
Queens,97.65%,Alan J. Schiff,(Republican),181381,2024-11-13_13:12:47.142358
Queens,97.65%,Gary Muraca,(Republican),182577,2024-11-13_13:12:47.142358
Queens,97.65%,Kathy Wu Parrino,(Republican),184576,2024-11-13_13:12:47.142358
Queens,97.65%,Claudia Lanzetta,(Republican),172410,2024-11-13_13:12:47.142358
Queens,97.65%,Alan J. Schiff,(Conservative),15108,2024-11-13_13:12:47.142358
Queens,97.65%,Gary Muraca,(Conservative),16254,2024-11-13_13:12:47.142358
Queens,97.65%,Kathy Wu Parrino,(Conservative),17387,2024-11-13_13:12:47.142358
Queens,97.65%,Claudia Lanzetta,(Conservative),15308,2024-11-13_13:12:47.142358
Queens,97.65%,WRITE-IN,,21122,2024-11-13_13:12:47.142358
Total,,Alan J. Schiff,(Democratic),355315,2024-11-13_13:12:47.142358
Total,,Delsia G. Marshall,(Democratic),338979,2024-11-13_13:12:47.142358
Total,,Sandra M. Munoz,(Democratic),351417,2024-11-13_13:12:47.142358
Total,,Lumarie Maldonado-Cruz,(Democratic),372325,2024-11-13_13:12:47.142358
Total,,Claudia Lanzetta,(Democratic),330297,2024-11-13_13:12:47.142358
Total,,Andrea S. Ogle,(Democratic),365614,2024-11-13_13:12:47.142358
Total,,John C. Katsanos,(Democratic),362387,2024-11-13_13:12:47.142358
Total,,Alan J. Schiff,(Republican),181381,2024-11-13_13:12:47.142358
Total,,Gary Muraca,(Republican),182577,2024-11-13_13:12:47.142358
Total,,Kathy Wu Parrino,(Republican),184576,2024-11-13_13:12:47.142358
Total,,Claudia Lanzetta,(Republican),172410,2024-11-13_13:12:47.142358
Total,,Alan J. Schiff,(Conservative),15108,2024-11-13_13:12:47.142358
Total,,Gary Muraca,(Conservative),16254,2024-11-13_13:12:47.142358
Total,,Kathy Wu Parrino,(Conservative),17387,2024-11-13_13:12:47.142358
Total,,Claudia Lanzetta,(Conservative),15308,2024-11-13_13:12:47.142358
Total,,WRITE-IN,,21122,2024-11-13_13:12:47.142358
