ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Matthew Parker-Raso,(Democratic),391,AD 77,2024-11-13_13:12:50.584362
ED    1,99.00%,WRITE-IN,&nbsp,4,AD 77,2024-11-13_13:12:50.584362
ED    2,99.00%,Matthew Parker-Raso,(Democratic),492,AD 77,2024-11-13_13:12:50.584362
ED    2,99.00%,WRITE-IN,&nbsp,2,AD 77,2024-11-13_13:12:50.584362
ED    3,99.00%,Matthew Parker-Raso,(Democratic),469,AD 77,2024-11-13_13:12:50.584362
ED    3,99.00%,WRITE-IN,&nbsp,3,AD 77,2024-11-13_13:12:50.584362
ED    4,83.33%,Matthew Parker-Raso,(Democratic),90,AD 77,2024-11-13_13:12:50.584362
ED    4,83.33%,WRITE-IN,&nbsp,1,AD 77,2024-11-13_13:12:50.584362
ED    5,99.00%,Matthew Parker-Raso,(Democratic),441,AD 77,2024-11-13_13:12:50.584362
ED    5,99.00%,WRITE-IN,&nbsp,2,AD 77,2024-11-13_13:12:50.584362
ED    6,99.00%,Matthew Parker-Raso,(Democratic),412,AD 77,2024-11-13_13:12:50.584362
ED    6,99.00%,WRITE-IN,&nbsp,2,AD 77,2024-11-13_13:12:50.584362
ED    7,99.00%,Matthew Parker-Raso,(Democratic),496,AD 77,2024-11-13_13:12:50.584362
ED    7,99.00%,WRITE-IN,&nbsp,2,AD 77,2024-11-13_13:12:50.584362
ED    8,99.00%,Matthew Parker-Raso,(Democratic),375,AD 77,2024-11-13_13:12:50.584362
ED    8,99.00%,WRITE-IN,&nbsp,5,AD 77,2024-11-13_13:12:50.584362
ED    9,99.00%,Matthew Parker-Raso,(Democratic),476,AD 77,2024-11-13_13:12:50.584362
ED    9,99.00%,WRITE-IN,&nbsp,3,AD 77,2024-11-13_13:12:50.584362
ED   10,99.00%,Matthew Parker-Raso,(Democratic),458,AD 77,2024-11-13_13:12:50.584362
ED   10,99.00%,WRITE-IN,&nbsp,1,AD 77,2024-11-13_13:12:50.584362
ED   11,99.00%,Matthew Parker-Raso,(Democratic),452,AD 77,2024-11-13_13:12:50.584362
ED   11,99.00%,WRITE-IN,&nbsp,3,AD 77,2024-11-13_13:12:50.584362
ED   12,99.00%,Matthew Parker-Raso,(Democratic),450,AD 77,2024-11-13_13:12:50.584362
ED   12,99.00%,WRITE-IN,&nbsp,5,AD 77,2024-11-13_13:12:50.584362
ED   13,99.00%,Matthew Parker-Raso,(Democratic),506,AD 77,2024-11-13_13:12:50.584362
ED   13,99.00%,WRITE-IN,&nbsp,2,AD 77,2024-11-13_13:12:50.584362
ED   14,99.00%,Matthew Parker-Raso,(Democratic),440,AD 77,2024-11-13_13:12:50.584362
ED   14,99.00%,WRITE-IN,&nbsp,0,AD 77,2024-11-13_13:12:50.584362
