AD_num,reported,candidate,party,votes,scrape_time
AD   37,99.00%,Cynthia Sharon Kern,(Democratic),0,2024-11-07_14:06:19.143648
AD   37,99.00%,Gerald Lebovits,(Democratic),0,2024-11-07_14:06:19.143648
AD   37,99.00%,WRITE-IN,,0,2024-11-07_14:06:19.143648
AD   61,99.00%,Cynthia Sharon Kern,(Democratic),5954,2024-11-07_14:06:19.143648
AD   61,99.00%,Gerald Lebovits,(Democratic),5080,2024-11-07_14:06:19.143648
AD   61,99.00%,WRITE-IN,,177,2024-11-07_14:06:19.143648
AD   65,97.17%,Cynthia Sharon Kern,(Democratic),27610,2024-11-07_14:06:19.143648
AD   65,97.17%,Gerald Lebovits,(Democratic),20929,2024-11-07_14:06:19.143648
AD   65,97.17%,WRITE-IN,,524,2024-11-07_14:06:19.143648
AD   66,99.00%,Cynthia Sharon Kern,(Democratic),42076,2024-11-07_14:06:19.143648
AD   66,99.00%,Gerald Lebovits,(Democratic),36666,2024-11-07_14:06:19.143648
AD   66,99.00%,WRITE-IN,,690,2024-11-07_14:06:19.143648
AD   67,98.10%,Cynthia Sharon Kern,(Democratic),45640,2024-11-07_14:06:19.143648
AD   67,98.10%,Gerald Lebovits,(Democratic),39892,2024-11-07_14:06:19.143648
AD   67,98.10%,WRITE-IN,,819,2024-11-07_14:06:19.143648
AD   68,96.04%,Cynthia Sharon Kern,(Democratic),27121,2024-11-07_14:06:19.143648
AD   68,96.04%,Gerald Lebovits,(Democratic),18753,2024-11-07_14:06:19.143648
AD   68,96.04%,WRITE-IN,,371,2024-11-07_14:06:19.143648
AD   69,94.51%,Cynthia Sharon Kern,(Democratic),43874,2024-11-07_14:06:19.143648
AD   69,94.51%,Gerald Lebovits,(Democratic),37126,2024-11-07_14:06:19.143648
AD   69,94.51%,WRITE-IN,,602,2024-11-07_14:06:19.143648
AD   70,98.08%,Cynthia Sharon Kern,(Democratic),37283,2024-11-07_14:06:19.143648
AD   70,98.08%,Gerald Lebovits,(Democratic),26637,2024-11-07_14:06:19.143648
AD   70,98.08%,WRITE-IN,,393,2024-11-07_14:06:19.143648
AD   71,98.23%,Cynthia Sharon Kern,(Democratic),32960,2024-11-07_14:06:19.143648
AD   71,98.23%,Gerald Lebovits,(Democratic),24562,2024-11-07_14:06:19.143648
AD   71,98.23%,WRITE-IN,,373,2024-11-07_14:06:19.143648
AD   72,94.57%,Cynthia Sharon Kern,(Democratic),24018,2024-11-07_14:06:19.143648
AD   72,94.57%,Gerald Lebovits,(Democratic),16887,2024-11-07_14:06:19.143648
AD   72,94.57%,WRITE-IN,,360,2024-11-07_14:06:19.143648
AD   73,97.20%,Cynthia Sharon Kern,(Democratic),40518,2024-11-07_14:06:19.143648
AD   73,97.20%,Gerald Lebovits,(Democratic),35831,2024-11-07_14:06:19.143648
AD   73,97.20%,WRITE-IN,,981,2024-11-07_14:06:19.143648
AD   74,99.00%,Cynthia Sharon Kern,(Democratic),37527,2024-11-07_14:06:19.143648
AD   74,99.00%,Gerald Lebovits,(Democratic),30827,2024-11-07_14:06:19.143648
AD   74,99.00%,WRITE-IN,,706,2024-11-07_14:06:19.143648
AD   75,97.17%,Cynthia Sharon Kern,(Democratic),37489,2024-11-07_14:06:19.143648
AD   75,97.17%,Gerald Lebovits,(Democratic),31670,2024-11-07_14:06:19.143648
AD   75,97.17%,WRITE-IN,,746,2024-11-07_14:06:19.143648
AD   76,94.83%,Cynthia Sharon Kern,(Democratic),43503,2024-11-07_14:06:19.143648
AD   76,94.83%,Gerald Lebovits,(Democratic),38086,2024-11-07_14:06:19.143648
AD   76,94.83%,WRITE-IN,,968,2024-11-07_14:06:19.143648
Total,,Cynthia Sharon Kern,(Democratic),445573,2024-11-07_14:06:19.143648
Total,,Gerald Lebovits,(Democratic),362946,2024-11-07_14:06:19.143648
Total,,WRITE-IN,,7710,2024-11-07_14:06:19.143648
