ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   71,99.00%,Cynthia Sharon Kern,(Democratic),0,AD 37,2024-11-13_13:12:36.01478
ED   71,99.00%,Gerald Lebovits,(Democratic),0,AD 37,2024-11-13_13:12:36.01478
ED   71,99.00%,WRITE-IN,&nbsp,0,AD 37,2024-11-13_13:12:36.01478
Total,,Cynthia Sharon Kern,(Democratic),-,AD 37,2024-11-13_13:12:36.01478
Total,,Gerald Lebovits,(Democratic),-,AD 37,2024-11-13_13:12:36.01478
Total,,WRITE-IN,&nbsp,-,AD 37,2024-11-13_13:12:36.01478
ED   60,99.00%,Cynthia Sharon Kern,(Democratic),547,AD 61,2024-11-13_13:12:36.01478
ED   60,99.00%,Gerald Lebovits,(Democratic),461,AD 61,2024-11-13_13:12:36.01478
ED   60,99.00%,WRITE-IN,&nbsp,22,AD 61,2024-11-13_13:12:36.01478
ED   61,99.00%,Cynthia Sharon Kern,(Democratic),703,AD 61,2024-11-13_13:12:36.01478
ED   61,99.00%,Gerald Lebovits,(Democratic),596,AD 61,2024-11-13_13:12:36.01478
ED   61,99.00%,WRITE-IN,&nbsp,30,AD 61,2024-11-13_13:12:36.01478
ED   62,99.00%,Cynthia Sharon Kern,(Democratic),626,AD 61,2024-11-13_13:12:36.01478
ED   62,99.00%,Gerald Lebovits,(Democratic),549,AD 61,2024-11-13_13:12:36.01478
ED   62,99.00%,WRITE-IN,&nbsp,12,AD 61,2024-11-13_13:12:36.01478
ED   63,99.00%,Cynthia Sharon Kern,(Democratic),800,AD 61,2024-11-13_13:12:36.01478
ED   63,99.00%,Gerald Lebovits,(Democratic),689,AD 61,2024-11-13_13:12:36.01478
ED   63,99.00%,WRITE-IN,&nbsp,32,AD 61,2024-11-13_13:12:36.01478
ED   64,99.00%,Cynthia Sharon Kern,(Democratic),464,AD 61,2024-11-13_13:12:36.01478
ED   64,99.00%,Gerald Lebovits,(Democratic),382,AD 61,2024-11-13_13:12:36.01478
ED   64,99.00%,WRITE-IN,&nbsp,17,AD 61,2024-11-13_13:12:36.01478
