boro,reported,candidate,party,votes,scrape_time
Kings,97.95%,Adam D. Perlmutter,(Democratic),473557,2024-11-07_14:16:24.649121
Kings,97.95%,Inga M. Oneale,(Democratic),421500,2024-11-07_14:16:24.649121
Kings,97.95%,Lisa Lewis,(Democratic),471964,2024-11-07_14:16:24.649121
Kings,97.95%,Sharen D. Hudson,(Democratic),433692,2024-11-07_14:16:24.649121
Kings,97.95%,Keisha Alleyne,(Democratic),445910,2024-11-07_14:16:24.649121
Kings,97.95%,Christopher J. Robles,(Democratic),419090,2024-11-07_14:16:24.649121
Kings,97.95%,Jeffrey S. Sunshine,(Democratic),413984,2024-11-07_14:16:24.649121
Kings,97.95%,Inga M. Oneale,(Conservative),64952,2024-11-07_14:16:24.649121
Kings,97.95%,Sharen D. Hudson,(Conservative),63038,2024-11-07_14:16:24.649121
Kings,97.95%,Keisha Alleyne,(Conservative),57549,2024-11-07_14:16:24.649121
Kings,97.95%,Christopher J. Robles,(Conservative),61879,2024-11-07_14:16:24.649121
Kings,97.95%,Jeffrey S. Sunshine,(Conservative),58786,2024-11-07_14:16:24.649121
Kings,97.95%,WRITE-IN,,24415,2024-11-07_14:16:24.649121
Total,,Adam D. Perlmutter,(Democratic),473557,2024-11-07_14:16:24.649121
Total,,Inga M. Oneale,(Democratic),421500,2024-11-07_14:16:24.649121
Total,,Lisa Lewis,(Democratic),471964,2024-11-07_14:16:24.649121
Total,,Sharen D. Hudson,(Democratic),433692,2024-11-07_14:16:24.649121
Total,,Keisha Alleyne,(Democratic),445910,2024-11-07_14:16:24.649121
Total,,Christopher J. Robles,(Democratic),419090,2024-11-07_14:16:24.649121
Total,,Jeffrey S. Sunshine,(Democratic),413984,2024-11-07_14:16:24.649121
Total,,Inga M. Oneale,(Conservative),64952,2024-11-07_14:16:24.649121
Total,,Sharen D. Hudson,(Conservative),63038,2024-11-07_14:16:24.649121
Total,,Keisha Alleyne,(Conservative),57549,2024-11-07_14:16:24.649121
Total,,Christopher J. Robles,(Conservative),61879,2024-11-07_14:16:24.649121
Total,,Jeffrey S. Sunshine,(Conservative),58786,2024-11-07_14:16:24.649121
Total,,WRITE-IN,,24415,2024-11-07_14:16:24.649121
