ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Adam D. Perlmutter,(Democratic),603,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Inga M. Oneale,(Democratic),555,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Lisa Lewis,(Democratic),616,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Sharen D. Hudson,(Democratic),601,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Keisha Alleyne,(Democratic),621,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Christopher J. Robles,(Democratic),547,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Jeffrey S. Sunshine,(Democratic),549,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Inga M. Oneale,(Conservative),24,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Sharen D. Hudson,(Conservative),22,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Keisha Alleyne,(Conservative),19,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Christopher J. Robles,(Conservative),19,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,Jeffrey S. Sunshine,(Conservative),20,AD 41,2024-11-13_13:12:38.235797
ED    1,99.00%,WRITE-IN,&nbsp,7,AD 41,2024-11-13_13:12:38.235797
ED    2,99.00%,Adam D. Perlmutter,(Democratic),564,AD 41,2024-11-13_13:12:38.235797
ED    2,99.00%,Inga M. Oneale,(Democratic),516,AD 41,2024-11-13_13:12:38.235797
ED    2,99.00%,Lisa Lewis,(Democratic),556,AD 41,2024-11-13_13:12:38.235797
ED    2,99.00%,Sharen D. Hudson,(Democratic),547,AD 41,2024-11-13_13:12:38.235797
ED    2,99.00%,Keisha Alleyne,(Democratic),548,AD 41,2024-11-13_13:12:38.235797
ED    2,99.00%,Christopher J. Robles,(Democratic),502,AD 41,2024-11-13_13:12:38.235797
ED    2,99.00%,Jeffrey S. Sunshine,(Democratic),500,AD 41,2024-11-13_13:12:38.235797
ED    2,99.00%,Inga M. Oneale,(Conservative),21,AD 41,2024-11-13_13:12:38.235797
ED    2,99.00%,Sharen D. Hudson,(Conservative),17,AD 41,2024-11-13_13:12:38.235797
