boro,reported,candidate,party,votes,scrape_time
New York,95.48%,Zohran Kwame Mamdani,(Democratic),114320,2025-07-02_13:52:44.218735
New York,95.48%,Scott M. Stringer,(Democratic),6969,2025-07-02_13:52:44.218735
New York,95.48%,Selma K. Bartholomew,(Democratic),331,2025-07-02_13:52:44.218735
New York,95.48%,Zellnor Myrie,(Democratic),2943,2025-07-02_13:52:44.218735
New York,95.48%,Adrienne E. Adams,(Democratic),10925,2025-07-02_13:52:44.218735
New York,95.48%,Andrew M. Cuomo,(Democratic),99275,2025-07-02_13:52:44.218735
New York,95.48%,Jessica Ramos,(Democratic),944,2025-07-02_13:52:44.218735
New York,95.48%,Whitney R. Tilson,(Democratic),4077,2025-07-02_13:52:44.218735
New York,95.48%,Michael Blake,(Democratic),917,2025-07-02_13:52:44.218735
New York,95.48%,Brad Lander,(Democratic),51041,2025-07-02_13:52:44.218735
New York,95.48%,Paperboy Love Prince,(Democratic),340,2025-07-02_13:52:44.218735
New York,95.48%,WRITE-IN,,279,2025-07-02_13:52:44.218735
Bronx,96.10%,Zohran Kwame Mamdani,(Democratic),35826,2025-07-02_13:52:44.218735
Bronx,96.10%,Scott M. Stringer,(Democratic),1507,2025-07-02_13:52:44.218735
Bronx,96.10%,Selma K. Bartholomew,(Democratic),276,2025-07-02_13:52:44.218735
Bronx,96.10%,Zellnor Myrie,(Democratic),624,2025-07-02_13:52:44.218735
Bronx,96.10%,Adrienne E. Adams,(Democratic),5338,2025-07-02_13:52:44.218735
Bronx,96.10%,Andrew M. Cuomo,(Democratic),54954,2025-07-02_13:52:44.218735
Bronx,96.10%,Jessica Ramos,(Democratic),687,2025-07-02_13:52:44.218735
Bronx,96.10%,Whitney R. Tilson,(Democratic),356,2025-07-02_13:52:44.218735
Bronx,96.10%,Michael Blake,(Democratic),1052,2025-07-02_13:52:44.218735
Bronx,96.10%,Brad Lander,(Democratic),3667,2025-07-02_13:52:44.218735
Bronx,96.10%,Paperboy Love Prince,(Democratic),131,2025-07-02_13:52:44.218735
Bronx,96.10%,WRITE-IN,,183,2025-07-02_13:52:44.218735
Kings,97.38%,Zohran Kwame Mamdani,(Democratic),174577,2025-07-02_13:52:44.218735
Kings,97.38%,Scott M. Stringer,(Democratic),4012,2025-07-02_13:52:44.218735
Kings,97.38%,Selma K. Bartholomew,(Democratic),393,2025-07-02_13:52:44.218735
Kings,97.38%,Zellnor Myrie,(Democratic),5079,2025-07-02_13:52:44.218735
Kings,97.38%,Adrienne E. Adams,(Democratic),12933,2025-07-02_13:52:44.218735
Kings,97.38%,Andrew M. Cuomo,(Democratic),113138,2025-07-02_13:52:44.218735
Kings,97.38%,Jessica Ramos,(Democratic),904,2025-07-02_13:52:44.218735
Kings,97.38%,Whitney R. Tilson,(Democratic),2037,2025-07-02_13:52:44.218735
Kings,97.38%,Michael Blake,(Democratic),1208,2025-07-02_13:52:44.218735
Kings,97.38%,Brad Lander,(Democratic),42738,2025-07-02_13:52:44.218735
Kings,97.38%,Paperboy Love Prince,(Democratic),455,2025-07-02_13:52:44.218735
Kings,97.38%,WRITE-IN,,537,2025-07-02_13:52:44.218735
Queens,94.41%,Zohran Kwame Mamdani,(Democratic),97128,2025-07-02_13:52:44.218735
Queens,94.41%,Scott M. Stringer,(Democratic),3150,2025-07-02_13:52:44.218735
Queens,94.41%,Selma K. Bartholomew,(Democratic),268,2025-07-02_13:52:44.218735
Queens,94.41%,Zellnor Myrie,(Democratic),1089,2025-07-02_13:52:44.218735
Queens,94.41%,Adrienne E. Adams,(Democratic),10532,2025-07-02_13:52:44.218735
Queens,94.41%,Andrew M. Cuomo,(Democratic),81503,2025-07-02_13:52:44.218735
Queens,94.41%,Jessica Ramos,(Democratic),1181,2025-07-02_13:52:44.218735
Queens,94.41%,Whitney R. Tilson,(Democratic),1156,2025-07-02_13:52:44.218735
Queens,94.41%,Michael Blake,(Democratic),696,2025-07-02_13:52:44.218735
