boro,reported,candidate,party,votes,scrape_time
Queens,96.80%,David I. Weprin,(Democratic),21936,2024-11-13_13:14:11.249054
Queens,96.80%,Ruben D. Cruz II,(Republican),11663,2024-11-13_13:14:11.249054
Queens,96.80%,Ruben D. Cruz II,(Conservative),843,2024-11-13_13:14:11.249054
Queens,96.80%,Ruben D. Cruz II,(Common Sense),176,2024-11-13_13:14:11.249054
Queens,96.80%,Misbaah U. Mahmood,(People First),1238,2024-11-13_13:14:11.249054
Queens,96.80%,WRITE-IN,,127,2024-11-13_13:14:11.249054
Total,,David I. Weprin,(Democratic),21936,2024-11-13_13:14:11.249054
Total,,Ruben D. Cruz II,(Republican),11663,2024-11-13_13:14:11.249054
Total,,Ruben D. Cruz II,(Conservative),843,2024-11-13_13:14:11.249054
Total,,Ruben D. Cruz II,(Common Sense),176,2024-11-13_13:14:11.249054
Total,,Misbaah U. Mahmood,(People First),1238,2024-11-13_13:14:11.249054
Total,,WRITE-IN,,127,2024-11-13_13:14:11.249054
