ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Jenifer Rajkumar,(Democratic),521,AD 38,2024-11-07_14:18:29.197064
ED    1,99.00%,WRITE-IN,&nbsp,9,AD 38,2024-11-07_14:18:29.197064
ED    2,99.00%,Jenifer Rajkumar,(Democratic),598,AD 38,2024-11-07_14:18:29.197064
ED    2,99.00%,WRITE-IN,&nbsp,14,AD 38,2024-11-07_14:18:29.197064
ED    3,99.00%,Jenifer Rajkumar,(Democratic),585,AD 38,2024-11-07_14:18:29.197064
ED    3,99.00%,WRITE-IN,&nbsp,9,AD 38,2024-11-07_14:18:29.197064
ED    4,99.00%,Jenifer Rajkumar,(Democratic),574,AD 38,2024-11-07_14:18:29.197064
ED    4,99.00%,WRITE-IN,&nbsp,10,AD 38,2024-11-07_14:18:29.197064
ED    5,99.00%,Jenifer Rajkumar,(Democratic),179,AD 38,2024-11-07_14:18:29.197064
ED    5,99.00%,WRITE-IN,&nbsp,4,AD 38,2024-11-07_14:18:29.197064
ED    6,99.00%,Jenifer Rajkumar,(Democratic),562,AD 38,2024-11-07_14:18:29.197064
ED    6,99.00%,WRITE-IN,&nbsp,11,AD 38,2024-11-07_14:18:29.197064
ED    7,99.00%,Jenifer Rajkumar,(Democratic),690,AD 38,2024-11-07_14:18:29.197064
ED    7,99.00%,WRITE-IN,&nbsp,15,AD 38,2024-11-07_14:18:29.197064
ED    8,99.00%,Jenifer Rajkumar,(Democratic),1,AD 38,2024-11-07_14:18:29.197064
ED    8,99.00%,WRITE-IN,&nbsp,0,AD 38,2024-11-07_14:18:29.197064
ED    9,99.00%,Jenifer Rajkumar,(Democratic),541,AD 38,2024-11-07_14:18:29.197064
ED    9,99.00%,WRITE-IN,&nbsp,19,AD 38,2024-11-07_14:18:29.197064
ED   10,99.00%,Jenifer Rajkumar,(Democratic),507,AD 38,2024-11-07_14:18:29.197064
ED   10,99.00%,WRITE-IN,&nbsp,13,AD 38,2024-11-07_14:18:29.197064
ED   11,99.00%,Jenifer Rajkumar,(Democratic),430,AD 38,2024-11-07_14:18:29.197064
ED   11,99.00%,WRITE-IN,&nbsp,12,AD 38,2024-11-07_14:18:29.197064
ED   12,99.00%,Jenifer Rajkumar,(Democratic),469,AD 38,2024-11-07_14:18:29.197064
ED   12,99.00%,WRITE-IN,&nbsp,14,AD 38,2024-11-07_14:18:29.197064
ED   13,99.00%,Jenifer Rajkumar,(Democratic),142,AD 38,2024-11-07_14:18:29.197064
ED   13,99.00%,WRITE-IN,&nbsp,2,AD 38,2024-11-07_14:18:29.197064
ED   14,99.00%,Jenifer Rajkumar,(Democratic),578,AD 38,2024-11-07_14:18:29.197064
ED   14,99.00%,WRITE-IN,&nbsp,21,AD 38,2024-11-07_14:18:29.197064
ED   15,99.00%,Jenifer Rajkumar,(Democratic),554,AD 38,2024-11-07_14:18:29.197064
ED   15,99.00%,WRITE-IN,&nbsp,13,AD 38,2024-11-07_14:18:29.197064
ED   16,99.00%,Jenifer Rajkumar,(Democratic),59,AD 38,2024-11-07_14:18:29.197064
ED   16,99.00%,WRITE-IN,&nbsp,1,AD 38,2024-11-07_14:18:29.197064
ED   17,99.00%,Jenifer Rajkumar,(Democratic),541,AD 38,2024-11-07_14:18:29.197064
ED   17,99.00%,WRITE-IN,&nbsp,16,AD 38,2024-11-07_14:18:29.197064
ED   18,99.00%,Jenifer Rajkumar,(Democratic),299,AD 38,2024-11-07_14:18:29.197064
ED   18,99.00%,WRITE-IN,&nbsp,8,AD 38,2024-11-07_14:18:29.197064
ED   19,99.00%,Jenifer Rajkumar,(Democratic),469,AD 38,2024-11-07_14:18:29.197064
ED   19,99.00%,WRITE-IN,&nbsp,6,AD 38,2024-11-07_14:18:29.197064
ED   20,99.00%,Jenifer Rajkumar,(Democratic),585,AD 38,2024-11-07_14:18:29.197064
ED   20,99.00%,WRITE-IN,&nbsp,14,AD 38,2024-11-07_14:18:29.197064
ED   21,99.00%,Jenifer Rajkumar,(Democratic),448,AD 38,2024-11-07_14:18:29.197064
ED   21,99.00%,WRITE-IN,&nbsp,12,AD 38,2024-11-07_14:18:29.197064
ED   22,80.00%,Jenifer Rajkumar,(Democratic),178,AD 38,2024-11-07_14:18:29.197064
ED   22,80.00%,WRITE-IN,&nbsp,5,AD 38,2024-11-07_14:18:29.197064
ED   23,80.00%,Jenifer Rajkumar,(Democratic),391,AD 38,2024-11-07_14:18:29.197064
ED   23,80.00%,WRITE-IN,&nbsp,4,AD 38,2024-11-07_14:18:29.197064
ED   24,99.00%,Jenifer Rajkumar,(Democratic),442,AD 38,2024-11-07_14:18:29.197064
ED   24,99.00%,WRITE-IN,&nbsp,13,AD 38,2024-11-07_14:18:29.197064
ED   25,99.00%,Jenifer Rajkumar,(Democratic),252,AD 38,2024-11-07_14:18:29.197064
ED   25,99.00%,WRITE-IN,&nbsp,1,AD 38,2024-11-07_14:18:29.197064
ED   26,99.00%,Jenifer Rajkumar,(Democratic),473,AD 38,2024-11-07_14:18:29.197064
ED   26,99.00%,WRITE-IN,&nbsp,2,AD 38,2024-11-07_14:18:29.197064
