AD_num,reported,candidate,party,votes,scrape_time
AD   44,96.67%,Robert C. Carroll,(Democratic),33856,2024-11-07_14:08:38.037759
AD   44,96.67%,John L. Bennett,(Republican),6384,2024-11-07_14:08:38.037759
AD   44,96.67%,John L. Bennett,(Conservative),1062,2024-11-07_14:08:38.037759
AD   44,96.67%,Robert C. Carroll,(Working Families),8890,2024-11-07_14:08:38.037759
AD   44,96.67%,WRITE-IN,,264,2024-11-07_14:08:38.037759
Total,,Robert C. Carroll,(Democratic),33856,2024-11-07_14:08:38.037759
Total,,John L. Bennett,(Republican),6384,2024-11-07_14:08:38.037759
Total,,John L. Bennett,(Conservative),1062,2024-11-07_14:08:38.037759
Total,,Robert C. Carroll,(Working Families),8890,2024-11-07_14:08:38.037759
Total,,WRITE-IN,,264,2024-11-07_14:08:38.037759
