ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Maritza Davila,(Democratic),543,AD 53,2024-11-13_13:14:25.075382
ED    1,99.00%,WRITE-IN,&nbsp,8,AD 53,2024-11-13_13:14:25.075382
ED    2,99.00%,Maritza Davila,(Democratic),531,AD 53,2024-11-13_13:14:25.075382
ED    2,99.00%,WRITE-IN,&nbsp,5,AD 53,2024-11-13_13:14:25.075382
ED    3,99.00%,Maritza Davila,(Democratic),497,AD 53,2024-11-13_13:14:25.075382
ED    3,99.00%,WRITE-IN,&nbsp,3,AD 53,2024-11-13_13:14:25.075382
ED    4,99.00%,Maritza Davila,(Democratic),275,AD 53,2024-11-13_13:14:25.075382
ED    4,99.00%,WRITE-IN,&nbsp,3,AD 53,2024-11-13_13:14:25.075382
ED    5,99.00%,Maritza Davila,(Democratic),405,AD 53,2024-11-13_13:14:25.075382
ED    5,99.00%,WRITE-IN,&nbsp,2,AD 53,2024-11-13_13:14:25.075382
ED    6,99.00%,Maritza Davila,(Democratic),397,AD 53,2024-11-13_13:14:25.075382
ED    6,99.00%,WRITE-IN,&nbsp,5,AD 53,2024-11-13_13:14:25.075382
ED    7,99.00%,Maritza Davila,(Democratic),324,AD 53,2024-11-13_13:14:25.075382
ED    7,99.00%,WRITE-IN,&nbsp,2,AD 53,2024-11-13_13:14:25.075382
ED    8,99.00%,Maritza Davila,(Democratic),534,AD 53,2024-11-13_13:14:25.075382
ED    8,99.00%,WRITE-IN,&nbsp,3,AD 53,2024-11-13_13:14:25.075382
ED    9,99.00%,Maritza Davila,(Democratic),436,AD 53,2024-11-13_13:14:25.075382
ED    9,99.00%,WRITE-IN,&nbsp,7,AD 53,2024-11-13_13:14:25.075382
ED   10,99.00%,Maritza Davila,(Democratic),545,AD 53,2024-11-13_13:14:25.075382
ED   10,99.00%,WRITE-IN,&nbsp,2,AD 53,2024-11-13_13:14:25.075382
ED   11,99.00%,Maritza Davila,(Democratic),447,AD 53,2024-11-13_13:14:25.075382
ED   11,99.00%,WRITE-IN,&nbsp,0,AD 53,2024-11-13_13:14:25.075382
ED   12,99.00%,Maritza Davila,(Democratic),487,AD 53,2024-11-13_13:14:25.075382
ED   12,99.00%,WRITE-IN,&nbsp,4,AD 53,2024-11-13_13:14:25.075382
ED   13,83.33%,Maritza Davila,(Democratic),421,AD 53,2024-11-13_13:14:25.075382
ED   13,83.33%,WRITE-IN,&nbsp,2,AD 53,2024-11-13_13:14:25.075382
ED   14,99.00%,Maritza Davila,(Democratic),518,AD 53,2024-11-13_13:14:25.075382
ED   14,99.00%,WRITE-IN,&nbsp,8,AD 53,2024-11-13_13:14:25.075382
ED   15,99.00%,Maritza Davila,(Democratic),486,AD 53,2024-11-13_13:14:25.075382
ED   15,99.00%,WRITE-IN,&nbsp,3,AD 53,2024-11-13_13:14:25.075382
ED   16,83.33%,Maritza Davila,(Democratic),350,AD 53,2024-11-13_13:14:25.075382
ED   16,83.33%,WRITE-IN,&nbsp,6,AD 53,2024-11-13_13:14:25.075382
ED   17,99.00%,Maritza Davila,(Democratic),612,AD 53,2024-11-13_13:14:25.075382
ED   17,99.00%,WRITE-IN,&nbsp,3,AD 53,2024-11-13_13:14:25.075382
ED   18,99.00%,Maritza Davila,(Democratic),585,AD 53,2024-11-13_13:14:25.075382
ED   18,99.00%,WRITE-IN,&nbsp,4,AD 53,2024-11-13_13:14:25.075382
ED   19,99.00%,Maritza Davila,(Democratic),573,AD 53,2024-11-13_13:14:25.075382
ED   19,99.00%,WRITE-IN,&nbsp,3,AD 53,2024-11-13_13:14:25.075382
ED   20,99.00%,Maritza Davila,(Democratic),693,AD 53,2024-11-13_13:14:25.075382
ED   20,99.00%,WRITE-IN,&nbsp,4,AD 53,2024-11-13_13:14:25.075382
ED   21,99.00%,Maritza Davila,(Democratic),633,AD 53,2024-11-13_13:14:25.075382
ED   21,99.00%,WRITE-IN,&nbsp,4,AD 53,2024-11-13_13:14:25.075382
ED   22,99.00%,Maritza Davila,(Democratic),684,AD 53,2024-11-13_13:14:25.075382
ED   22,99.00%,WRITE-IN,&nbsp,7,AD 53,2024-11-13_13:14:25.075382
ED   23,99.00%,Maritza Davila,(Democratic),498,AD 53,2024-11-13_13:14:25.075382
ED   23,99.00%,WRITE-IN,&nbsp,4,AD 53,2024-11-13_13:14:25.075382
ED   24,99.00%,Maritza Davila,(Democratic),538,AD 53,2024-11-13_13:14:25.075382
ED   24,99.00%,WRITE-IN,&nbsp,2,AD 53,2024-11-13_13:14:25.075382
ED   25,99.00%,Maritza Davila,(Democratic),533,AD 53,2024-11-13_13:14:25.075382
ED   25,99.00%,WRITE-IN,&nbsp,3,AD 53,2024-11-13_13:14:25.075382
ED   26,99.00%,Maritza Davila,(Democratic),549,AD 53,2024-11-13_13:14:25.075382
ED   26,99.00%,WRITE-IN,&nbsp,2,AD 53,2024-11-13_13:14:25.075382
ED   27,99.00%,Maritza Davila,(Democratic),574,AD 53,2024-11-13_13:14:25.075382
ED   27,99.00%,WRITE-IN,&nbsp,4,AD 53,2024-11-13_13:14:25.075382
ED   28,99.00%,Maritza Davila,(Democratic),546,AD 53,2024-11-13_13:14:25.075382
ED   28,99.00%,WRITE-IN,&nbsp,3,AD 53,2024-11-13_13:14:25.075382
