ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Al Taylor,(Democratic),737,AD 71,2024-11-07_14:19:02.731679
ED    1,99.00%,Joziel Andujar,(Republican),109,AD 71,2024-11-07_14:19:02.731679
ED    1,99.00%,WRITE-IN,&nbsp,9,AD 71,2024-11-07_14:19:02.731679
ED    2,99.00%,Al Taylor,(Democratic),618,AD 71,2024-11-07_14:19:02.731679
ED    2,99.00%,Joziel Andujar,(Republican),124,AD 71,2024-11-07_14:19:02.731679
ED    2,99.00%,WRITE-IN,&nbsp,5,AD 71,2024-11-07_14:19:02.731679
ED    3,90.00%,Al Taylor,(Democratic),835,AD 71,2024-11-07_14:19:02.731679
ED    3,90.00%,Joziel Andujar,(Republican),116,AD 71,2024-11-07_14:19:02.731679
ED    3,90.00%,WRITE-IN,&nbsp,7,AD 71,2024-11-07_14:19:02.731679
ED    4,90.00%,Al Taylor,(Democratic),953,AD 71,2024-11-07_14:19:02.731679
ED    4,90.00%,Joziel Andujar,(Republican),96,AD 71,2024-11-07_14:19:02.731679
ED    4,90.00%,WRITE-IN,&nbsp,3,AD 71,2024-11-07_14:19:02.731679
ED    5,90.00%,Al Taylor,(Democratic),829,AD 71,2024-11-07_14:19:02.731679
ED    5,90.00%,Joziel Andujar,(Republican),72,AD 71,2024-11-07_14:19:02.731679
ED    5,90.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED    6,90.00%,Al Taylor,(Democratic),750,AD 71,2024-11-07_14:19:02.731679
ED    6,90.00%,Joziel Andujar,(Republican),92,AD 71,2024-11-07_14:19:02.731679
ED    6,90.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED    7,90.00%,Al Taylor,(Democratic),673,AD 71,2024-11-07_14:19:02.731679
ED    7,90.00%,Joziel Andujar,(Republican),88,AD 71,2024-11-07_14:19:02.731679
ED    7,90.00%,WRITE-IN,&nbsp,5,AD 71,2024-11-07_14:19:02.731679
ED    8,83.33%,Al Taylor,(Democratic),507,AD 71,2024-11-07_14:19:02.731679
ED    8,83.33%,Joziel Andujar,(Republican),118,AD 71,2024-11-07_14:19:02.731679
ED    8,83.33%,WRITE-IN,&nbsp,4,AD 71,2024-11-07_14:19:02.731679
ED    9,87.50%,Al Taylor,(Democratic),616,AD 71,2024-11-07_14:19:02.731679
ED    9,87.50%,Joziel Andujar,(Republican),113,AD 71,2024-11-07_14:19:02.731679
ED    9,87.50%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   10,87.50%,Al Taylor,(Democratic),483,AD 71,2024-11-07_14:19:02.731679
ED   10,87.50%,Joziel Andujar,(Republican),64,AD 71,2024-11-07_14:19:02.731679
ED   10,87.50%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   11,87.50%,Al Taylor,(Democratic),367,AD 71,2024-11-07_14:19:02.731679
ED   11,87.50%,Joziel Andujar,(Republican),62,AD 71,2024-11-07_14:19:02.731679
ED   11,87.50%,WRITE-IN,&nbsp,3,AD 71,2024-11-07_14:19:02.731679
ED   12,87.50%,Al Taylor,(Democratic),396,AD 71,2024-11-07_14:19:02.731679
ED   12,87.50%,Joziel Andujar,(Republican),97,AD 71,2024-11-07_14:19:02.731679
ED   12,87.50%,WRITE-IN,&nbsp,1,AD 71,2024-11-07_14:19:02.731679
ED   13,81.82%,Al Taylor,(Democratic),392,AD 71,2024-11-07_14:19:02.731679
ED   13,81.82%,Joziel Andujar,(Republican),90,AD 71,2024-11-07_14:19:02.731679
ED   13,81.82%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   14,81.82%,Al Taylor,(Democratic),363,AD 71,2024-11-07_14:19:02.731679
ED   14,81.82%,Joziel Andujar,(Republican),119,AD 71,2024-11-07_14:19:02.731679
ED   14,81.82%,WRITE-IN,&nbsp,4,AD 71,2024-11-07_14:19:02.731679
ED   15,81.82%,Al Taylor,(Democratic),356,AD 71,2024-11-07_14:19:02.731679
ED   15,81.82%,Joziel Andujar,(Republican),59,AD 71,2024-11-07_14:19:02.731679
ED   15,81.82%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   16,81.82%,Al Taylor,(Democratic),337,AD 71,2024-11-07_14:19:02.731679
ED   16,81.82%,Joziel Andujar,(Republican),109,AD 71,2024-11-07_14:19:02.731679
ED   16,81.82%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   17,81.82%,Al Taylor,(Democratic),403,AD 71,2024-11-07_14:19:02.731679
ED   17,81.82%,Joziel Andujar,(Republican),98,AD 71,2024-11-07_14:19:02.731679
ED   17,81.82%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   18,99.00%,Al Taylor,(Democratic),490,AD 71,2024-11-07_14:19:02.731679
ED   18,99.00%,Joziel Andujar,(Republican),89,AD 71,2024-11-07_14:19:02.731679
ED   18,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   19,99.00%,Al Taylor,(Democratic),334,AD 71,2024-11-07_14:19:02.731679
ED   19,99.00%,Joziel Andujar,(Republican),49,AD 71,2024-11-07_14:19:02.731679
ED   19,99.00%,WRITE-IN,&nbsp,4,AD 71,2024-11-07_14:19:02.731679
ED   20,99.00%,Al Taylor,(Democratic),371,AD 71,2024-11-07_14:19:02.731679
ED   20,99.00%,Joziel Andujar,(Republican),126,AD 71,2024-11-07_14:19:02.731679
ED   20,99.00%,WRITE-IN,&nbsp,1,AD 71,2024-11-07_14:19:02.731679
ED   21,99.00%,Al Taylor,(Democratic),433,AD 71,2024-11-07_14:19:02.731679
ED   21,99.00%,Joziel Andujar,(Republican),114,AD 71,2024-11-07_14:19:02.731679
ED   21,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   22,99.00%,Al Taylor,(Democratic),386,AD 71,2024-11-07_14:19:02.731679
ED   22,99.00%,Joziel Andujar,(Republican),108,AD 71,2024-11-07_14:19:02.731679
ED   22,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   23,99.00%,Al Taylor,(Democratic),415,AD 71,2024-11-07_14:19:02.731679
ED   23,99.00%,Joziel Andujar,(Republican),130,AD 71,2024-11-07_14:19:02.731679
ED   23,99.00%,WRITE-IN,&nbsp,1,AD 71,2024-11-07_14:19:02.731679
ED   24,99.00%,Al Taylor,(Democratic),784,AD 71,2024-11-07_14:19:02.731679
ED   24,99.00%,Joziel Andujar,(Republican),107,AD 71,2024-11-07_14:19:02.731679
ED   24,99.00%,WRITE-IN,&nbsp,4,AD 71,2024-11-07_14:19:02.731679
ED   25,99.00%,Al Taylor,(Democratic),343,AD 71,2024-11-07_14:19:02.731679
ED   25,99.00%,Joziel Andujar,(Republican),75,AD 71,2024-11-07_14:19:02.731679
ED   25,99.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   26,99.00%,Al Taylor,(Democratic),469,AD 71,2024-11-07_14:19:02.731679
ED   26,99.00%,Joziel Andujar,(Republican),49,AD 71,2024-11-07_14:19:02.731679
ED   26,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   27,99.00%,Al Taylor,(Democratic),491,AD 71,2024-11-07_14:19:02.731679
ED   27,99.00%,Joziel Andujar,(Republican),62,AD 71,2024-11-07_14:19:02.731679
ED   27,99.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   28,99.00%,Al Taylor,(Democratic),438,AD 71,2024-11-07_14:19:02.731679
ED   28,99.00%,Joziel Andujar,(Republican),112,AD 71,2024-11-07_14:19:02.731679
ED   28,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   29,99.00%,Al Taylor,(Democratic),426,AD 71,2024-11-07_14:19:02.731679
ED   29,99.00%,Joziel Andujar,(Republican),89,AD 71,2024-11-07_14:19:02.731679
ED   29,99.00%,WRITE-IN,&nbsp,1,AD 71,2024-11-07_14:19:02.731679
ED   30,99.00%,Al Taylor,(Democratic),455,AD 71,2024-11-07_14:19:02.731679
ED   30,99.00%,Joziel Andujar,(Republican),79,AD 71,2024-11-07_14:19:02.731679
ED   30,99.00%,WRITE-IN,&nbsp,3,AD 71,2024-11-07_14:19:02.731679
ED   31,99.00%,Al Taylor,(Democratic),316,AD 71,2024-11-07_14:19:02.731679
ED   31,99.00%,Joziel Andujar,(Republican),32,AD 71,2024-11-07_14:19:02.731679
ED   31,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   32,99.00%,Al Taylor,(Democratic),489,AD 71,2024-11-07_14:19:02.731679
ED   32,99.00%,Joziel Andujar,(Republican),79,AD 71,2024-11-07_14:19:02.731679
ED   32,99.00%,WRITE-IN,&nbsp,3,AD 71,2024-11-07_14:19:02.731679
ED   33,99.00%,Al Taylor,(Democratic),125,AD 71,2024-11-07_14:19:02.731679
ED   33,99.00%,Joziel Andujar,(Republican),25,AD 71,2024-11-07_14:19:02.731679
ED   33,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   34,99.00%,Al Taylor,(Democratic),400,AD 71,2024-11-07_14:19:02.731679
ED   34,99.00%,Joziel Andujar,(Republican),83,AD 71,2024-11-07_14:19:02.731679
ED   34,99.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   35,99.00%,Al Taylor,(Democratic),536,AD 71,2024-11-07_14:19:02.731679
ED   35,99.00%,Joziel Andujar,(Republican),68,AD 71,2024-11-07_14:19:02.731679
ED   35,99.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   36,99.00%,Al Taylor,(Democratic),512,AD 71,2024-11-07_14:19:02.731679
ED   36,99.00%,Joziel Andujar,(Republican),76,AD 71,2024-11-07_14:19:02.731679
ED   36,99.00%,WRITE-IN,&nbsp,1,AD 71,2024-11-07_14:19:02.731679
ED   37,99.00%,Al Taylor,(Democratic),491,AD 71,2024-11-07_14:19:02.731679
ED   37,99.00%,Joziel Andujar,(Republican),113,AD 71,2024-11-07_14:19:02.731679
ED   37,99.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   38,99.00%,Al Taylor,(Democratic),566,AD 71,2024-11-07_14:19:02.731679
ED   38,99.00%,Joziel Andujar,(Republican),57,AD 71,2024-11-07_14:19:02.731679
ED   38,99.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   39,99.00%,Al Taylor,(Democratic),550,AD 71,2024-11-07_14:19:02.731679
ED   39,99.00%,Joziel Andujar,(Republican),89,AD 71,2024-11-07_14:19:02.731679
ED   39,99.00%,WRITE-IN,&nbsp,3,AD 71,2024-11-07_14:19:02.731679
ED   40,99.00%,Al Taylor,(Democratic),562,AD 71,2024-11-07_14:19:02.731679
ED   40,99.00%,Joziel Andujar,(Republican),71,AD 71,2024-11-07_14:19:02.731679
ED   40,99.00%,WRITE-IN,&nbsp,4,AD 71,2024-11-07_14:19:02.731679
ED   41,99.00%,Al Taylor,(Democratic),558,AD 71,2024-11-07_14:19:02.731679
ED   41,99.00%,Joziel Andujar,(Republican),64,AD 71,2024-11-07_14:19:02.731679
ED   41,99.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   42,99.00%,Al Taylor,(Democratic),638,AD 71,2024-11-07_14:19:02.731679
ED   42,99.00%,Joziel Andujar,(Republican),81,AD 71,2024-11-07_14:19:02.731679
ED   42,99.00%,WRITE-IN,&nbsp,3,AD 71,2024-11-07_14:19:02.731679
ED   43,99.00%,Al Taylor,(Democratic),334,AD 71,2024-11-07_14:19:02.731679
ED   43,99.00%,Joziel Andujar,(Republican),50,AD 71,2024-11-07_14:19:02.731679
ED   43,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   44,99.00%,Al Taylor,(Democratic),430,AD 71,2024-11-07_14:19:02.731679
ED   44,99.00%,Joziel Andujar,(Republican),102,AD 71,2024-11-07_14:19:02.731679
ED   44,99.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   45,99.00%,Al Taylor,(Democratic),346,AD 71,2024-11-07_14:19:02.731679
ED   45,99.00%,Joziel Andujar,(Republican),81,AD 71,2024-11-07_14:19:02.731679
ED   45,99.00%,WRITE-IN,&nbsp,1,AD 71,2024-11-07_14:19:02.731679
ED   46,99.00%,Al Taylor,(Democratic),474,AD 71,2024-11-07_14:19:02.731679
ED   46,99.00%,Joziel Andujar,(Republican),105,AD 71,2024-11-07_14:19:02.731679
ED   46,99.00%,WRITE-IN,&nbsp,3,AD 71,2024-11-07_14:19:02.731679
ED   47,99.00%,Al Taylor,(Democratic),335,AD 71,2024-11-07_14:19:02.731679
ED   47,99.00%,Joziel Andujar,(Republican),78,AD 71,2024-11-07_14:19:02.731679
ED   47,99.00%,WRITE-IN,&nbsp,1,AD 71,2024-11-07_14:19:02.731679
ED   48,99.00%,Al Taylor,(Democratic),570,AD 71,2024-11-07_14:19:02.731679
ED   48,99.00%,Joziel Andujar,(Republican),75,AD 71,2024-11-07_14:19:02.731679
ED   48,99.00%,WRITE-IN,&nbsp,5,AD 71,2024-11-07_14:19:02.731679
ED   49,99.00%,Al Taylor,(Democratic),635,AD 71,2024-11-07_14:19:02.731679
ED   49,99.00%,Joziel Andujar,(Republican),90,AD 71,2024-11-07_14:19:02.731679
ED   49,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   50,99.00%,Al Taylor,(Democratic),428,AD 71,2024-11-07_14:19:02.731679
ED   50,99.00%,Joziel Andujar,(Republican),59,AD 71,2024-11-07_14:19:02.731679
ED   50,99.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   51,99.00%,Al Taylor,(Democratic),740,AD 71,2024-11-07_14:19:02.731679
ED   51,99.00%,Joziel Andujar,(Republican),56,AD 71,2024-11-07_14:19:02.731679
ED   51,99.00%,WRITE-IN,&nbsp,5,AD 71,2024-11-07_14:19:02.731679
ED   52,99.00%,Al Taylor,(Democratic),795,AD 71,2024-11-07_14:19:02.731679
ED   52,99.00%,Joziel Andujar,(Republican),81,AD 71,2024-11-07_14:19:02.731679
ED   52,99.00%,WRITE-IN,&nbsp,4,AD 71,2024-11-07_14:19:02.731679
ED   53,99.00%,Al Taylor,(Democratic),363,AD 71,2024-11-07_14:19:02.731679
ED   53,99.00%,Joziel Andujar,(Republican),30,AD 71,2024-11-07_14:19:02.731679
ED   53,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   54,99.00%,Al Taylor,(Democratic),501,AD 71,2024-11-07_14:19:02.731679
ED   54,99.00%,Joziel Andujar,(Republican),55,AD 71,2024-11-07_14:19:02.731679
ED   54,99.00%,WRITE-IN,&nbsp,3,AD 71,2024-11-07_14:19:02.731679
ED   55,99.00%,Al Taylor,(Democratic),751,AD 71,2024-11-07_14:19:02.731679
ED   55,99.00%,Joziel Andujar,(Republican),76,AD 71,2024-11-07_14:19:02.731679
ED   55,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   56,99.00%,Al Taylor,(Democratic),566,AD 71,2024-11-07_14:19:02.731679
ED   56,99.00%,Joziel Andujar,(Republican),57,AD 71,2024-11-07_14:19:02.731679
ED   56,99.00%,WRITE-IN,&nbsp,1,AD 71,2024-11-07_14:19:02.731679
ED   57,99.00%,Al Taylor,(Democratic),578,AD 71,2024-11-07_14:19:02.731679
ED   57,99.00%,Joziel Andujar,(Republican),49,AD 71,2024-11-07_14:19:02.731679
ED   57,99.00%,WRITE-IN,&nbsp,6,AD 71,2024-11-07_14:19:02.731679
ED   58,99.00%,Al Taylor,(Democratic),606,AD 71,2024-11-07_14:19:02.731679
ED   58,99.00%,Joziel Andujar,(Republican),68,AD 71,2024-11-07_14:19:02.731679
ED   58,99.00%,WRITE-IN,&nbsp,3,AD 71,2024-11-07_14:19:02.731679
ED   59,99.00%,Al Taylor,(Democratic),740,AD 71,2024-11-07_14:19:02.731679
ED   59,99.00%,Joziel Andujar,(Republican),75,AD 71,2024-11-07_14:19:02.731679
ED   59,99.00%,WRITE-IN,&nbsp,4,AD 71,2024-11-07_14:19:02.731679
ED   60,99.00%,Al Taylor,(Democratic),584,AD 71,2024-11-07_14:19:02.731679
ED   60,99.00%,Joziel Andujar,(Republican),36,AD 71,2024-11-07_14:19:02.731679
ED   60,99.00%,WRITE-IN,&nbsp,4,AD 71,2024-11-07_14:19:02.731679
ED   61,99.00%,Al Taylor,(Democratic),896,AD 71,2024-11-07_14:19:02.731679
ED   61,99.00%,Joziel Andujar,(Republican),24,AD 71,2024-11-07_14:19:02.731679
ED   61,99.00%,WRITE-IN,&nbsp,2,AD 71,2024-11-07_14:19:02.731679
ED   62,99.00%,Al Taylor,(Democratic),604,AD 71,2024-11-07_14:19:02.731679
ED   62,99.00%,Joziel Andujar,(Republican),21,AD 71,2024-11-07_14:19:02.731679
ED   62,99.00%,WRITE-IN,&nbsp,1,AD 71,2024-11-07_14:19:02.731679
ED   63,99.00%,Al Taylor,(Democratic),559,AD 71,2024-11-07_14:19:02.731679
ED   63,99.00%,Joziel Andujar,(Republican),39,AD 71,2024-11-07_14:19:02.731679
ED   63,99.00%,WRITE-IN,&nbsp,3,AD 71,2024-11-07_14:19:02.731679
ED   64,99.00%,Al Taylor,(Democratic),562,AD 71,2024-11-07_14:19:02.731679
ED   64,99.00%,Joziel Andujar,(Republican),72,AD 71,2024-11-07_14:19:02.731679
ED   64,99.00%,WRITE-IN,&nbsp,1,AD 71,2024-11-07_14:19:02.731679
ED   65,99.00%,Al Taylor,(Democratic),68,AD 71,2024-11-07_14:19:02.731679
ED   65,99.00%,Joziel Andujar,(Republican),19,AD 71,2024-11-07_14:19:02.731679
ED   65,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   66,99.00%,Al Taylor,(Democratic),0,AD 71,2024-11-07_14:19:02.731679
ED   66,99.00%,Joziel Andujar,(Republican),0,AD 71,2024-11-07_14:19:02.731679
ED   66,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   67,90.00%,Al Taylor,(Democratic),0,AD 71,2024-11-07_14:19:02.731679
ED   67,90.00%,Joziel Andujar,(Republican),0,AD 71,2024-11-07_14:19:02.731679
ED   67,90.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   68,99.00%,Al Taylor,(Democratic),0,AD 71,2024-11-07_14:19:02.731679
ED   68,99.00%,Joziel Andujar,(Republican),0,AD 71,2024-11-07_14:19:02.731679
ED   68,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   69,99.00%,Al Taylor,(Democratic),0,AD 71,2024-11-07_14:19:02.731679
ED   69,99.00%,Joziel Andujar,(Republican),0,AD 71,2024-11-07_14:19:02.731679
ED   69,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   70,99.00%,Al Taylor,(Democratic),0,AD 71,2024-11-07_14:19:02.731679
ED   70,99.00%,Joziel Andujar,(Republican),0,AD 71,2024-11-07_14:19:02.731679
ED   70,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
ED   71,99.00%,Al Taylor,(Democratic),0,AD 71,2024-11-07_14:19:02.731679
ED   71,99.00%,Joziel Andujar,(Republican),0,AD 71,2024-11-07_14:19:02.731679
ED   71,99.00%,WRITE-IN,&nbsp,0,AD 71,2024-11-07_14:19:02.731679
Total,,Al Taylor,(Democratic),33658,AD 71,2024-11-07_14:19:02.731679
Total,,Joziel Andujar,(Republican),5051,AD 71,2024-11-07_14:19:02.731679
Total,,WRITE-IN,&nbsp,148,AD 71,2024-11-07_14:19:02.731679
