ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Manny De Los Santos,(Democratic),444,AD 72,2024-11-07_14:08:54.867138
ED    1,99.00%,Manny De Los Santos,(Working Families),33,AD 72,2024-11-07_14:08:54.867138
ED    1,99.00%,WRITE-IN,&nbsp,0,AD 72,2024-11-07_14:08:54.867138
ED    2,99.00%,Manny De Los Santos,(Democratic),413,AD 72,2024-11-07_14:08:54.867138
ED    2,99.00%,Manny De Los Santos,(Working Families),55,AD 72,2024-11-07_14:08:54.867138
ED    2,99.00%,WRITE-IN,&nbsp,4,AD 72,2024-11-07_14:08:54.867138
ED    3,99.00%,Manny De Los Santos,(Democratic),493,AD 72,2024-11-07_14:08:54.867138
ED    3,99.00%,Manny De Los Santos,(Working Families),51,AD 72,2024-11-07_14:08:54.867138
ED    3,99.00%,WRITE-IN,&nbsp,3,AD 72,2024-11-07_14:08:54.867138
ED    4,87.50%,Manny De Los Santos,(Democratic),667,AD 72,2024-11-07_14:08:54.867138
ED    4,87.50%,Manny De Los Santos,(Working Families),168,AD 72,2024-11-07_14:08:54.867138
ED    4,87.50%,WRITE-IN,&nbsp,11,AD 72,2024-11-07_14:08:54.867138
ED    5,87.50%,Manny De Los Santos,(Democratic),645,AD 72,2024-11-07_14:08:54.867138
ED    5,87.50%,Manny De Los Santos,(Working Families),163,AD 72,2024-11-07_14:08:54.867138
ED    5,87.50%,WRITE-IN,&nbsp,11,AD 72,2024-11-07_14:08:54.867138
ED    6,87.50%,Manny De Los Santos,(Democratic),493,AD 72,2024-11-07_14:08:54.867138
ED    6,87.50%,Manny De Los Santos,(Working Families),117,AD 72,2024-11-07_14:08:54.867138
ED    6,87.50%,WRITE-IN,&nbsp,7,AD 72,2024-11-07_14:08:54.867138
ED    7,87.50%,Manny De Los Santos,(Democratic),373,AD 72,2024-11-07_14:08:54.867138
ED    7,87.50%,Manny De Los Santos,(Working Families),66,AD 72,2024-11-07_14:08:54.867138
ED    7,87.50%,WRITE-IN,&nbsp,3,AD 72,2024-11-07_14:08:54.867138
ED    8,87.50%,Manny De Los Santos,(Democratic),447,AD 72,2024-11-07_14:08:54.867138
ED    8,87.50%,Manny De Los Santos,(Working Families),132,AD 72,2024-11-07_14:08:54.867138
ED    8,87.50%,WRITE-IN,&nbsp,10,AD 72,2024-11-07_14:08:54.867138
ED    9,99.00%,Manny De Los Santos,(Democratic),646,AD 72,2024-11-07_14:08:54.867138
ED    9,99.00%,Manny De Los Santos,(Working Families),146,AD 72,2024-11-07_14:08:54.867138
ED    9,99.00%,WRITE-IN,&nbsp,16,AD 72,2024-11-07_14:08:54.867138
ED   10,99.00%,Manny De Los Santos,(Democratic),562,AD 72,2024-11-07_14:08:54.867138
ED   10,99.00%,Manny De Los Santos,(Working Families),98,AD 72,2024-11-07_14:08:54.867138
ED   10,99.00%,WRITE-IN,&nbsp,11,AD 72,2024-11-07_14:08:54.867138
ED   11,99.00%,Manny De Los Santos,(Democratic),451,AD 72,2024-11-07_14:08:54.867138
ED   11,99.00%,Manny De Los Santos,(Working Families),61,AD 72,2024-11-07_14:08:54.867138
ED   11,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   12,99.00%,Manny De Los Santos,(Democratic),446,AD 72,2024-11-07_14:08:54.867138
ED   12,99.00%,Manny De Los Santos,(Working Families),56,AD 72,2024-11-07_14:08:54.867138
ED   12,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   13,99.00%,Manny De Los Santos,(Democratic),427,AD 72,2024-11-07_14:08:54.867138
ED   13,99.00%,Manny De Los Santos,(Working Families),48,AD 72,2024-11-07_14:08:54.867138
ED   13,99.00%,WRITE-IN,&nbsp,3,AD 72,2024-11-07_14:08:54.867138
ED   14,99.00%,Manny De Los Santos,(Democratic),432,AD 72,2024-11-07_14:08:54.867138
ED   14,99.00%,Manny De Los Santos,(Working Families),66,AD 72,2024-11-07_14:08:54.867138
ED   14,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   15,99.00%,Manny De Los Santos,(Democratic),526,AD 72,2024-11-07_14:08:54.867138
ED   15,99.00%,Manny De Los Santos,(Working Families),70,AD 72,2024-11-07_14:08:54.867138
ED   15,99.00%,WRITE-IN,&nbsp,4,AD 72,2024-11-07_14:08:54.867138
ED   16,99.00%,Manny De Los Santos,(Democratic),318,AD 72,2024-11-07_14:08:54.867138
ED   16,99.00%,Manny De Los Santos,(Working Families),33,AD 72,2024-11-07_14:08:54.867138
ED   16,99.00%,WRITE-IN,&nbsp,0,AD 72,2024-11-07_14:08:54.867138
ED   17,99.00%,Manny De Los Santos,(Democratic),381,AD 72,2024-11-07_14:08:54.867138
ED   17,99.00%,Manny De Los Santos,(Working Families),45,AD 72,2024-11-07_14:08:54.867138
ED   17,99.00%,WRITE-IN,&nbsp,1,AD 72,2024-11-07_14:08:54.867138
ED   18,99.00%,Manny De Los Santos,(Democratic),330,AD 72,2024-11-07_14:08:54.867138
ED   18,99.00%,Manny De Los Santos,(Working Families),71,AD 72,2024-11-07_14:08:54.867138
ED   18,99.00%,WRITE-IN,&nbsp,1,AD 72,2024-11-07_14:08:54.867138
ED   19,99.00%,Manny De Los Santos,(Democratic),407,AD 72,2024-11-07_14:08:54.867138
ED   19,99.00%,Manny De Los Santos,(Working Families),69,AD 72,2024-11-07_14:08:54.867138
ED   19,99.00%,WRITE-IN,&nbsp,0,AD 72,2024-11-07_14:08:54.867138
ED   20,99.00%,Manny De Los Santos,(Democratic),333,AD 72,2024-11-07_14:08:54.867138
ED   20,99.00%,Manny De Los Santos,(Working Families),58,AD 72,2024-11-07_14:08:54.867138
ED   20,99.00%,WRITE-IN,&nbsp,3,AD 72,2024-11-07_14:08:54.867138
ED   21,99.00%,Manny De Los Santos,(Democratic),305,AD 72,2024-11-07_14:08:54.867138
ED   21,99.00%,Manny De Los Santos,(Working Families),23,AD 72,2024-11-07_14:08:54.867138
ED   21,99.00%,WRITE-IN,&nbsp,3,AD 72,2024-11-07_14:08:54.867138
ED   22,99.00%,Manny De Los Santos,(Democratic),273,AD 72,2024-11-07_14:08:54.867138
ED   22,99.00%,Manny De Los Santos,(Working Families),46,AD 72,2024-11-07_14:08:54.867138
ED   22,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   23,99.00%,Manny De Los Santos,(Democratic),381,AD 72,2024-11-07_14:08:54.867138
ED   23,99.00%,Manny De Los Santos,(Working Families),59,AD 72,2024-11-07_14:08:54.867138
ED   23,99.00%,WRITE-IN,&nbsp,5,AD 72,2024-11-07_14:08:54.867138
ED   24,99.00%,Manny De Los Santos,(Democratic),317,AD 72,2024-11-07_14:08:54.867138
ED   24,99.00%,Manny De Los Santos,(Working Families),58,AD 72,2024-11-07_14:08:54.867138
ED   24,99.00%,WRITE-IN,&nbsp,5,AD 72,2024-11-07_14:08:54.867138
ED   25,60.00%,Manny De Los Santos,(Democratic),120,AD 72,2024-11-07_14:08:54.867138
ED   25,60.00%,Manny De Los Santos,(Working Families),13,AD 72,2024-11-07_14:08:54.867138
ED   25,60.00%,WRITE-IN,&nbsp,5,AD 72,2024-11-07_14:08:54.867138
ED   26,99.00%,Manny De Los Santos,(Democratic),596,AD 72,2024-11-07_14:08:54.867138
ED   26,99.00%,Manny De Los Santos,(Working Families),142,AD 72,2024-11-07_14:08:54.867138
ED   26,99.00%,WRITE-IN,&nbsp,6,AD 72,2024-11-07_14:08:54.867138
ED   27,99.00%,Manny De Los Santos,(Democratic),350,AD 72,2024-11-07_14:08:54.867138
ED   27,99.00%,Manny De Los Santos,(Working Families),68,AD 72,2024-11-07_14:08:54.867138
ED   27,99.00%,WRITE-IN,&nbsp,4,AD 72,2024-11-07_14:08:54.867138
ED   28,83.33%,Manny De Los Santos,(Democratic),188,AD 72,2024-11-07_14:08:54.867138
ED   28,83.33%,Manny De Los Santos,(Working Families),21,AD 72,2024-11-07_14:08:54.867138
ED   28,83.33%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   29,99.00%,Manny De Los Santos,(Democratic),478,AD 72,2024-11-07_14:08:54.867138
ED   29,99.00%,Manny De Los Santos,(Working Families),80,AD 72,2024-11-07_14:08:54.867138
ED   29,99.00%,WRITE-IN,&nbsp,6,AD 72,2024-11-07_14:08:54.867138
ED   30,99.00%,Manny De Los Santos,(Democratic),377,AD 72,2024-11-07_14:08:54.867138
ED   30,99.00%,Manny De Los Santos,(Working Families),66,AD 72,2024-11-07_14:08:54.867138
ED   30,99.00%,WRITE-IN,&nbsp,8,AD 72,2024-11-07_14:08:54.867138
ED   31,60.00%,Manny De Los Santos,(Democratic),112,AD 72,2024-11-07_14:08:54.867138
ED   31,60.00%,Manny De Los Santos,(Working Families),18,AD 72,2024-11-07_14:08:54.867138
ED   31,60.00%,WRITE-IN,&nbsp,1,AD 72,2024-11-07_14:08:54.867138
ED   32,99.00%,Manny De Los Santos,(Democratic),435,AD 72,2024-11-07_14:08:54.867138
ED   32,99.00%,Manny De Los Santos,(Working Families),60,AD 72,2024-11-07_14:08:54.867138
ED   32,99.00%,WRITE-IN,&nbsp,6,AD 72,2024-11-07_14:08:54.867138
ED   33,99.00%,Manny De Los Santos,(Democratic),360,AD 72,2024-11-07_14:08:54.867138
ED   33,99.00%,Manny De Los Santos,(Working Families),59,AD 72,2024-11-07_14:08:54.867138
ED   33,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   34,99.00%,Manny De Los Santos,(Democratic),281,AD 72,2024-11-07_14:08:54.867138
ED   34,99.00%,Manny De Los Santos,(Working Families),32,AD 72,2024-11-07_14:08:54.867138
ED   34,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   35,99.00%,Manny De Los Santos,(Democratic),364,AD 72,2024-11-07_14:08:54.867138
ED   35,99.00%,Manny De Los Santos,(Working Families),62,AD 72,2024-11-07_14:08:54.867138
ED   35,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   36,99.00%,Manny De Los Santos,(Democratic),281,AD 72,2024-11-07_14:08:54.867138
ED   36,99.00%,Manny De Los Santos,(Working Families),35,AD 72,2024-11-07_14:08:54.867138
ED   36,99.00%,WRITE-IN,&nbsp,0,AD 72,2024-11-07_14:08:54.867138
ED   37,99.00%,Manny De Los Santos,(Democratic),405,AD 72,2024-11-07_14:08:54.867138
ED   37,99.00%,Manny De Los Santos,(Working Families),50,AD 72,2024-11-07_14:08:54.867138
ED   37,99.00%,WRITE-IN,&nbsp,4,AD 72,2024-11-07_14:08:54.867138
ED   38,99.00%,Manny De Los Santos,(Democratic),363,AD 72,2024-11-07_14:08:54.867138
ED   38,99.00%,Manny De Los Santos,(Working Families),40,AD 72,2024-11-07_14:08:54.867138
ED   38,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   39,99.00%,Manny De Los Santos,(Democratic),396,AD 72,2024-11-07_14:08:54.867138
ED   39,99.00%,Manny De Los Santos,(Working Families),62,AD 72,2024-11-07_14:08:54.867138
ED   39,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   40,99.00%,Manny De Los Santos,(Democratic),359,AD 72,2024-11-07_14:08:54.867138
ED   40,99.00%,Manny De Los Santos,(Working Families),44,AD 72,2024-11-07_14:08:54.867138
ED   40,99.00%,WRITE-IN,&nbsp,3,AD 72,2024-11-07_14:08:54.867138
ED   41,99.00%,Manny De Los Santos,(Democratic),456,AD 72,2024-11-07_14:08:54.867138
ED   41,99.00%,Manny De Los Santos,(Working Families),89,AD 72,2024-11-07_14:08:54.867138
ED   41,99.00%,WRITE-IN,&nbsp,6,AD 72,2024-11-07_14:08:54.867138
ED   42,99.00%,Manny De Los Santos,(Democratic),354,AD 72,2024-11-07_14:08:54.867138
ED   42,99.00%,Manny De Los Santos,(Working Families),60,AD 72,2024-11-07_14:08:54.867138
ED   42,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   43,99.00%,Manny De Los Santos,(Democratic),372,AD 72,2024-11-07_14:08:54.867138
ED   43,99.00%,Manny De Los Santos,(Working Families),57,AD 72,2024-11-07_14:08:54.867138
ED   43,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   44,99.00%,Manny De Los Santos,(Democratic),432,AD 72,2024-11-07_14:08:54.867138
ED   44,99.00%,Manny De Los Santos,(Working Families),42,AD 72,2024-11-07_14:08:54.867138
ED   44,99.00%,WRITE-IN,&nbsp,1,AD 72,2024-11-07_14:08:54.867138
ED   45,99.00%,Manny De Los Santos,(Democratic),283,AD 72,2024-11-07_14:08:54.867138
ED   45,99.00%,Manny De Los Santos,(Working Families),25,AD 72,2024-11-07_14:08:54.867138
ED   45,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   46,99.00%,Manny De Los Santos,(Democratic),307,AD 72,2024-11-07_14:08:54.867138
ED   46,99.00%,Manny De Los Santos,(Working Families),43,AD 72,2024-11-07_14:08:54.867138
ED   46,99.00%,WRITE-IN,&nbsp,7,AD 72,2024-11-07_14:08:54.867138
ED   47,99.00%,Manny De Los Santos,(Democratic),282,AD 72,2024-11-07_14:08:54.867138
ED   47,99.00%,Manny De Los Santos,(Working Families),40,AD 72,2024-11-07_14:08:54.867138
ED   47,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   48,99.00%,Manny De Los Santos,(Democratic),378,AD 72,2024-11-07_14:08:54.867138
ED   48,99.00%,Manny De Los Santos,(Working Families),53,AD 72,2024-11-07_14:08:54.867138
ED   48,99.00%,WRITE-IN,&nbsp,2,AD 72,2024-11-07_14:08:54.867138
ED   49,81.82%,Manny De Los Santos,(Democratic),269,AD 72,2024-11-07_14:08:54.867138
ED   49,81.82%,Manny De Los Santos,(Working Families),34,AD 72,2024-11-07_14:08:54.867138
ED   49,81.82%,WRITE-IN,&nbsp,1,AD 72,2024-11-07_14:08:54.867138
ED   50,99.00%,Manny De Los Santos,(Democratic),321,AD 72,2024-11-07_14:08:54.867138
ED   50,99.00%,Manny De Los Santos,(Working Families),44,AD 72,2024-11-07_14:08:54.867138
ED   50,99.00%,WRITE-IN,&nbsp,5,AD 72,2024-11-07_14:08:54.867138
ED   51,99.00%,Manny De Los Santos,(Democratic),278,AD 72,2024-11-07_14:08:54.867138
