ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,88.89%,Carl E. Heastie,(Democratic),608,AD 83,2024-11-07_14:09:02.467528
ED    1,88.89%,Stephanie Liggio,(Republican),71,AD 83,2024-11-07_14:09:02.467528
ED    1,88.89%,Stephanie Liggio,(Conservative),10,AD 83,2024-11-07_14:09:02.467528
ED    1,88.89%,WRITE-IN,&nbsp,0,AD 83,2024-11-07_14:09:02.467528
ED    2,88.89%,Carl E. Heastie,(Democratic),619,AD 83,2024-11-07_14:09:02.467528
ED    2,88.89%,Stephanie Liggio,(Republican),57,AD 83,2024-11-07_14:09:02.467528
ED    2,88.89%,Stephanie Liggio,(Conservative),14,AD 83,2024-11-07_14:09:02.467528
ED    2,88.89%,WRITE-IN,&nbsp,0,AD 83,2024-11-07_14:09:02.467528
ED    3,88.89%,Carl E. Heastie,(Democratic),590,AD 83,2024-11-07_14:09:02.467528
ED    3,88.89%,Stephanie Liggio,(Republican),64,AD 83,2024-11-07_14:09:02.467528
ED    3,88.89%,Stephanie Liggio,(Conservative),26,AD 83,2024-11-07_14:09:02.467528
ED    3,88.89%,WRITE-IN,&nbsp,1,AD 83,2024-11-07_14:09:02.467528
ED    4,88.89%,Carl E. Heastie,(Democratic),479,AD 83,2024-11-07_14:09:02.467528
ED    4,88.89%,Stephanie Liggio,(Republican),41,AD 83,2024-11-07_14:09:02.467528
ED    4,88.89%,Stephanie Liggio,(Conservative),9,AD 83,2024-11-07_14:09:02.467528
ED    4,88.89%,WRITE-IN,&nbsp,0,AD 83,2024-11-07_14:09:02.467528
ED    5,88.89%,Carl E. Heastie,(Democratic),518,AD 83,2024-11-07_14:09:02.467528
ED    5,88.89%,Stephanie Liggio,(Republican),32,AD 83,2024-11-07_14:09:02.467528
ED    5,88.89%,Stephanie Liggio,(Conservative),12,AD 83,2024-11-07_14:09:02.467528
ED    5,88.89%,WRITE-IN,&nbsp,1,AD 83,2024-11-07_14:09:02.467528
ED    6,99.00%,Carl E. Heastie,(Democratic),710,AD 83,2024-11-07_14:09:02.467528
ED    6,99.00%,Stephanie Liggio,(Republican),59,AD 83,2024-11-07_14:09:02.467528
ED    6,99.00%,Stephanie Liggio,(Conservative),9,AD 83,2024-11-07_14:09:02.467528
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 83,2024-11-07_14:09:02.467528
ED    7,99.00%,Carl E. Heastie,(Democratic),716,AD 83,2024-11-07_14:09:02.467528
ED    7,99.00%,Stephanie Liggio,(Republican),65,AD 83,2024-11-07_14:09:02.467528
ED    7,99.00%,Stephanie Liggio,(Conservative),18,AD 83,2024-11-07_14:09:02.467528
ED    7,99.00%,WRITE-IN,&nbsp,2,AD 83,2024-11-07_14:09:02.467528
ED    8,99.00%,Carl E. Heastie,(Democratic),444,AD 83,2024-11-07_14:09:02.467528
ED    8,99.00%,Stephanie Liggio,(Republican),50,AD 83,2024-11-07_14:09:02.467528
ED    8,99.00%,Stephanie Liggio,(Conservative),13,AD 83,2024-11-07_14:09:02.467528
ED    8,99.00%,WRITE-IN,&nbsp,2,AD 83,2024-11-07_14:09:02.467528
ED    9,99.00%,Carl E. Heastie,(Democratic),403,AD 83,2024-11-07_14:09:02.467528
ED    9,99.00%,Stephanie Liggio,(Republican),53,AD 83,2024-11-07_14:09:02.467528
ED    9,99.00%,Stephanie Liggio,(Conservative),4,AD 83,2024-11-07_14:09:02.467528
ED    9,99.00%,WRITE-IN,&nbsp,0,AD 83,2024-11-07_14:09:02.467528
ED   10,99.00%,Carl E. Heastie,(Democratic),455,AD 83,2024-11-07_14:09:02.467528
ED   10,99.00%,Stephanie Liggio,(Republican),71,AD 83,2024-11-07_14:09:02.467528
ED   10,99.00%,Stephanie Liggio,(Conservative),6,AD 83,2024-11-07_14:09:02.467528
ED   10,99.00%,WRITE-IN,&nbsp,0,AD 83,2024-11-07_14:09:02.467528
ED   11,99.00%,Carl E. Heastie,(Democratic),610,AD 83,2024-11-07_14:09:02.467528
ED   11,99.00%,Stephanie Liggio,(Republican),70,AD 83,2024-11-07_14:09:02.467528
ED   11,99.00%,Stephanie Liggio,(Conservative),18,AD 83,2024-11-07_14:09:02.467528
ED   11,99.00%,WRITE-IN,&nbsp,0,AD 83,2024-11-07_14:09:02.467528
ED   12,99.00%,Carl E. Heastie,(Democratic),419,AD 83,2024-11-07_14:09:02.467528
ED   12,99.00%,Stephanie Liggio,(Republican),68,AD 83,2024-11-07_14:09:02.467528
ED   12,99.00%,Stephanie Liggio,(Conservative),10,AD 83,2024-11-07_14:09:02.467528
ED   12,99.00%,WRITE-IN,&nbsp,0,AD 83,2024-11-07_14:09:02.467528
ED   13,99.00%,Carl E. Heastie,(Democratic),386,AD 83,2024-11-07_14:09:02.467528
ED   13,99.00%,Stephanie Liggio,(Republican),50,AD 83,2024-11-07_14:09:02.467528
ED   13,99.00%,Stephanie Liggio,(Conservative),11,AD 83,2024-11-07_14:09:02.467528
ED   13,99.00%,WRITE-IN,&nbsp,1,AD 83,2024-11-07_14:09:02.467528
ED   14,99.00%,Carl E. Heastie,(Democratic),404,AD 83,2024-11-07_14:09:02.467528
ED   14,99.00%,Stephanie Liggio,(Republican),45,AD 83,2024-11-07_14:09:02.467528
ED   14,99.00%,Stephanie Liggio,(Conservative),7,AD 83,2024-11-07_14:09:02.467528
ED   14,99.00%,WRITE-IN,&nbsp,1,AD 83,2024-11-07_14:09:02.467528
ED   15,99.00%,Carl E. Heastie,(Democratic),522,AD 83,2024-11-07_14:09:02.467528
ED   15,99.00%,Stephanie Liggio,(Republican),78,AD 83,2024-11-07_14:09:02.467528
ED   15,99.00%,Stephanie Liggio,(Conservative),12,AD 83,2024-11-07_14:09:02.467528
ED   15,99.00%,WRITE-IN,&nbsp,0,AD 83,2024-11-07_14:09:02.467528
ED   16,99.00%,Carl E. Heastie,(Democratic),552,AD 83,2024-11-07_14:09:02.467528
ED   16,99.00%,Stephanie Liggio,(Republican),46,AD 83,2024-11-07_14:09:02.467528
ED   16,99.00%,Stephanie Liggio,(Conservative),13,AD 83,2024-11-07_14:09:02.467528
ED   16,99.00%,WRITE-IN,&nbsp,1,AD 83,2024-11-07_14:09:02.467528
ED   17,99.00%,Carl E. Heastie,(Democratic),545,AD 83,2024-11-07_14:09:02.467528
ED   17,99.00%,Stephanie Liggio,(Republican),54,AD 83,2024-11-07_14:09:02.467528
ED   17,99.00%,Stephanie Liggio,(Conservative),13,AD 83,2024-11-07_14:09:02.467528
ED   17,99.00%,WRITE-IN,&nbsp,1,AD 83,2024-11-07_14:09:02.467528
ED   18,99.00%,Carl E. Heastie,(Democratic),367,AD 83,2024-11-07_14:09:02.467528
ED   18,99.00%,Stephanie Liggio,(Republican),43,AD 83,2024-11-07_14:09:02.467528
ED   18,99.00%,Stephanie Liggio,(Conservative),9,AD 83,2024-11-07_14:09:02.467528
ED   18,99.00%,WRITE-IN,&nbsp,2,AD 83,2024-11-07_14:09:02.467528
ED   19,99.00%,Carl E. Heastie,(Democratic),488,AD 83,2024-11-07_14:09:02.467528
ED   19,99.00%,Stephanie Liggio,(Republican),69,AD 83,2024-11-07_14:09:02.467528
ED   19,99.00%,Stephanie Liggio,(Conservative),11,AD 83,2024-11-07_14:09:02.467528
ED   19,99.00%,WRITE-IN,&nbsp,1,AD 83,2024-11-07_14:09:02.467528
ED   20,99.00%,Carl E. Heastie,(Democratic),604,AD 83,2024-11-07_14:09:02.467528
ED   20,99.00%,Stephanie Liggio,(Republican),65,AD 83,2024-11-07_14:09:02.467528
ED   20,99.00%,Stephanie Liggio,(Conservative),17,AD 83,2024-11-07_14:09:02.467528
ED   20,99.00%,WRITE-IN,&nbsp,4,AD 83,2024-11-07_14:09:02.467528
ED   21,99.00%,Carl E. Heastie,(Democratic),667,AD 83,2024-11-07_14:09:02.467528
ED   21,99.00%,Stephanie Liggio,(Republican),38,AD 83,2024-11-07_14:09:02.467528
